mean,variance
0.140543,0.00201903
0.156466,0.00240176
0.1742,0.00285486
0.193951,0.00339075
0.215951,0.00402387
0.240455,0.00477103
0.267751,0.00565174
0.298157,0.00668858
0.332029,0.0079076
0.369764,0.00933884
0.411804,0.0110167
0.458641,0.0129807
0.510826,0.0152756
0.568971,0.0179525
0.63376,0.021069
0.705953,0.0246898
0.786401,0.0288873
0.87605,0.033742
0.975958,0.0393424
1.0873,0.0457854
1.21139,0.0531756
1.3497,0.0616248
1.50385,0.0712508
1.67567,0.0821749
1.86719,0.0945195
2.08067,0.108404
2.31865,0.123938
2.58393,0.141218
2.87966,0.160315
3.20934,0.181264
3.57688,0.204051
3.98663,0.2286
4.44346,0.254748
4.95277,0.282231
5.52062,0.310661
6.15372,0.339503
6.85959,0.368059
7.64659,0.395458
8.52405,0.420659
9.5015,0.442448
10.584,0.459387
11.7672,0.469865
13.0272,0.472219
14.3282,0.465211
15.6221,0.448374
16.8537,0.422192
17.9641,0.388072
18.8987,0.348122
19.6114,0.304854
20.0774,0.260949
20.2985,0.219074
20.2951,0.181564
20.0955,0.150092
19.7308,0.125532
19.233,0.108
18.6334,0.0970183
17.96,0.0916962
17.2363,0.090916
16.482,0.0935164
15.7137,0.0984147
14.9449,0.104679
14.1857,0.111542
13.4431,0.118411
12.7232,0.124879
12.0309,0.130702
11.3692,0.135744
10.7398,0.139961
10.1438,0.143367
9.58113,0.146017
9.05114,0.147976
8.55228,0.14929
8.08032,0.14985
7.63424,0.149724
7.21443,0.149082
6.82159,0.148133
6.45626,0.147094
6.11871,0.146174
5.80752,0.145454
5.52396,0.145246
5.2672,0.145692
5.03533,0.146828
4.82601,0.148632
4.63683,0.151054
4.46555,0.154038
4.31097,0.157625
4.17155,0.161803
4.04576,0.166542
3.93201,0.171784
3.82982,0.177618
3.73672,0.183809
3.65291,0.190532
3.57797,0.197857
3.51305,0.206145
3.45946,0.215827
3.41883,0.227457
3.39186,0.241469
3.38131,0.258856
3.38755,0.280207
3.41047,0.306113
3.44879,0.336935
3.50113,0.373057
3.56599,0.414824
3.64184,0.462571
3.72813,0.516967
3.82533,0.579152
3.9358,0.651265
4.06209,0.735977
4.20699,0.836606
4.37457,0.957968
4.5646,1.10324
