mean,variance
0.233904,0.0186833
0.261167,0.0223796
0.291636,0.0267957
0.325692,0.0320688
0.363759,0.0383611
0.406315,0.0458649
0.453894,0.0548069
0.507093,0.0654549
0.566583,0.0781241
0.633114,0.0931855
0.707525,0.111075
0.79076,0.132302
0.883872,0.157463
0.988043,0.187257
1.1046,0.222493
1.23502,0.264113
1.38098,0.313209
1.54434,0.371037
1.72718,0.439048
1.93186,0.518899
2.16099,0.612484
2.41753,0.721953
2.70477,0.849732
3.02642,0.998548
3.38664,1.17144
3.79007,1.37175
4.24193,1.60317
4.74809,1.86967
5.31443,2.17507
5.94552,2.52202
6.64703,2.91304
7.42709,3.35138
8.29345,3.83914
9.25434,4.37736
10.3208,4.9672
11.5065,5.60951
12.8255,6.30311
14.2893,7.0422
15.9111,7.8181
17.7079,8.61995
19.6948,9.43144
21.8772,10.2263
24.2455,10.9667
26.8004,11.6165
29.5117,12.1284
32.3212,12.451
35.1525,12.5401
37.9157,12.3676
40.5119,11.9278
42.8348,11.2397
44.7814,10.3455
46.3101,9.30694
47.4182,8.19317
48.1282,7.07146
48.4775,6.0003
48.5188,5.0258
48.3028,4.18107
47.8712,3.48678
47.2442,2.95171
46.4329,2.57332
45.4444,2.33933
44.2895,2.23031
42.9823,2.2224
41.5526,2.29231
40.0261,2.4172
38.4401,2.57955
36.8332,2.76711
35.2421,2.97266
33.6822,3.18665
32.1669,3.40223
30.7022,3.61267
29.2852,3.80922
27.9145,3.98549
26.5888,4.13665
25.3072,4.25934
24.0771,4.35706
22.9023,4.4323
21.7853,4.488
20.7326,4.53104
19.7457,4.56546
18.8241,4.59426
17.9651,4.61918
17.1654,4.64124
16.4209,4.66109
15.7274,4.67886
15.0838,4.69759
14.489,4.7203
13.9417,4.74954
13.4407,4.78816
12.9825,4.83624
12.5649,4.89535
12.1857,4.96686
11.8427,5.05173
11.5333,5.15075
11.2555,5.26501
11.0086,5.39725
10.7944,5.55398
10.614,5.74118
10.4675,5.96363
10.3574,6.23102
10.2895,6.55934
10.2685,6.96605
10.2985,7.46972
10.3834,8.0929
10.5286,8.86581
10.7407,9.82836
11.0229,11.0212
11.3773,12.4903
11.8105,14.3058
12.3169,16.5126
