mean,variance
0.000538046,7.11364e-08
0.00069635,8.98005e-08
0.000870546,1.1991e-07
0.00107215,1.62721e-07
0.00130974,2.22087e-07
0.00159168,3.03909e-07
0.00192728,4.1652e-07
0.00232742,5.71473e-07
0.00280503,7.84697e-07
0.00337556,1.07811e-06
0.00405747,1.48185e-06
0.00487289,2.03735e-06
0.0058483,2.80147e-06
0.00701543,3.85231e-06
0.00841226,5.29701e-06
0.0100843,7.28251e-06
0.0120861,1.00102e-05
0.014483,1.3756e-05
0.0173533,1.88977e-05
0.020782,2.59299e-05
0.0248703,3.5517e-05
0.0297365,4.85438e-05
0.0355195,6.6189e-05
0.0423834,9.00231e-05
0.0505281,0.000122168
0.060194,0.000165486
0.0716809,0.00022392
0.0853686,0.000302989
0.101734,0.000410457
0.121353,0.000557112
0.144893,0.000757541
0.173135,0.00103157
0.207014,0.00140625
0.247647,0.00191859
0.296373,0.00261928
0.354798,0.00357785
0.424847,0.00488981
0.508758,0.0066842
0.609101,0.0091336
0.728844,0.0124684
0.871462,0.0169983
1.04098,0.0231367
1.24153,0.0313985
1.47804,0.0424699
1.75587,0.0572215
2.08046,0.0767155
2.45744,0.102231
2.8891,0.134782
3.37241,0.174499
3.90029,0.220448
4.46124,0.270271
5.04314,0.320909
5.63092,0.36827
6.20735,0.40766
6.75989,0.436044
7.28273,0.452917
7.7737,0.459348
8.23443,0.457677
8.66523,0.449791
9.06848,0.437905
9.44732,0.424008
9.80491,0.409624
10.1441,0.395765
10.4673,0.382991
10.7767,0.371576
11.0746,0.361569
11.3628,0.35285
11.641,0.344977
11.9069,0.337416
12.1589,0.329921
12.3965,0.3224
12.6199,0.314825
12.8295,0.307168
13.0258,0.299401
13.2116,0.29144
13.3923,0.283022
13.5711,0.273831
13.7501,0.263613
13.931,0.252228
14.1146,0.239652
14.3011,0.226005
14.4913,0.211451
14.6854,0.196245
14.8845,0.18063
15.0897,0.164949
15.3025,0.149563
15.5251,0.134944
15.7604,0.121687
16.0116,0.110621
16.2793,0.102813
16.5641,0.0994225
16.8672,0.10174
17.1905,0.111279
17.5367,0.129942
17.9083,0.159964
18.3074,0.20392
18.7395,0.265716
19.2098,0.350154
19.7228,0.462937
20.2827,0.610668
20.8927,0.800562
21.5559,1.04091
22.2754,1.34098
23.0551,1.71203
23.8994,2.16721
24.8106,2.71953
25.7931,3.38583
26.8514,4.18537
27.9917,5.14239
29.221,6.28661
