mean,variance
0.242319,0.0137423
0.287079,0.0185713
0.340133,0.0250835
0.40302,0.0338601
0.47757,0.0456802
0.565952,0.0615881
0.67074,0.0829814
0.794989,0.111729
0.942323,0.150326
1.11705,0.202103
1.32426,0.271495
1.57004,0.364406
1.86156,0.488679
2.20738,0.654718
2.61764,0.876305
3.10438,1.17166
3.6819,1.56485
4.36718,2.08754
5.18038,2.78138
6.14546,3.70099
7.29052,4.91743
8.64955,6.52402
10.2627,8.64204
12.1772,11.4278
14.4485,15.0825
17.1408,19.8608
20.3317,26.0903
24.1131,34.1866
28.5852,44.6544
33.8582,58.0967
40.0698,75.268
47.3863,97.1036
55.9996,124.728
66.1388,159.506
78.0888,203.123
92.1758,257.557
108.79,325.149
128.363,408.495
151.416,510.572
178.57,634.725
210.492,784.337
247.806,962.096
290.853,1168.35
339.77,1400.94
394.033,1652.55
452.258,1909.35
512.392,2152.46
571.722,2359.55
627.221,2508.71
676.208,2584.17
716.546,2578.83
747.257,2497.22
768.497,2353.57
780.974,2166.21
785.673,1953.83
783.723,1733.16
776.17,1517.22
763.925,1315.23
747.683,1132.69
728.03,972.359
705.474,834.912
680.561,719.735
653.841,625.271
625.907,549.474
597.285,489.891
568.541,444.156
540.163,409.957
512.559,385.183
486,367.883
460.639,356.344
436.557,349.135
413.671,344.821
391.948,342.388
371.365,341.101
351.899,340.441
333.526,340.052
316.197,339.643
299.842,338.925
284.486,338.049
270.104,337.043
256.649,335.909
244.075,334.663
232.332,333.334
221.372,331.956
211.148,330.566
201.619,329.234
192.744,328.007
184.492,326.983
176.846,326.336
169.708,325.748
163.035,325.194
156.791,324.685
150.966,324.363
145.562,324.456
140.58,325.165
136.009,326.636
131.854,329.106
128.098,332.667
124.715,337.346
121.759,343.815
119.32,353.108
117.486,366.348
116.33,384.754
115.981,410.298
116.552,445.257
118.149,492.448
120.818,554.677
124.569,635.106
129.46,738.335
135.466,868.783
