mean,variance
1.01275,0.163493
1.15077,0.202731
1.30767,0.251245
1.48604,0.311187
1.68882,0.385194
1.91936,0.476495
2.18149,0.589041
2.47955,0.727657
2.81847,0.898228
3.20387,1.10792
3.64216,1.36546
4.14061,1.68142
4.7075,2.06863
5.35228,2.54261
6.08566,3.12206
6.91987,3.82954
7.86881,4.69214
8.9483,5.7423
10.1764,7.01882
11.5735,8.56789
13.163,10.4444
14.9715,12.7131
17.0293,15.4506
19.3706,18.7466
22.0348,22.7059
25.0656,27.4491
28.5094,33.1102
32.4271,39.8528
36.8855,47.8615
41.9597,57.3441
47.735,68.5325
54.3082,81.683
61.7893,97.0754
70.3036,115.011
79.9933,135.808
91.0204,159.798
103.569,187.314
117.848,218.686
134.095,254.225
152.58,294.22
173.603,338.916
197.444,388.413
224.345,442.628
254.637,501.513
288.615,564.968
326.472,632.792
368.351,704.878
414.258,781.243
463.883,861.736
516.583,945.857
571.505,1032.83
627.31,1120.45
682.389,1205.02
734.897,1281.04
782.957,1341.93
825.078,1382.46
860.117,1399.57
887.18,1392.29
906.255,1365.13
917.82,1325.2
922.612,1279.84
921.479,1235.19
915.328,1195.61
905.057,1163.46
891.457,1139.22
875.211,1122.09
856.926,1110.6
837.164,1102.99
816.313,1097.43
794.688,1092.32
772.428,1086.42
749.62,1078.83
726.43,1068.99
703.038,1056.57
679.574,1041.41
656.203,1023.5
633.055,1002.97
610.341,980.017
588.265,954.999
566.914,928.393
546.321,900.726
526.498,872.517
507.454,844.249
489.203,816.372
471.748,789.29
455.082,763.352
439.158,738.789
423.919,715.72
409.302,694.147
395.247,673.995
381.713,655.161
368.661,637.501
356.06,620.876
343.916,605.261
332.248,590.709
321.097,577.403
310.459,565.367
300.314,554.547
290.626,544.815
281.374,536.093
272.542,528.332
264.113,521.472
256.062,515.408
248.394,510.221
241.115,506.016
234.24,502.975
227.776,501.24
221.724,500.928
216.08,502.134
210.834,504.906
