mean,variance
0.00830758,3.06017e-06
0.00948675,3.84783e-06
0.010833,4.83587e-06
0.01237,6.07435e-06
0.014125,7.62555e-06
0.0161289,9.56686e-06
0.0184171,1.19944e-05
0.0210301,1.50273e-05
0.0240139,1.88131e-05
0.0274213,2.35343e-05
0.0313125,2.94163e-05
0.0357563,3.67369e-05
0.0408313,4.58384e-05
0.046627,5.71412e-05
0.0532462,7.11614e-05
0.0608058,8.85307e-05
0.0694395,0.000110021
0.0793002,0.000136575
0.0905624,0.000169338
0.103425,0.000209701
0.118117,0.000259346
0.134897,0.000320308
0.154064,0.000395031
0.175956,0.00048645
0.200961,0.000598071
0.229523,0.00073407
0.262148,0.000899396
0.299414,0.00109989
0.341982,0.00134242
0.390608,0.00163498
0.446153,0.00198688
0.509603,0.00240883
0.582085,0.00291308
0.664883,0.00351355
0.759468,0.00422585
0.867328,0.0050657
0.989511,0.00604394
1.12763,0.00717382
1.28362,0.00846943
1.45924,0.00994005
1.65549,0.0115834
1.87111,0.0133675
2.10202,0.0152225
2.34396,0.0170659
2.59153,0.0188012
2.83725,0.0203148
3.07264,0.0214954
3.28979,0.0222573
3.48404,0.02257
3.65438,0.0224591
3.79885,0.0219635
3.91538,0.0211351
4.00196,0.0200355
4.05806,0.0187376
4.08414,0.0173168
4.08173,0.0158451
4.05293,0.0143843
4.00232,0.0129913
3.93463,0.0117072
3.85511,0.0105596
3.76809,0.00956144
3.67651,0.00871409
3.582,0.0080104
3.4853,0.00743842
3.38655,0.00698309
3.28588,0.00662853
3.18385,0.00636001
3.08119,0.00616397
2.97903,0.00602953
2.87878,0.00594895
2.78199,0.0059177
2.68992,0.00593323
2.60344,0.00599412
2.52293,0.00609895
2.4484,0.0062462
2.37933,0.006432
2.31496,0.00665089
2.25403,0.0068926
2.19471,0.00714009
2.13573,0.00737812
2.07625,0.00759371
2.01583,0.0077771
1.95464,0.00792512
1.89318,0.00803926
1.83243,0.00812816
1.77381,0.00820781
1.71839,0.00829182
1.66691,0.00839199
1.62003,0.00851999
1.57757,0.00867757
1.53926,0.00886511
1.50476,0.00908238
1.47444,0.009341
1.44892,0.0096585
1.42881,0.0100548
1.41448,0.0105483
1.40677,0.0111707
1.40634,0.0119563
1.41386,0.0129462
1.42982,0.0141866
1.45465,0.0157325
1.48876,0.0176508
1.53277,0.0200301
1.58723,0.0229772
1.65272,0.0266229
1.72933,0.0311067
1.81718,0.0365935
1.91641,0.0432812
2.02754,0.0514262
2.15093,0.0613222
