mean,variance
0.0227368,5.36588e-06
0.0250144,6.33657e-06
0.0275202,7.4807e-06
0.030277,8.82879e-06
0.03331,1.04167e-05
0.0366469,1.22863e-05
0.0403181,1.44869e-05
0.0443571,1.7076e-05
0.0488009,2.01211e-05
0.0536899,2.37012e-05
0.0590689,2.79084e-05
0.0649868,3.28507e-05
0.0714977,3.8654e-05
0.078661,4.54653e-05
0.0865422,5.34562e-05
0.0952132,6.28268e-05
0.104753,7.38101e-05
0.115249,8.66775e-05
0.126797,0.000101745
0.139502,0.000119379
0.153481,0.000140007
0.16886,0.000164125
0.185781,0.000192307
0.204398,0.000225219
0.22488,0.000263635
0.247416,0.000308447
0.27221,0.000360689
0.29949,0.000421556
0.329504,0.000492427
0.362526,0.000574892
0.398858,0.000670785
0.438832,0.000782217
0.482814,0.000911614
0.531204,0.00106177
0.584444,0.00123588
0.643022,0.00143763
0.707471,0.00167122
0.778382,0.00194148
0.85633,0.0022536
0.941625,0.002612
1.0343,0.00301981
1.13387,0.00347728
1.23958,0.00398232
1.35044,0.00453016
1.46514,0.00511287
1.58116,0.00571384
1.69549,0.0063109
1.805,0.00687906
1.9067,0.00739299
1.99755,0.00782733
2.07482,0.00815982
2.1362,0.00837344
2.18117,0.00846517
2.21028,0.00844158
2.22476,0.00831559
2.22626,0.00810388
2.21667,0.0078245
2.19785,0.00749478
2.17165,0.00713086
2.13981,0.00674678
2.10386,0.00635404
2.06504,0.0059616
2.02444,0.00557632
1.98274,0.0052026
1.94038,0.00484325
1.89773,0.00450022
1.85512,0.00417477
1.81272,0.00386743
1.77071,0.00357842
1.72937,0.00330792
1.68912,0.00305618
1.65045,0.00282335
1.61366,0.00260903
1.57896,0.00241253
1.54656,0.00223312
1.5166,0.00206991
1.48923,0.00192201
1.46464,0.00178861
1.44301,0.00166895
1.42482,0.00156258
1.4107,0.00146935
1.40135,0.00138923
1.39683,0.00132165
1.39681,0.00126571
1.40121,0.00122087
1.41007,0.00118683
1.42326,0.00116328
1.44047,0.00114983
1.46124,0.00114605
1.48526,0.00115171
1.51246,0.00116701
1.54291,0.00119251
1.57658,0.00122881
1.6133,0.00127652
1.65302,0.00133654
1.69596,0.00141044
1.74264,0.00150066
1.79365,0.00161033
1.84981,0.00174372
1.9123,0.00190684
1.98257,0.00210787
2.06188,0.00235648
2.1511,0.00266336
2.25089,0.0030409
2.36203,0.00350467
2.48491,0.00407179
2.61975,0.00476187
2.76676,0.00559794
2.92656,0.00660956
3.10054,0.00783707
