mean,variance
0.00287591,2.60005e-07
0.0033437,3.3446e-07
0.00388506,4.30472e-07
0.00451198,5.54083e-07
0.00523832,7.13025e-07
0.00608014,9.17151e-07
0.00705603,1.179e-06
0.00818755,1.51449e-06
0.00949971,1.94382e-06
0.0110215,2.4925e-06
0.0127865,3.19281e-06
0.0148338,4.0854e-06
0.0172086,5.22138e-06
0.0199634,6.66492e-06
0.0231592,8.49631e-06
0.0268665,1.08158e-05
0.0311673,1.37483e-05
0.0361569,1.74486e-05
0.0419454,2.21086e-05
0.0485915,2.79035e-05
0.0561899,3.50514e-05
0.0648714,4.38258e-05
0.0748001,5.45646e-05
0.0861737,6.76812e-05
0.0992231,8.36735e-05
0.114176,0.000103083
0.131356,0.000126618
0.151155,0.00015515
0.174026,0.000189719
0.200448,0.00023148
0.230954,0.000281734
0.266165,0.000341961
0.306905,0.000414043
0.354032,0.000499994
0.408579,0.000602177
0.471762,0.000723357
0.544963,0.00086671
0.62965,0.00103569
0.72748,0.00123432
0.84037,0.00146767
0.970173,0.00174143
1.11788,0.00205983
1.28408,0.00242661
1.46786,0.00284132
1.66659,0.00329679
1.87555,0.00377533
2.08773,0.00424519
2.29444,0.00466189
2.48674,0.00497799
2.65534,0.00514752
2.79392,0.00515286
2.8993,0.00500797
2.97097,0.00475174
3.01061,0.0044356
3.0213,0.00410994
3.00715,0.00381584
2.97194,0.00357697
2.91948,0.00340335
2.8532,0.00329346
2.77623,0.00323829
2.69129,0.00322469
2.60066,0.00323823
2.5062,0.00326537
2.40976,0.00329442
2.31283,0.00331619
2.21665,0.00332422
2.12219,0.00331469
2.03028,0.00328605
1.94155,0.00323866
1.8564,0.00317448
1.7749,0.00309655
1.69637,0.00300888
1.62054,0.00291409
1.54731,0.00281412
1.47652,0.00271061
1.40799,0.00260475
1.34156,0.00249738
1.27725,0.00238909
1.21574,0.00228073
1.15743,0.00217371
1.10251,0.00206957
1.05118,0.00197
1.00359,0.00187671
0.959807,0.00179141
0.919772,0.00171555
0.883314,0.00165022
0.850201,0.00159607
0.820184,0.0015534
0.793132,0.00152267
0.768429,0.00150222
0.745753,0.00149091
0.724866,0.00148772
0.705661,0.00149216
0.688111,0.00150423
0.672244,0.00152443
0.657969,0.00155265
0.645679,0.0015923
0.635121,0.00164257
0.626096,0.00170285
0.618663,0.0017747
0.613007,0.00186109
0.60929,0.00196533
0.607677,0.00209136
0.608298,0.00224344
0.611695,0.00243177
0.618208,0.00266597
0.627894,0.00295379
0.640735,0.00330317
0.656832,0.00372552
0.6755,0.00421932
