mean,variance
0.0376193,0.000206409
0.0434979,0.000268972
0.050296,0.000350413
0.0581576,0.0004564
0.0672494,0.000594293
0.0777642,0.000773644
0.0899252,0.00100684
0.10399,0.00130997
0.120259,0.00170387
0.139075,0.00221555
0.16084,0.00288001
0.186016,0.00374258
0.215139,0.00486192
0.248827,0.00631395
0.287799,0.00819686
0.332884,0.0106376
0.385041,0.0138001
0.445383,0.0178963
0.515196,0.0231997
0.595969,0.0300631
0.689424,0.0389416
0.797556,0.0504218
0.92261,0.0652525
1.06715,0.08439
1.23407,0.109049
1.42684,0.140801
1.6498,0.181713
1.90784,0.234436
2.20655,0.302366
2.55234,0.389854
2.95262,0.50248
3.41599,0.647394
3.95236,0.833759
4.57325,1.07331
5.29196,1.38105
6.12391,1.7762
7.08599,2.28281
8.19745,2.93123
9.48057,3.7599
10.9614,4.81769
12.6718,6.16792
14.6485,7.89143
16.9318,10.0891
19.5689,12.8895
22.611,16.4514
26.1084,20.9629
30.1079,26.6375
34.6461,33.7024
39.7419,42.3725
45.3925,52.8236
51.6052,65.2367
58.3712,79.7405
65.674,96.4132
73.4957,115.289
81.8215,136.369
90.6536,159.671
100.003,185.214
109.897,213.055
120.386,243.319
131.531,276.179
143.356,311.654
155.83,349.496
168.884,389.229
182.424,430.173
196.323,471.413
210.434,511.875
224.613,550.472
238.741,586.251
252.677,618.236
266.314,645.712
279.605,668.367
292.562,686.234
305.213,699.47
317.608,708.34
329.865,713.292
342.21,715.006
354.841,713.907
367.893,710.18
381.432,703.841
395.456,694.807
409.894,682.938
424.629,668.077
439.546,650.131
454.565,629.135
469.625,605.237
484.676,578.679
499.712,549.86
514.788,519.367
530.114,488.142
545.805,457.111
561.966,427.335
578.686,400.027
596.071,376.682
614.208,359.043
633.122,348.967
652.675,347.849
672.871,357.725
693.772,381.221
715.487,421.725
738.017,482.371
761.384,566.837
785.625,679.381
810.825,825.412
837.118,1011.84
864.595,1246.1
893.277,1535.58
923.302,1890.7
954.785,2323.23
987.839,2846.58
1022.5,3473.85
