mean,variance
0.00313728,1.16391e-05
0.00370497,1.51649e-05
0.00436074,1.98385e-05
0.00512594,2.59893e-05
0.00602207,3.40655e-05
0.00707316,4.46596e-05
0.00830706,5.85483e-05
0.00975645,7.67475e-05
0.0114598,0.000100583
0.0134625,0.000131784
0.0158181,0.000172604
0.0185898,0.000225972
0.0218523,0.0002957
0.0256936,0.000386733
0.0302182,0.000505483
0.0355492,0.00066025
0.0418323,0.000861759
0.04924,0.00112385
0.0579763,0.00146434
0.0682826,0.00190611
0.0804329,0.00247797
0.0947369,0.00321575
0.111585,0.00416591
0.131439,0.00538739
0.154846,0.00695467
0.182455,0.0089615
0.21504,0.011526
0.253553,0.0147983
0.299132,0.0189673
0.353101,0.0242646
0.417017,0.0309743
0.49273,0.0394424
0.582435,0.0500872
0.688741,0.063409
0.814719,0.0799966
0.963816,0.10051
1.14013,0.1257
1.3484,0.156384
1.59401,0.193421
1.88307,0.237672
2.22251,0.289958
2.61927,0.350892
3.07843,0.420536
3.6045,0.498491
4.1975,0.583398
4.85262,0.672881
5.55963,0.763598
6.30287,0.851403
7.06236,0.9317
7.81921,1.00042
8.5531,1.05394
9.24993,1.09027
9.90192,1.10922
10.5056,1.11189
11.0607,1.1003
11.5688,1.07688
12.0329,1.04414
12.4552,1.00432
12.8381,0.95934
13.1837,0.910852
13.4936,0.860135
13.7693,0.808243
14.0125,0.756066
14.2254,0.704354
14.4115,0.653764
14.5746,0.604822
14.7194,0.557913
14.8468,0.513084
14.954,0.470182
15.04,0.429217
15.1053,0.390293
15.1522,0.353541
15.1835,0.319047
15.2013,0.286848
15.2108,0.256939
15.2198,0.229233
15.2325,0.203625
15.2501,0.180085
15.2725,0.158661
15.2976,0.139461
15.3229,0.122614
15.3457,0.108223
15.3638,0.0963515
15.3767,0.0870273
15.3838,0.0802655
15.3852,0.0760714
15.3821,0.0744575
15.3766,0.075465
15.3691,0.0791358
15.3586,0.0854757
15.3435,0.0944398
15.322,0.105931
15.2923,0.119804
15.2525,0.13586
15.2008,0.153879
15.1381,0.173764
15.067,0.195562
14.9914,0.219442
14.9161,0.245685
14.8444,0.274552
14.7791,0.306319
14.7219,0.341248
14.674,0.37962
14.6355,0.421635
14.6073,0.467674
14.5904,0.518141
14.5875,0.573906
14.6021,0.636153
14.6383,0.706471
14.7002,0.78687
