mean,variance
0.0121209,1.76543e-05
0.0137363,2.18801e-05
0.015566,2.71055e-05
0.0176384,3.35628e-05
0.0199862,4.15371e-05
0.0226458,5.13782e-05
0.0256592,6.35142e-05
0.0290733,7.84689e-05
0.0329419,9.68825e-05
0.0373257,0.000119536
0.0422933,0.000147382
0.0479231,0.00018158
0.0543034,0.000223539
0.0615346,0.000274968
0.0697308,0.000337941
0.0790209,0.000414965
0.0895515,0.000509068
0.101489,0.0006239
0.115021,0.000763854
0.130362,0.000934201
0.147755,0.00114126
0.167474,0.00139258
0.189832,0.00169716
0.215183,0.00206571
0.243928,0.00251093
0.276524,0.00304784
0.313487,0.00369415
0.355406,0.00447068
0.402945,0.00540183
0.456862,0.0065161
0.518013,0.00784665
0.587373,0.00943197
0.666047,0.0113166
0.75529,0.0135519
0.856524,0.0161969
0.971367,0.0193195
1.10165,0.0229977
1.24946,0.0273211
1.41717,0.0323933
1.60744,0.0383344
1.82335,0.0452858
2.06833,0.0534157
2.34633,0.0629291
2.66155,0.0740736
3.01822,0.0871474
3.42108,0.102531
3.87467,0.120697
4.38256,0.142207
4.94726,0.167719
5.56904,0.197929
6.24388,0.233389
6.96416,0.274366
7.71986,0.320738
8.49907,0.371873
9.28845,0.42655
10.0748,0.48307
10.8474,0.53964
11.6,0.594787
12.3297,0.647456
13.0356,0.696972
13.7189,0.743028
14.3818,0.785585
15.0272,0.824794
15.6585,0.860907
16.2796,0.894241
16.8943,0.925131
17.5062,0.953844
18.1178,0.980517
18.7315,1.00528
19.3497,1.02824
19.9738,1.04944
20.6051,1.06895
21.2452,1.08686
21.8963,1.1034
22.5623,1.11895
23.2465,1.1339
23.9524,1.14871
24.6845,1.164
25.4481,1.18056
26.2492,1.19936
27.0932,1.22156
27.9852,1.24853
28.9315,1.28202
29.9345,1.32382
30.9937,1.37566
32.107,1.4392
33.272,1.51623
34.4861,1.60849
35.7463,1.71777
37.048,1.84549
38.3919,1.99425
39.782,2.16777
41.2248,2.37118
42.7271,2.61056
44.2968,2.89347
45.943,3.22917
47.676,3.62914
49.5071,4.10746
51.4487,4.6813
53.5185,5.37409
55.739,6.21735
58.1352,7.25114
60.7353,8.52713
63.561,10.1031
66.6281,12.0427
69.9497,14.4181
73.5536,17.333
77.4727,20.9203
81.7437,25.3474
86.41,30.8308
