mean,variance
0.0182483,3.72243e-05
0.0209391,4.70538e-05
0.024027,5.9443e-05
0.0275707,7.5047e-05
0.0316378,9.46847e-05
0.0363058,0.000119379
0.041664,0.000150407
0.0478146,0.000189358
0.0548752,0.000238212
0.0629807,0.00029943
0.0722864,0.000376067
0.0829703,0.000471908
0.0952373,0.000591642
0.109322,0.000741061
0.125496,0.000927313
0.144068,0.00115921
0.165396,0.00144757
0.18989,0.00180571
0.21802,0.00224992
0.250328,0.00280015
0.287436,0.00348077
0.33006,0.00432146
0.37902,0.00535837
0.435262,0.00663542
0.499871,0.00820588
0.574095,0.0101343
0.659368,0.0124988
0.75734,0.0153938
0.869905,0.0189336
0.999244,0.0232564
1.14786,0.0285297
1.31864,0.0349568
1.51488,0.0427856
1.74041,0.05232
1.99959,0.063935
2.29746,0.0780975
2.6398,0.0953955
3.03327,0.116578
3.48552,0.142614
4.00535,0.174774
4.60123,0.214614
5.27693,0.263581
6.03071,0.322618
6.86181,0.392575
7.76748,0.473859
8.74227,0.566156
9.77755,0.668124
10.8628,0.777438
11.9866,0.890972
13.1369,1.00499
14.2971,1.11409
15.449,1.21218
16.5709,1.2921
17.6401,1.34675
18.6346,1.37054
19.5361,1.36068
20.3289,1.31757
21.0086,1.24691
21.5746,1.15655
22.0342,1.05618
22.4001,0.954986
22.6858,0.859722
22.9038,0.774413
23.0651,0.700745
23.1796,0.638722
23.2577,0.587103
23.3097,0.54371
23.3443,0.505922
23.3705,0.470993
23.3962,0.436379
23.4272,0.400356
23.4671,0.362075
23.5196,0.321403
23.5896,0.278561
23.6834,0.234324
23.8008,0.19121
23.9362,0.152688
24.0768,0.122271
24.2007,0.102399
24.2932,0.0927709
24.345,0.0918413
24.3503,0.0977686
24.3122,0.10907
24.2393,0.125002
24.1491,0.145734
24.0685,0.172752
24.0159,0.208596
24.0012,0.257045
24.0307,0.323328
24.0998,0.412166
24.2045,0.52819
24.3408,0.675535
24.5051,0.857941
24.6959,1.07933
24.9117,1.34357
25.1505,1.65382
25.42,2.02065
25.7277,2.45721
26.0815,2.98013
26.488,3.60858
26.9517,4.36263
27.4784,5.26794
28.0735,6.35421
28.7522,7.67374
29.5353,9.30329
30.4473,11.3477
31.5165,13.9488
32.7732,17.2947
34.2452,21.6157
35.9654,27.2233
