iter,D_sim
0,0.000475294
0,0.000758356
0,0.000990568
0,0.00122825
0,0.00149728
0,0.00181333
0,0.00218952
0,0.0026395
0,0.00317887
0,0.00382604
0,0.00460301
0,0.00553616
0,0.00665717
0,0.00800406
0,0.00962253
0,0.0115675
0,0.013905
0,0.0167143
0,0.0200907
0,0.0241403
0,0.029002
0,0.0348452
0,0.0418697
0,0.0503013
0,0.0604185
0,0.0725556
0,0.0871166
0,0.104582
0,0.12544
0,0.150402
0,0.180412
0,0.216522
0,0.25997
0,0.312236
0,0.375095
0,0.45068
0,0.541556
0,0.650806
0,0.782137
0,0.939921
0,1.12892
0,1.35375
0,1.61866
0,1.92799
0,2.28451
0,2.6916
0,3.15105
0,3.65735
0,4.20087
0,4.76888
0,5.34442
0,5.91015
0,6.4497
0,6.94598
0,7.39339
0,7.79331
0,8.15029
0,8.47207
0,8.76604
0,9.03891
0,9.297
0,9.54603
0,9.79149
0,10.0377
0,10.2894
0,10.5501
0,10.8202
0,11.0983
0,11.3782
0,11.6544
0,11.9229
0,12.1793
0,12.4229
0,12.6549
0,12.8769
0,13.0938
0,13.3081
0,13.5203
0,13.7311
0,13.9404
0,14.1478
0,14.3531
0,14.5567
0,14.7585
0,14.9593
0,15.1592
0,15.3574
0,15.5554
0,15.7586
0,15.9655
0,16.1794
0,16.4027
0,16.6404
0,16.8991
0,17.184
0,17.4977
0,17.8517
0,18.2525
0,18.7041
0,19.2105
0,19.7766
0,20.4066
0,21.1033
0,21.8682
0,22.7035
0,23.6112
0,24.5934
0,25.6526
0,26.791
0,28.0085
1,0.000746647
1,0.000974806
1,0.00120638
1,0.00146654
1,0.00177027
1,0.00212989
1,0.00255793
1,0.0030686
1,0.00367856
1,0.00440761
1,0.00527936
1,0.00632205
1,0.00756945
1,0.00906195
1,0.0108479
1,0.012985
1,0.0155426
1,0.0186035
1,0.0222667
1,0.0266419
1,0.0318724
1,0.0381322
1,0.0456256
1,0.0545821
1,0.0652842
1,0.0780691
1,0.0933427
1,0.111586
1,0.133284
1,0.159143
1,0.190098
1,0.227186
1,0.271622
1,0.32485
1,0.388594
1,0.464919
1,0.556297
1,0.665686
1,0.796628
1,0.953281
1,1.14015
1,1.36156
1,1.62145
1,1.92383
1,2.27117
1,2.66651
1,3.1114
1,3.60051
1,4.1247
1,4.672
1,5.22651
1,5.77208
1,6.29349
1,6.77487
1,7.21097
1,7.60301
1,7.95518
1,8.2746
1,8.56812
1,8.84195
1,9.102
1,9.35363
1,9.60198
1,9.85115
1,10.1056
1,10.3687
1,10.6409
1,10.9209
1,11.203
1,11.4821
1,11.7546
1,12.0162
1,12.2662
1,12.5059
1,12.7366
1,12.963
1,13.1873
1,13.4101
1,13.6319
1,13.853
1,14.0725
1,14.2906
1,14.5076
1,14.7233
1,14.9386
1,15.1535
1,15.3672
1,15.5813
1,15.8008
1,16.0244
1,16.2551
1,16.4954
1,16.75
1,17.0253
1,17.3264
1,17.6558
1,18.0246
1,18.4393
1,18.9036
1,19.4219
1,19.9987
1,20.6382
1,21.3433
1,22.1156
1,22.9573
1,23.8704
1,24.857
1,25.9197
1,27.0604
1,28.2794
2,0.000979765
2,0.00120851
2,0.00146376
2,0.00176029
2,0.00210988
2,0.00252438
2,0.00301704
2,0.00360328
2,0.00430138
2,0.00513303
2,0.00612409
2,0.00730532
2,0.00871343
2,0.0103921
2,0.0123936
2,0.0147799
2,0.0176253
2,0.021018
2,0.0250635
2,0.0298776
2,0.0356116
2,0.0424487
2,0.0506029
2,0.0603136
2,0.0718742
2,0.0856339
2,0.102012
2,0.121503
2,0.144599
2,0.172026
2,0.204735
2,0.243781
2,0.290391
2,0.346017
2,0.412388
2,0.491566
2,0.586011
2,0.698654
2,0.832995
2,0.993123
2,1.18343
2,1.40812
2,1.67093
2,1.97565
2,2.32452
2,2.72032
2,3.16433
2,3.65111
2,4.17145
2,4.7135
2,5.26167
2,5.80019
2,6.31431
2,6.78873
2,7.2185
2,7.60498
2,7.95237
2,8.26774
