iter,D_sim
0,0.00327664
0,0.00373709
0,0.0042595
0,0.00485253
0,0.00552601
0,0.00629111
0,0.00716051
0,0.00814862
0,0.00927183
0,0.0105488
0,0.0120006
0,0.0136513
0,0.0155284
0,0.0176629
0,0.0200902
0,0.0228506
0,0.0259898
0,0.0295599
0,0.03362
0,0.0382375
0,0.0434888
0,0.0494611
0,0.0562534
0,0.0639782
0,0.0727636
0,0.0827552
0,0.0941187
0,0.107042
0,0.121741
0,0.138457
0,0.157468
0,0.17909
0,0.20368
0,0.231646
0,0.263451
0,0.299624
0,0.340762
0,0.387512
0,0.440601
0,0.500831
0,0.56887
0,0.644506
0,0.726368
0,0.813182
0,0.903519
0,0.995459
0,1.08659
0,1.17448
0,1.25763
0,1.3355
0,1.4075
0,1.47316
0,1.5322
0,1.58447
0,1.63011
0,1.66954
0,1.70352
0,1.73316
0,1.75958
0,1.78354
0,1.80558
0,1.82622
0,1.84561
0,1.86373
0,1.88064
0,1.89677
0,1.91292
0,1.93007
0,1.949
0,1.97065
0,1.99593
0,2.02552
0,2.05974
0,2.09866
0,2.14254
0,2.19095
0,2.24296
0,2.29734
0,2.35207
0,2.40583
0,2.45809
0,2.50841
0,2.55729
0,2.60592
0,2.65588
0,2.70978
0,2.7696
0,2.83654
0,2.91154
0,2.99475
0,3.08615
0,3.18547
0,3.29248
0,3.40784
0,3.53092
0,3.66205
0,3.80338
0,3.95808
0,4.13093
0,4.32665
0,4.54893
0,4.80395
0,5.09679
0,5.43163
0,5.81258
0,6.24404
0,6.73098
0,7.27907
0,7.89484
0,8.58338
1,0.00335139
1,0.0038205
1,0.00435274
1,0.00495692
1,0.00564304
1,0.00642244
1,0.00730801
1,0.00831441
1,0.00945828
1,0.0107585
1,0.0122367
1,0.0139171
1,0.0158277
1,0.018
1,0.02047
1,0.0232784
1,0.0264718
1,0.0301028
1,0.0342317
1,0.0389265
1,0.0442651
1,0.0503355
1,0.0572383
1,0.0650876
1,0.0740131
1,0.0841624
1,0.0957033
1,0.108827
1,0.123749
1,0.140718
1,0.160014
1,0.181955
1,0.206904
1,0.235275
1,0.267535
1,0.304218
1,0.34593
1,0.393324
1,0.447133
1,0.508169
1,0.577099
1,0.653682
1,0.736483
1,0.824178
1,0.915292
1,1.00785
1,1.09938
1,1.18739
1,1.27039
1,1.34784
1,1.4192
1,1.484
1,1.54199
1,1.59306
1,1.63737
1,1.67538
1,1.7079
1,1.73609
1,1.76109
1,1.78371
1,1.80449
1,1.82396
1,1.84227
1,1.85938
1,1.87535
1,1.89061
1,1.906
1,1.9225
1,1.9409
1,1.96216
1,1.98719
1,2.01667
1,2.05092
1,2.08998
1,2.13409
1,2.18281
1,2.23514
1,2.28982
1,2.34476
1,2.3986
1,2.45083
1,2.50099
1,2.54963
1,2.59799
1,2.6477
1,2.70145
1,2.76126
1,2.82835
1,2.90367
1,2.98733
1,3.07928
1,3.17923
1,3.2869
1,3.40297
1,3.52677
1,3.65864
1,3.80077
1,3.95641
1,4.13045
1,4.3277
1,4.55191
1,4.80934
1,5.10513
1,5.44346
1,5.82842
1,6.26443
1,6.75645
1,7.31018
1,7.93216
1,8.62746
2,0.00337082
2,0.00384264
2,0.00437802
2,0.00498581
2,0.0056761
2,0.00646031
2,0.00735143
2,0.00836421
2,0.00951543
2,0.0108241
2,0.012312
2,0.0140037
2,0.0159271
2,0.0181142
2,0.0206011
2,0.023429
2,0.0266448
2,0.0303015
2,0.0344599
2,0.0391887
2,0.0445661
2,0.0506812
2,0.0576353
2,0.0655434
2,0.0745363
2,0.084763
2,0.0963928
2,0.109618
2,0.124658
2,0.141761
2,0.16121
2,0.183327
2,0.208479
2,0.237081
2,0.269607
2,0.306595
2,0.348656
2,0.39645
2,0.450717
2,0.512275
2,0.581796
2,0.659033
2,0.742523
2,0.830923
2,0.922732
2,1.01595
2,1.10807
2,1.19657
2,1.27995
2,1.35767
2,1.42919
2,1.49403
2,1.55196
2,1.60287
2,1.64693
2,1.68462
2,1.71677
2,1.74454
2,1.76911
2,1.79128
2,1.81162
2,1.83064
2,1.84851
2,1.86519
2,1.88073
2,1.89557
2,1.91055
2,1.92666
2,1.94471
2,1.96565
2,1.9904
2,2.01965
2,2.0537
2,2.09259
2,2.13657
2,2.18518
2,2.2374
2,2.29197
2,2.34676
2,2.40041
2,2.4524
2,2.50227
2,2.55059
2,2.59859
2,2.64795
2,2.70137
2,2.76087
2,2.82769
2,2.90278
2,2.98623
2,3.07798
2,3.17775
2,3.28524
2,3.40113
2,3.52474
2,3.6564
2,3.79832
2,3.95377
2,4.12766
2,4.32484
2,4.54904
2,4.80658
2,5.10258
2,5.44124
2,5.82665
2,6.26321
2,6.7559
2,7.31041
2,7.93329
2,8.62962
3,0.00339165
3,0.00386502
3,0.00440204
3,0.0050116
3,0.00570373
3,0.00648987
3,0.00738298
3,0.0083978
3,0.00955106
3,0.0108618
3,0.0123516
3,0.014045
3,0.01597
3,0.0181584
3,0.0206461
3,0.0234743
3,0.0266895
3,0.0303448
3,0.0345005
3,0.039225
3,0.0445963
3,0.0507029
3,0.0576455
3,0.0655386
3,0.0745124
3,0.0847147
3,0.0963138
3,0.109501
3,0.124494
3,0.141539
3,0.160918
3,0.182949
3,0.207997
3,0.236475
3,0.268851
3,0.305658
3,0.347505
3,0.395043
3,0.449005
3,0.510202
3,0.579297
3,0.656032
3,0.738944
3,0.826686
3,0.917764
3,1.01018
3,1.10146
3,1.18908
3,1.27156
3,1.34838
3,1.41902
3,1.48302
3,1.54015
3,1.59032
3,1.63371
3,1.6708
3,1.70241
3,1.72972
3,1.75391
3,1.77577
3,1.79586
3,1.8147
3,1.83244
3,1.84905
3,1.86456
3,1.87942
3,1.89446
3,1.91067
3,1.92885
3,1.94995
3,1.9749
3,2.00437
3,2.03865
3,2.07778
3,2.12202
3,2.17086
3,2.22333
3,2.27812
3,2.33311
3,2.38695
3,2.43911
3,2.48915
3,2.53762
3,2.58581
3,2.63536
3,2.68901
3,2.74878
3,2.8159
3,2.89132
3,2.97513
3,3.06726
3,3.16742
3,3.27529
3,3.39157
3,3.51557
3,3.64761
3,3.78993
3,3.9458
3,4.12015
3,4.31786
3,4.54265
3,4.80085
3,5.09757
3,5.43702
3,5.82324
3,6.26063
3,6.75415
3,7.30946
3,7.93311
3,8.63011
4,0.0034646
4,0.00394747
4,0.00449543
4,0.00511755
4,0.00582412
4,0.0066268
4,0.00753887
4,0.0085754
4,0.00975351
4,0.0110927
4,0.012615
4,0.0143456
4,0.0163132
4,0.0185501
4,0.0210934
4,0.023985
4,0.0272728
4,0.0310109
4,0.0352612
4,0.0400938
4,0.0455886
4,0.0518363
4,0.05894
4,0.0670171
4,0.076201
4,0.0866432
4,0.0985164
4,0.112016
4,0.127366
4,0.14482
4,0.164664
4,0.187228
4,0.212884
4,0.242055
4,0.275222
4,0.312934
4,0.355814
4,0.404528
4,0.45983
4,0.522551
4,0.593364
4,0.671983
4,0.756857
4,0.846575
4,0.939572
4,1.03377
4,1.12658
4,1.21542
4,1.29876
4,1.37609
4,1.44691
4,1.51079
4,1.56749
4,1.61698
4,1.65944
4,1.69543
4,1.72582
4,1.75184
4,1.77473
4,1.79532
4,1.81419
4,1.83187
4,1.84851
4,1.86405
4,1.87855
4,1.89245
4,1.90661
4,1.92204
4,1.93959
4,1.9602
4,1.98482
4,2.01414
4,2.04844
4,2.08772
4,2.13224
4,2.18146
4,2.23433
4,2.28951
4,2.34478
4,2.39875
4,2.45088
4,2.50075
4,2.54893
4,2.59676
4,2.64599
4,2.69941
4,2.75915
4,2.82643
4,2.90221
4,2.98656
4,3.07936
4,3.1803
4,3.28903
4,3.40625
4,3.53123
4,3.66428
4,3.80772
4,3.96491
4,4.14095
4,4.34081
4,4.56828
4,4.82983
4,5.13068
4,5.47503
4,5.86698
4,6.31094
4,6.81191
4,7.37563
4,8.00872
4,8.71622
5,0.00383622
5,0.0043648
5,0.0049652
5,0.00564734
5,0.00642248
5,0.00730343
5,0.00830472
5,0.00944287
5,0.0107367
5,0.0122074
5,0.0138794
5,0.0157802
5,0.0179411
5,0.0203978
5,0.0231907
5,0.026366
5,0.029976
5,0.0340802
5,0.0387462
5,0.044051
5,0.050082
5,0.0569387
5,0.0647341
5,0.0735967
5,0.0836726
5,0.0951279
5,0.108151
5,0.122958
5,0.139792
5,0.15893
5,0.180687
5,0.205424
5,0.233547
5,0.265519
5,0.301868
5,0.343193
5,0.390175
5,0.44354
5,0.504106
5,0.572773
5,0.650243
5,0.736041
5,0.828195
5,0.924969
5,1.0245
5,1.12436
5,1.22154
5,1.31313
5,1.39755
5,1.47447
5,1.54353
5,1.60443
5,1.65712
5,1.70172
5,1.7386
5,1.76857
5,1.79276
5,1.81271
5,1.8299
5,1.84529
5,1.8595
5,1.8731
5,1.88616
5,1.89855
5,1.91026
5,1.92177
5,1.93406
5,1.94831
5,1.96539
5,1.98637
5,2.01227
5,2.04377
5,2.08106
5,2.12405
5,2.17289
5,2.22687
5,2.28462
5,2.34448
5,2.40379
5,2.46094
5,2.51545
5,2.56691
5,2.61617
5,2.66495
5,2.7154
5,2.77091
5,2.83394
5,2.9058
5,2.98746
5,3.07879
5,3.1795
5,3.28903
5,3.40689
5,3.53383
5,3.66889
5,3.81241
5,3.96716
5,4.13715
5,4.32839
5,4.54661
5,4.79596
5,5.08384
5,5.41593
5,5.79663
5,6.23016
5,6.72112
5,7.27479
5,7.89734
5,8.59592
5,9.37569
6,0.00351102
6,0.00399753
6,0.00454873
6,0.0051735
6,0.00588193
6,0.00668546
6,0.00759707
6,0.00863147
6,0.00980537
6,0.0111377
6,0.0126501
6,0.0143668
6,0.0163157
6,0.0185283
6,0.0210402
6,0.0238921
6,0.02713
6,0.0308062
6,0.0349801
6,0.0397193
6,0.0451001
6,0.0512096
6,0.0581464
6,0.0660227
6,0.0749656
6,0.0851196
6,0.0966488
6,0.109739
6,0.124603
6,0.141479
6,0.160641
6,0.182398
6,0.207102
6,0.23515
6,0.266998
6,0.303158
6,0.344215
6,0.390797
6,0.443611
6,0.503435
6,0.570919
6,0.645877
6,0.727011
6,0.813107
6,0.902793
6,0.994225
6,1.08509
6,1.17303
6,1.25658
6,1.33516
6,1.40817
6,1.4751
6,1.53563
6,1.58961
6,1.6371
6,1.67848
6,1.71444
6,1.746
6,1.77421
6,1.79979
6,1.82327
6,1.84513
6,1.86556
6,1.88454
6,1.90214
6,1.91879
6,1.93525
6,1.95243
6,1.97111
6,1.99218
6,2.0165
6,2.04475
6,2.07726
6,2.11412
6,2.1556
6,2.20133
6,2.25047
6,2.30188
6,2.35371
6,2.40472
6,2.45442
6,2.50235
6,2.54895
6,2.5953
6,2.64282
6,2.69392
6,2.75041
6,2.81343
6,2.88388
6,2.96192
6,3.04755
6,3.14058
6,3.24079
6,3.3488
6,3.46405
6,3.58683
6,3.7191
6,3.86372
6,4.02502
6,4.20732
6,4.414
6,4.65071
6,4.92208
6,5.232
6,5.58422
6,5.9828
6,6.43228
6,6.93781
6,7.5053
6,8.1394
7,0.00363008
7,0.00413107
7,0.00469871
7,0.00534216
7,0.0060718
7,0.00689939
7,0.00783828
7,0.00890362
7,0.0101126
7,0.0114847
7,0.0130421
7,0.0148098
7,0.0168164
7,0.0190943
7,0.0216802
7,0.0246159
7,0.0279486
7,0.0317321
7,0.0360275
7,0.040904
7,0.0464403
7,0.0527257
7,0.0598616
7,0.067963
7,0.0771607
7,0.087603
7,0.0994583
7,0.112918
7,0.128198
7,0.145547
7,0.165243
7,0.187604
7,0.212991
7,0.241813
7,0.274534
7,0.311683
7,0.353859
7,0.401704
7,0.455943
7,0.517371
7,0.586647
7,0.663541
7,0.746658
7,0.834698
7,0.926211
7,1.01925
7,1.1114
7,1.2002
7,1.28416
7,1.3627
7,1.43525
7,1.50133
7,1.56065
7,1.61308
7,1.65874
7,1.69807
7,1.73182
7,1.76111
7,1.78703
7,1.81035
7,1.83164
7,1.85139
7,1.86978
7,1.8868
7,1.90251
7,1.91735
7,1.93211
7,1.94774
7,1.96503
7,1.98489
7,2.00821
7,2.03566
7,2.06755
7,2.10396
7,2.14512
7,2.19064
7,2.23959
7,2.29079
7,2.34229
7,2.39279
7,2.4418
7,2.48887
7,2.53447
7,2.57975
7,2.62621
7,2.67633
7,2.73202
7,2.79441
7,2.8644
7,2.94214
7,3.02757
7,3.12046
7,3.22056
7,3.32847
7,3.4436
7,3.56623
7,3.69836
7,3.84296
7,4.00448
7,4.18734
7,4.39497
7,4.63312
7,4.90649
7,5.21892
7,5.57419
7,5.97631
7,6.42981
7,6.93984
7,7.51231
7,8.15183
8,0.00345735
8,0.00393698
8,0.00448098
8,0.00509826
8,0.00579894
8,0.00659452
