iter,D_sim
0,0.000144009
0,0.000246471
0,0.000337932
0,0.00043189
0,0.000535038
0,0.000651472
0,0.000784445
0,0.000937112
0,0.00111289
0,0.00131562
0,0.00154974
0,0.00182037
0,0.00213345
0,0.00249584
0,0.00291554
0,0.00340182
0,0.00396543
0,0.00461884
0,0.00537654
0,0.00625535
0,0.00727477
0,0.00845746
0,0.00982971
0,0.011422
0,0.0132699
0,0.0154086
0,0.0178731
0,0.0207019
0,0.0239384
0,0.0276315
0,0.0318437
0,0.0366528
0,0.0421543
0,0.0484627
0,0.0557065
0,0.0640297
0,0.0735939
0,0.0845795
0,0.0971943
0,0.111643
0,0.128106
0,0.14675
0,0.16772
0,0.191127
0,0.217047
0,0.245491
0,0.276506
0,0.31018
0,0.34666
0,0.386004
0,0.428283
0,0.473578
0,0.521996
0,0.573622
0,0.628544
0,0.686768
0,0.748509
0,0.813968
0,0.883326
0,0.956723
0,1.03428
0,1.11614
0,1.20247
0,1.29345
0,1.38934
0,1.49031
0,1.59651
0,1.7081
0,1.82527
0,1.94829
0,2.07743
0,2.21294
0,2.35521
0,2.50471
0,2.66192
0,2.82729
0,3.00122
0,3.18412
0,3.37642
0,3.57874
0,3.7918
0,4.0165
0,4.2535
0,4.50324
0,4.76605
0,5.04218
0,5.33178
0,5.6348
0,5.95103
0,6.28078
0,6.62463
0,6.98339
0,7.35786
0,7.74885
0,8.15724
0,8.58424
0,9.03157
0,9.50214
0,9.999
0,10.5213
0,11.0659
0,11.6284
0,12.2035
0,12.7848
0,13.3636
0,13.9304
0,14.4807
0,15.013
0,15.527
0,16.0234
1,0.00014389
1,0.000246274
1,0.000337654
1,0.000431512
1,0.000534534
1,0.000650808
1,0.000783578
1,0.000935993
1,0.00111145
1,0.0013138
1,0.00154744
1,0.00181749
1,0.00212984
1,0.00249135
1,0.00290998
1,0.00339495
1,0.00395697
1,0.00460846
1,0.00536384
1,0.00623985
1,0.00725589
1,0.00843451
1,0.00980187
1,0.0113883
1,0.0132291
1,0.0153595
1,0.017814
1,0.020631
1,0.0238537
1,0.0275308
1,0.0317242
1,0.0365113
1,0.0419871
1,0.0482654
1,0.0554738
1,0.0637553
1,0.0732707
1,0.084199
1,0.0967466
1,0.111117
1,0.127489
1,0.146028
1,0.166878
1,0.190151
1,0.21592
1,0.244197
1,0.275029
1,0.308503
1,0.344766
1,0.383876
1,0.425902
1,0.470926
1,0.519054
1,0.570372
1,0.624966
1,0.682844
1,0.744218
1,0.80929
1,0.878238
1,0.951202
1,1.02831
1,1.10969
1,1.19552
1,1.28597
1,1.3813
1,1.48169
1,1.58729
1,1.69825
1,1.81477
1,1.9371
1,2.06552
1,2.20029
1,2.34178
1,2.49047
1,2.64684
1,2.81132
1,2.98432
1,3.16625
1,3.35754
1,3.55881
1,3.77076
1,3.99431
