iter,D_sim
0,0.00161878
0,0.0018505
0,0.00211109
0,0.00240435
0,0.00273458
0,0.00310664
0,0.00352603
0,0.00399892
0,0.00453233
0,0.00513414
0,0.00581328
0,0.00657983
0,0.00744517
0,0.00842215
0,0.00952531
0,0.010771
0,0.0121779
0,0.0137668
0,0.0155614
0,0.0175884
0,0.0198771
0,0.0224597
0,0.0253715
0,0.0286539
0,0.0323538
0,0.0365269
0,0.0412369
0,0.0465539
0,0.0525592
0,0.0593441
0,0.0670107
0,0.0756737
0,0.0854626
0,0.0965234
0,0.109021
0,0.123142
0,0.139097
0,0.157123
0,0.17749
0,0.200502
0,0.2265
0,0.255873
0,0.289059
0,0.326544
0,0.368868
0,0.41663
0,0.470509
0,0.531247
0,0.599614
0,0.676309
0,0.762086
0,0.857596
0,0.963481
0,1.08003
0,1.20711
0,1.34423
0,1.49087
0,1.64675
0,1.81083
0,1.98136
0,2.15668
0,2.33529
0,2.51587
0,2.69739
0,2.87794
0,3.05686
0,3.23403
0,3.40945
0,3.58321
0,3.75557
0,3.92669
0,4.0965
0,4.26476
0,4.43151
0,4.59687
0,4.76117
0,4.92451
0,5.08684
0,5.24837
0,5.40931
0,5.56976
0,5.72971
0,5.8891
0,6.04786
0,6.2059
0,6.36314
0,6.51939
0,6.67467
0,6.82911
0,6.98281
0,7.1361
0,7.2894
0,7.44435
0,7.60321
0,7.76873
0,7.94348
0,8.13039
0,8.33201
0,8.55035
0,8.78698
0,9.04337
0,9.32078
0,9.62064
0,9.94457
0,10.2946
0,10.673
0,11.0817
0,11.5221
0,11.9955
0,12.5038
1,0.00171181
1,0.00195232
1,0.00222268
1,0.00252679
1,0.00286903
1,0.00325435
1,0.00368834
1,0.00417729
1,0.00472831
1,0.0053494
1,0.00604962
1,0.00683917
1,0.00772955
1,0.00873377
1,0.00986646
1,0.0111442
1,0.0125856
1,0.0142118
1,0.0160464
1,0.0181164
1,0.0204512
1,0.0230828
1,0.0260468
1,0.0293844
1,0.0331427
1,0.037377
1,0.0421506
1,0.0475334
1,0.0536061
1,0.0604594
1,0.0681945
1,0.0769249
1,0.0867788
1,0.0979004
1,0.110453
1,0.124619
1,0.140608
1,0.158652
1,0.179017
1,0.201999
1,0.227936
1,0.257207
1,0.29024
1,0.327512
1,0.369549
1,0.416935
1,0.470332
1,0.530464
1,0.598078
1,0.673858
1,0.758539
1,0.852758
1,0.957141
1,1.07198
1,1.19717
1,1.33224
1,1.47673
1,1.63035
1,1.79215
1,1.96045
1,2.13368
1,2.31041
1,2.48937
1,2.66957
1,2.84918
1,3.02755
1,3.20453
1,3.38011
1,3.55433
1,3.72743
1,3.89952
1,4.07053
1,4.2402
1,4.40858
1,4.57574
1,4.74197
1,4.90737
1,5.07188
1,5.23568
1,5.39895
1,5.56178
1,5.72417
1,5.88602
1,6.04729
1,6.20788
1,6.3677
1,6.52656
1,6.6845
1,6.84161
1,6.99798
1,7.15393
1,7.30982
1,7.46721
1,7.6282
1,7.79538
1,7.97118
1,8.15836
1,8.35934
1,8.57605
1,8.80999
1,9.06259
1,9.33507
1,9.62884
1,9.94543
1,10.2868
1,10.6551
1,11.0522
1,11.4795
1,11.9381
1,12.43
2,0.00162413
2,0.00185624
2,0.0021172
2,0.00241082
2,0.0027414
2,0.00311378
2,0.00353344
2,0.00400657
2,0.00454013
2,0.00514202
2,0.00582112
2,0.00658748
2,0.00745245
2,0.00842885
2,0.00953115
2,0.0107757
2,0.0121809
2,0.0137677
2,0.0155597
2,0.0175833
2,0.0198678
2,0.0224452
2,0.0253506
2,0.0286253
2,0.0323158
2,0.0364778
2,0.0411742
2,0.0464751
2,0.0524611
2,0.059223
2,0.0668623
2,0.075493
2,0.0852436
2,0.0962591
2,0.108704
2,0.122762
2,0.138643
2,0.156583
2,0.176849
2,0.199742
2,0.225602
2,0.254813
2,0.287811
2,0.325077
2,0.367146
2,0.414612
2,0.468148
2,0.52849
2,0.596399
2,0.672569
2,0.757747
2,0.852578
2,0.957699
2,1.0734
2,1.19955
2,1.33567
2,1.48124
2,1.63599
2,1.79891
2,1.96828
2,2.14244
2,2.31993
2,2.49945
2,2.67998
2,2.85965
2,3.03781
2,3.21433
2,3.38924
2,3.56261
2,3.73472
2,3.90572
2,4.07555
2,4.24397
2,4.41103
2,4.57685
2,4.74174
2,4.90583
2,5.06906
2,5.23165
2,5.39379
2,5.5556
2,5.71707
2,5.87813
2,6.03872
2,6.19875
2,6.35815
2,6.51671
2,6.67449
2,6.83157
2,6.98809
2,7.14436
2,7.30081
2,7.4591
2,7.62148
2,7.79072
2,7.96943
