iter,D_sim
0,0.000180945
0,0.000307348
0,0.000417751
0,0.000529212
0,0.000650075
0,0.000785268
0,0.000938537
0,0.0011134
0,0.00131357
0,0.00154322
0,0.00180708
0,0.0021106
0,0.00246007
0,0.00286275
0,0.00332701
0,0.00386253
0,0.0044805
0,0.00519384
0,0.00601749
0,0.00696267
0,0.00804397
0,0.00927892
0,0.0106888
0,0.0123014
0,0.0141515
0,0.0162801
0,0.0187372
0,0.0215793
0,0.0248682
0,0.0286742
0,0.033078
0,0.0381727
0,0.0440658
0,0.0508816
0,0.0587637
0,0.0678782
0,0.0784171
0,0.0906022
0,0.104673
0,0.120888
0,0.139546
0,0.160987
0,0.185598
0,0.213833
0,0.246192
0,0.283243
0,0.325591
0,0.373856
0,0.428593
0,0.490329
0,0.559733
0,0.63781
0,0.726043
0,0.826478
0,0.939845
0,1.06623
0,1.20538
0,1.35647
0,1.51776
0,1.68617
0,1.85728
0,2.02919
0,2.20122
0,2.37328
0,2.54557
0,2.71831
0,2.89164
0,3.06591
0,3.24093
0,3.41689
0,3.59389
0,3.77172
0,3.95044
0,4.13053
0,4.31231
0,4.49679
0,4.68457
0,4.8761
0,5.07231
0,5.27377
0,5.48052
0,5.69251
0,5.90999
0,6.13382
0,6.3651
0,6.60423
0,6.85203
0,7.10966
0,7.37889
0,7.66171
0,7.96095
0,8.27987
0,8.62388
0,8.99839
0,9.40923
0,9.86222
0,10.3627
0,10.9153
0,11.5241
0,12.1922
0,12.9226
0,13.7181
0,14.5814
0,15.5166
0,16.5283
0,17.6214
0,18.802
0,20.0766
0,21.4528
0,22.9395
1,0.000177254
1,0.000301309
1,0.000409865
1,0.000519613
1,0.000638725
1,0.000772042
1,0.000923251
1,0.00109583
1,0.00129344
1,0.00152022
1,0.00178085
1,0.00208073
1,0.00242609
1,0.00282412
1,0.00328311
1,0.00381268
1,0.00442389
1,0.00512958
1,0.00594456
1,0.00687999
1,0.00795039
1,0.00917317
1,0.0105694
1,0.0121669
1,0.0139998
1,0.0161091
1,0.0185444
1,0.0213617
1,0.0246224
1,0.0283964
1,0.032764
1,0.0378177
1,0.0436645
1,0.050428
1,0.0582512
1,0.0672994
1,0.0777636
1,0.0898648
1,0.103841
1,0.119951
1,0.138493
1,0.159804
1,0.184272
1,0.212347
1,0.244531
1,0.281389
1,0.323525
1,0.37156
1,0.426048
1,0.487517
1,0.556638
1,0.634414
1,0.722324
1,0.822406
1,0.935395
1,1.06139
1,1.20015
1,1.35086
1,1.5118
1,1.67992
1,1.85083
1,2.02263
1,2.19463
1,2.36676
1,2.53917
1,2.7121
1,2.88568
1,3.06022
1,3.23557
1,3.41188
1,3.58926
1,3.76749
1,3.94662
1,4.12712
1,4.30932
1,4.49421
1,4.68238
1,4.87428
1,5.07082
1,5.27257
1,5.47958
1,5.69178
1,5.90944
1,6.1334
1,6.36475
1,6.60389
1,6.85163
1,7.10912
1,7.37814
1,7.66062
1,7.95941
1,8.27772
1,8.62092
1,8.9944
1,9.40392
1,9.8553
1,10.3538
1,10.9041
1,11.5103
1,12.1754
1,12.9025
1,13.6943
1,14.5537
1,15.4846
1,16.4916
1,17.5798
