beta,permeability,xi,init_days,delay,value
0.0466097,0.00317049,0.165231,43.4855,18.5235,48.8889
0.0455068,0.00181432,0.157714,46.4327,18.2201,49.2927
0.0465926,0.00751326,0.164012,43.4897,18.0537,49.3067
0.0465896,0.0146094,0.166275,43.0265,18.7174,49.3437
0.0451574,0.00187226,0.154866,47.5452,18.2868,49.5025
0.045567,0.0029046,0.160202,46.8171,18.9855,49.5242
0.0451454,0.00108327,0.163833,47.1169,18.3051,49.5338
0.0448112,0.00811855,0.160357,48.6232,18.8811,49.543
0.0470419,0.00129785,0.161134,42.7078,18.0711,49.6096
0.0444764,0.0111425,0.156704,49.6703,18.5087,49.6191
0.045821,0.0162394,0.161847,45.8086,18.09,49.6513
0.0451189,0.0123821,0.156474,47.8641,18.0839,49.7094
0.0466817,0.00234392,0.162617,43.0107,18.4384,49.7235
0.047459,0.00224077,0.16454,41.7078,18.9297,49.7257
0.0447706,0.00799048,0.151796,48.0976,18.5071,49.7789
0.0444527,0.00688769,0.156075,49.8951,18.9373,49.8018
0.0447753,0.00331903,0.158138,48.5489,18.3302,49.8028
0.04446,0.0126532,0.157777,49.7571,18.5954,49.8035
0.0455323,0.0076365,0.157906,46.0558,18.0452,49.8546
0.0454501,0.00352096,0.157773,46.8171,18.1587,49.866
0.0432091,0.00541554,0.164986,53.1387,19.0469,49.8917
0.0463006,0.0066089,0.162626,44.2741,18.838,49.8979
0.0463118,0.00704308,0.163612,44.2193,18.6151,49.9089
0.0447883,0.0141483,0.163507,48.0399,18.3083,49.9158
0.0451315,0.0265268,0.166174,47.9623,18.7178,49.9389
0.0444313,0.00359954,0.156485,49.7328,18.5779,49.9606
0.0471006,0.00295614,0.155675,42.7175,17.0388,49.9661
0.0487415,0.00446838,0.163887,38.0319,17.3456,49.985
0.0454498,0.0257426,0.162773,46.7909,18.7005,49.9892
0.0458022,0.0297736,0.165768,45.8724,18.8671,50.0202
0.0455102,0.0169918,0.160247,46.9426,18.0769,50.0256
0.0458959,0.0155034,0.162599,45.3717,18.7107,50.037
0.0474505,0.0015558,0.158057,41.0718,17.8848,50.0522
0.0447627,0.0136128,0.159812,48.2041,18.9975,50.0529
0.0482978,0.00535661,0.164086,39.1324,17.886,50.0539
0.0478537,0.00502011,0.15722,40.8736,17.2605,50.0654
0.0447707,0.0195356,0.156975,48.3545,18.8642,50.0709
0.04509,0.012353,0.159986,47.961,18.024,50.0722
0.0444388,0.0196337,0.157672,49.5342,18.0819,50.0842
0.0444488,0.0167356,0.154419,49.9482,18.5536,50.1001
0.0465575,0.00956821,0.163782,43.0306,18.1567,50.1021
0.0487424,0.00819501,0.164583,38.4863,17.0079,50.1026
0.047857,0.00553071,0.15241,40.4815,17.47,50.1261
0.0475064,0.00269724,0.162169,41.408,17.7623,50.1267
0.0441001,0.0109012,0.153815,50.0219,18.9699,50.1323
0.0454481,0.029651,0.16295,46.741,18.5736,50.1377
0.0457871,0.0217309,0.164879,45.1886,18.7121,50.1509
0.04442,0.00165088,0.158641,49.1155,18.9737,50.1661
0.0470765,0.0083018,0.16573,42.8259,18.7466,50.1735
0.0470293,0.00795114,0.161281,42.4323,18.3137,50.1769
0.0478815,0.00806978,0.158666,40.6423,17.2685,50.1865
0.0437926,0.00494734,0.144572,51.5439,18.3924,50.1901
0.045491,0.0210418,0.15952,46.2212,18.9985,50.2069
0.0438153,0.0107713,0.153801,51.7678,18.4628,50.2237
0.0451006,0.0252701,0.166124,47.039,18.8688,50.2387
0.0483495,0.00242172,0.157916,39.2348,17.7878,50.247
0.045423,0.00895052,0.163837,46.089,18.6651,50.2568
0.0438197,0.00490773,0.145828,51.0826,18.9395,50.2743
0.0459541,0.00360095,0.160158,45.3422,18.516,50.2841
0.0467158,0.0022154,0.154034,43.4054,17.261,50.2847
0.0470538,0.0134176,0.159196,42.404,17.7116,50.2896
0.0474221,0.00381807,0.155708,41.9063,17.2584,50.2929
0.0466959,0.00512716,0.149244,43.271,17.5012,50.3027
0.044456,0.0287892,0.161925,49.8886,18.37,50.3072
0.0447385,0.00521348,0.159386,48.9285,18.499,50.3133
0.0462979,0.00524939,0.147408,44.5011,17.9156,50.3216
0.0483033,0.00738654,0.156892,39.9732,17.958,50.328
0.044449,0.031195,0.161017,49.2062,18.2037,50.3299
0.0431534,0.00891811,0.16541,53.9545,19.9126,50.3308
0.0447575,0.0263749,0.165245,48.3902,18.3558,50.3319
0.0478555,0.00569619,0.150605,40.0087,17.2143,50.3402
0.0447501,0.0250248,0.162621,48.5603,18.7212,50.3423
0.044737,0.0115805,0.158627,48.2249,18.6298,50.3446
0.0448148,0.0241587,0.158876,48.8897,18.5439,50.3528
0.0444129,0.0120675,0.162219,49.6723,18.8164,50.3554
0.0459278,0.00366569,0.146688,45.2563,17.7089,50.3644
0.0492675,0.00271942,0.163291,37.597,17.7886,50.3666
0.0482532,0.00812696,0.160032,39.3688,17.2799,50.3764
0.0455165,0.0110256,0.154153,46.438,18.5435,50.3847
0.0434625,0.0093613,0.147822,52.5924,18.8078,50.3856
0.0438063,0.0113138,0.146788,51.0991,18.0611,50.4074
0.0437604,0.00800133,0.149029,51.8864,18.6359,50.4087
0.0465395,0.0191495,0.165745,43.1996,18.5004,50.4156
0.0487651,0.00483728,0.156571,38.4766,17.9259,50.431
0.0440893,0.0257256,0.157099,50.2599,18.4935,50.4428
0.0454708,0.0301982,0.162122,46.2309,18.3807,50.4456
