beta,permeability,xi,init_days,delay,value
0.0487761,0.00425996,0.165531,38.8838,9.38939,125.004
0.0455302,0.00507939,0.163764,46.8532,10.8697,125.264
0.0487679,0.00132205,0.15575,38.2413,9.31158,125.705
0.0496485,0.00516596,0.165196,36.092,9.67557,125.742
0.0458815,0.00576845,0.162549,45.3495,10.4041,125.746
0.048747,0.00109484,0.161952,38.5474,9.22444,125.849
0.0458879,0.00778274,0.16314,45.2543,10.0404,125.868
0.0483072,0.009928,0.162911,39.5011,9.81521,125.943
0.0455628,0.0104875,0.165803,46.039,10.2287,125.946
0.045488,0.00609311,0.166157,46.7018,10.8576,125.946
0.047893,0.00354632,0.156989,40.5111,9.4636,126.055
0.0479133,0.00686194,0.156055,40.4024,9.01287,126.152
0.043767,0.000579522,0.165091,51.4525,11.6984,126.174
0.047909,0.00325447,0.161753,40.6876,9.56034,126.191
0.0486981,0.00207525,0.162171,38.8231,9.47168,126.205
0.0479126,0.00769101,0.156812,40.5065,9.91559,126.228
0.045137,0.00972585,0.158224,47.5564,10.4469,126.241
0.0455028,0.00954366,0.159293,46.2987,10.7512,126.301
0.0482463,0.000376271,0.166407,39.359,9.71297,126.315
0.0438202,0.00104909,0.165545,51.7609,11.234,126.343
0.0482876,0.0207864,0.163645,39.2206,9.21111,126.345
0.0447026,0.00821073,0.166191,48.9648,11.2131,126.375
0.045855,0.0032994,0.159706,45.8589,10.2066,126.404
0.0478785,0.0149012,0.155871,40.0321,9.21351,126.438
0.0516578,0.0102743,0.160789,32.9774,8.39822,126.441
0.0428279,0.00275238,0.160059,54.0883,11.7215,126.441
0.0475671,0.00105328,0.162764,41.0002,9.19041,126.521
0.0478706,0.011808,0.158479,40.9416,9.17988,126.546
0.0443789,0.00825428,0.16445,49.1913,11.4314,126.582
0.0437763,0.00774987,0.165848,51.9489,11.183,126.595
0.0431195,0.0193773,0.165972,53.7863,11.7172,126.602
0.0415488,0.00391377,0.165626,59.8074,10.9647,126.623
0.0461803,0.0142008,0.162042,44.5681,10.5734,126.636
0.0474668,0.00588112,0.164775,41.1453,9.60354,126.641
0.0425718,0.00727215,0.164861,55.2134,11.4355,126.687
0.049604,0.0183845,0.166182,36.6314,9.84532,126.689
0.0444879,0.00472149,0.159114,49.7967,10.2303,126.714
0.0443643,0.00940901,0.164516,49.8927,11.6113,126.734
0.0482362,0.0026156,0.163761,39.2772,9.08551,126.746
0.0491036,0.00240735,0.161071,37.7304,9.3157,126.75
0.0491571,0.00806393,0.157574,37.5999,9.07428,126.751
0.0522648,0.00415395,0.166001,31.8213,8.18576,126.755
0.0458175,0.00388855,0.159218,45.4089,10.0921,126.776
0.0516434,0.0110609,0.159243,32.4088,8.17141,126.779
0.0483021,0.0219123,0.159178,39.9715,9.05324,126.819
0.0495763,0.00546635,0.164454,36.7883,9.74073,126.823
0.044579,0.000383997,0.161133,49.0231,10.1373,126.825
0.0469285,0.0021022,0.160716,42.4296,10.4873,126.85
0.0482367,0.0109723,0.16253,39.3816,9.78816,126.893
0.0516302,0.0110572,0.160962,32.969,8.4151,126.895
0.0478676,0.0237235,0.16274,40.7891,9.9225,126.9
0.0448122,0.0121398,0.158223,48.2289,10.7297,126.907
0.0474947,0.0072982,0.157931,41.4248,9.91428,126.911
0.0434656,0.00698879,0.16276,52.262,11.0062,126.93
0.0425869,0.000600804,0.16059,55.4861,11.6102,126.933
0.0516662,0.00168064,0.153734,32.8048,8.58057,126.961
0.0473959,0.00174664,0.157236,41.0182,10.2771,126.97
0.0473734,0.0203133,0.164894,41.8397,10.9619,126.977
0.0511259,0.00807021,0.153739,33.5195,8.35175,126.981
0.042858,0.0115107,0.163033,54.0827,11.5807,126.982
0.0490906,0.0113023,0.163557,37.9622,9.97517,126.982
0.0431496,0.0109436,0.161649,53.216,11.2506,126.99
0.0419925,0.00257624,0.166238,57.6816,11.2737,126.995
0.0491382,0.00790291,0.157892,37.428,9.40932,126.995
0.0473892,0.00973562,0.16026,41.5058,10.9084,127.015
0.0464924,0.00193217,0.16287,43.8474,10.3435,127.025
0.0478595,0.00561243,0.153771,40.1325,9.17632,127.038
0.0483043,0.017495,0.156026,39.5992,9.87138,127.044
0.046514,0.0132555,0.163413,43.9733,10.4319,127.058
0.0463844,0.0068308,0.162658,44.3267,9.9624,127.06
0.0428105,0.0222444,0.163557,54.7637,11.1508,127.073
0.0465117,0.00979583,0.160951,43.347,10.8317,127.082
0.0454603,0.0335885,0.165343,46.7478,10.3157,127.088
0.0474176,0.0121351,0.157344,41.48,9.53503,127.097
0.045131,0.0016537,0.152269,47.4583,10.0182,127.101
0.0428011,0.0119755,0.164951,54.9975,11.1772,127.104
0.0451699,0.0206043,0.162215,47.6311,10.2435,127.135
0.0465713,0.0172263,0.15636,43.1285,10.6253,127.141
0.0443325,0.00194892,0.158331,49.3634,11.521,127.145
0.041512,0.00130947,0.163467,59.17,11.0532,127.146
0.04545,0.0311518,0.165933,46.2083,10.972,127.15
0.043175,0.0173952,0.164969,53.5003,11.8637,127.159
0.0471649,0.0167417,0.166108,42.0308,9.3096,127.16
0.0478396,0.0263962,0.162538,40.9338,9.34041,127.181
0.0419948,0.00581434,0.163349,57.865,11.9977,127.192
0.0507151,0.00373596,0.161687,34.7552,8.36249,127.203
0.0516365,0.0034908,0.161199,32.899,8.17272,127.216
0.0467899,0.00736874,0.162646,43.9817,9.34849,127.218
0.0437488,0.0148455,0.165143,51.478,11.4904,127.219
0.0442829,0.00208378,0.163001,49.6312,11.6527,127.224
0.0446582,0.000370114,0.162374,48.8956,10.7398,127.228
0.0434619,0.015447,0.164723,52.1001,11.0604,127.233
0.0436537,0.00210982,0.164464,51.0763,11.6605,127.246
0.046591,0.0265084,0.164137,43.482,10.4883,127.251
0.0448487,0.0220428,0.165616,48.1725,10.2782,127.257
0.0474596,0.0164277,0.149446,41.373,9.39136,127.261
0.0470913,0.00174119,0.149061,42.3814,9.55344,127.263
0.0431214,0.019057,0.163119,53.1763,11.6777,127.266
0.0443287,0.00345265,0.152877,49.599,11.7435,127.279
0.0486334,0.0232642,0.165014,38.5255,9.31754,127.311
0.0445402,0.0129139,0.162651,49.1896,10.8211,127.316
0.0445341,0.000521186,0.153203,49.0415,10.1552,127.32
0.0521645,0.00786688,0.165657,31.287,8.76817,127.323
0.0466232,0.00601238,0.154775,43.3037,10.14,127.333
0.0486756,0.0272422,0.164685,38.7317,9.32795,127.346
0.0454308,0.00305367,0.158561,46.6918,10.3004,127.346
0.0419016,0.00348697,0.164349,57.8689,11.3741,127.358
0.0486742,0.0149459,0.156145,38.9945,9.10068,127.373
0.0516118,0.0204993,0.160864,32.8648,8.33217,127.381
0.0521835,0.00575037,0.159095,31.4869,8.36822,127.381
0.0441589,0.00190022,0.158664,50.7534,10.4539,127.382
0.0477469,0.00100799,0.165649,40.0635,10.6834,127.389
0.0423745,0.00267752,0.16597,56.4486,10.6684,127.396
0.0445478,0.0141285,0.162832,49.0671,10.1515,127.398
0.0511233,0.00651041,0.162211,33.7488,8.89431,127.403
0.0471042,0.00675784,0.162328,42.0102,9.70596,127.405
0.0442195,0.0164335,0.163141,50.2869,10.3701,127.407
0.0507089,0.00422988,0.164603,34.7992,8.52693,127.408
0.0427032,0.00292558,0.16378,54.9069,12.5719,127.408
