beta,permeability,xi,init_days,delay,value
0.0727748,0.00313101,0.152116,48.5674,10.6653,231.731
0.0713703,0.0563401,0.165609,50.8898,10.9806,231.792
0.0733104,0.00434617,0.157425,47.9258,10.1385,232.986
0.0708679,0.0347117,0.157071,51.3991,10.5834,233.941
0.0719779,0.0368082,0.164755,49.5324,10.6508,235.362
0.0731722,0.0352965,0.165734,47.9751,10.621,236.201
0.0709258,0.00590468,0.151044,51.6598,10.2125,236.733
0.073771,0.0396005,0.161662,46.3385,10.6828,237.074
0.070933,0.0174844,0.152589,51.7159,10.2706,237.137
0.0720046,0.0533439,0.162867,49.2605,10.6561,237.359
0.070352,0.0287839,0.143959,52.6463,10.4231,237.815
0.0709238,0.0207271,0.123795,51.0089,9.37147,237.949
0.0708229,0.0635029,0.158904,51.7891,10.1282,238.3
0.0737079,0.048113,0.155987,46.2742,10.4338,238.549
0.0724727,0.0493575,0.149509,48.2359,10.8355,238.676
0.0726107,0.0208604,0.162542,48.0637,10.7797,238.831
0.0718688,0.0636096,0.157145,49.0293,10.5414,239.17
0.0691268,0.0364337,0.123887,54.5659,10.1199,239.93
0.075306,0.00871279,0.156834,44.0903,9.89417,240.289
0.0706869,0.056277,0.136204,51.5674,10.3139,240.451
0.0721066,0.00338078,0.144451,49.6272,10.4955,240.674
0.0692842,0.019928,0.141976,54.902,10.7592,240.908
0.0703504,0.0314111,0.143399,52.9907,10.6556,240.91
0.0696173,0.0853126,0.153953,53.3859,10.7722,241.125
0.0719719,0.059015,0.143402,49.2421,9.59878,241.26
0.06967,0.0269793,0.117685,53.2743,10.4412,241.381
0.0703125,0.046391,0.128479,52.5168,9.08913,241.491
0.0691465,0.0674606,0.147201,54.7328,10.1202,241.498
0.0727144,0.020959,0.154574,48.9111,10.151,241.692
0.0702584,0.0155553,0.12869,52.0851,10.2727,242.386
0.0758559,0.0164047,0.152075,43.6744,9.04306,242.395
0.0686917,0.0611947,0.141296,55.8318,10.7602,242.461
0.0700843,0.094262,0.162597,52.8075,10.5424,242.598
0.0707704,0.0491519,0.14271,51.7648,10.8175,242.854
0.0700931,0.0733145,0.137213,52.0101,10.3393,243.155
0.069184,0.0118104,0.114119,54.3642,10.8006,243.494
0.0687922,0.0130516,0.110414,55.8193,9.09425,243.496
0.0765603,0.0116285,0.155702,42.3199,9.36403,243.583
0.0690874,0.0860679,0.1531,54.0713,10.0576,243.806
0.0697358,0.0065762,0.122066,53.5573,10.6684,243.92
0.0727564,0.00781359,0.149416,48.082,10.1475,244.07
0.0707211,0.0131374,0.138452,51.5462,11.0997,244.166
0.0696242,0.0519929,0.126427,53.1283,10.1068,244.236
0.0681312,0.0174192,0.10718,56.3211,10.3075,244.37
0.0732458,0.0303228,0.149352,47.0537,9.37203,244.729
0.0674502,0.0975831,0.12678,57.1938,10.3698,244.75
0.0696322,0.0899437,0.138868,53.084,9.52925,244.841
0.0721034,0.0278513,0.141128,49.6034,9.47637,244.856
0.0725376,0.0359138,0.165174,48.3533,10.7528,244.897
0.0685805,0.0801041,0.146038,55.4382,10.4779,244.924
0.0711874,0.0493063,0.14628,50.5647,11.2477,245.043
0.0700968,0.0531793,0.15361,52.5862,11.2415,245.047
0.0670089,0.0912888,0.129024,58.1576,10.1058,245.214
0.072116,0.00430947,0.140987,49.6313,10.8481,245.232
0.0701889,0.0479334,0.149137,52.7433,10.062,245.312
0.0721076,0.00677854,0.141241,49.1682,10.4569,245.313
0.066678,0.0622207,0.107217,59.6496,9.91338,245.377
0.0720076,0.00331821,0.162755,49.6446,10.807,245.426
0.0706242,0.0819777,0.143881,51.8326,10.7079,245.512
0.0713734,0.0490717,0.12744,50.0515,9.07951,245.551
0.0728132,0.00657523,0.14019,48.7736,9.83391,245.584
0.0683021,0.0730798,0.14426,55.0332,12.2953,245.754
