beta,permeability,xi,init_days,delay,value
0.0572634,0.00819323,0.165988,16.5754,8.69539,25.2181
0.0573407,0.00223024,0.166444,16.0438,8.10366,25.2213
0.0571715,0.00428778,0.166102,16.3977,8.34173,25.2241
0.0572556,0.0106089,0.165881,16.0114,8.17155,25.2481
0.0572919,0.00230406,0.161568,16.8732,8.57662,25.2525
0.0573227,0.00316557,0.162863,16.2065,8.61606,25.258
0.0573113,0.00325797,0.161539,16.4075,8.1319,25.2772
0.0573046,0.00794433,0.164465,16.7197,8.14329,25.2942
0.0573629,0.00440753,0.166214,16.0268,8.96103,25.3042
0.0573549,0.00226801,0.161657,16.6887,8.92097,25.3094
0.0572489,0.0136577,0.165466,16.2163,8.99012,25.3125
0.0564279,0.00384041,0.165209,17.711,8.54668,25.3126
0.0571542,0.00475004,0.164584,16.2727,8.59823,25.3136
0.0572008,0.0121754,0.165001,16.7983,8.44159,25.3231
0.0564841,0.00329664,0.164859,17.9609,8.70699,25.3252
0.0572315,0.00499364,0.161517,16.2156,8.1614,25.3263
0.0565171,0.00323925,0.15994,17.9696,8.06657,25.3275
0.0565316,0.0051048,0.159147,17.9692,8.89406,25.3293
0.0572549,0.0138581,0.165111,16.5285,8.97178,25.3314
0.0565752,0.0045864,0.162059,17.4886,8.80001,25.3367
0.0572,0.0104695,0.163834,16.1044,8.71546,25.3391
0.056438,0.0109344,0.1659,17.3847,8.591,25.3393
0.0564646,0.00978191,0.164035,17.1104,8.79759,25.3415
0.0565988,0.00290483,0.158787,17.5724,8.21868,25.3417
0.0565061,0.0108351,0.162701,17.3596,8.79604,25.3441
0.0564989,0.00989644,0.160566,17.9763,8.78263,25.3455
0.0563634,0.00427651,0.1662,17.1607,8.82887,25.3479
0.0565301,0.00763438,0.157444,17.6731,8.60788,25.3627
0.0563919,0.00303169,0.16353,17.8212,8.98476,25.3652
0.057195,0.0146047,0.164803,16.7185,8.87955,25.3675
0.0565171,0.0120434,0.160035,17.1312,8.76961,25.3689
0.0579944,0.00931005,0.166502,15.2954,8.79892,25.3693
0.0565002,0.0111922,0.1589,17.2711,8.48582,25.3825
0.0566049,0.00466225,0.159822,17.0249,8.11492,25.3873
0.0572088,0.0106261,0.162389,16.88,8.12367,25.3882
0.0563872,0.0214287,0.166166,17.6693,8.14634,25.3904
0.0564501,0.0100155,0.161239,17.3424,8.12254,25.3934
0.0565733,0.00458442,0.155189,17.0532,8.82921,25.3937
0.0564507,0.0208765,0.163941,17.934,8.4639,25.3975
0.0563766,0.0163003,0.165527,17.0686,8.55313,25.3992
0.0565292,0.0139238,0.164974,17.7546,8.87625,25.4007
0.0570929,0.00625359,0.166343,16.5344,8.15462,25.401
0.0564604,0.00440249,0.159594,17.7381,8.53636,25.4011
0.0572418,0.00892547,0.160885,16.6157,8.45897,25.4013
0.0571099,0.00371926,0.165043,16.4418,8.34796,25.4029
0.056558,0.0072028,0.156055,17.507,8.08735,25.4058
0.0566098,0.00517328,0.166435,17.9718,8.29151,25.4068
0.0572564,0.0101891,0.161396,16.4727,8.88497,25.411
0.0565416,0.00318059,0.154263,17.1915,8.65746,25.4124
0.0574118,0.00414619,0.164602,16.888,8.39955,25.4135
0.0563759,0.00577904,0.163354,17.9436,8.36769,25.4163
0.0564451,0.0134074,0.160659,17.21,8.65956,25.4193
0.0564982,0.0181485,0.166444,17.1429,8.78633,25.4194
0.0565826,0.00985088,0.165471,17.1653,8.55148,25.4197
0.0573053,0.0146275,0.164233,16.234,8.2972,25.4223
0.0574262,0.0029189,0.16428,16.0044,8.86468,25.423
0.0571333,0.0189171,0.166011,16.1063,8.95935,25.4242
0.0564745,0.0206739,0.164084,17.2885,8.92906,25.4251
0.054615,0.00257087,0.163953,20.4231,9.02006,25.427
0.0581446,0.002914,0.163997,15.7118,8.146,25.4301
0.0564131,0.00343746,0.160614,17.7103,8.05016,25.4308
0.0579458,0.0116218,0.166293,15.1911,8.10866,25.4322
0.0546246,0.00536243,0.165323,20.4514,9.1129,25.4362
0.054662,0.00174944,0.163908,20.1931,9.27785,25.4441
0.0573601,0.0118678,0.165899,16.2033,8.84681,25.4519
0.055258,0.00222303,0.164793,19.5785,9.62394,25.4546
0.0566077,0.00523661,0.155546,17.7431,8.21105,25.4554
0.0565711,0.0101733,0.157516,17.7576,8.91885,25.4582
0.0566553,0.00279867,0.162574,17.9267,8.92424,25.4586
0.057416,0.00442518,0.163091,16.7371,8.82595,25.4586
0.0564439,0.0149605,0.158907,17.8902,8.00718,25.46
0.0580137,0.0110354,0.165571,15.6693,8.14085,25.4606
0.0556406,0.00227383,0.16539,18.7477,8.70677,25.461
0.0566005,0.0061344,0.155401,17.8358,8.28107,25.461
0.0572182,0.0141887,0.16172,16.7977,8.30944,25.4635
0.0578862,0.00576634,0.166323,15.8446,8.03726,25.4639
0.0564294,0.0188251,0.160578,17.3422,8.93984,25.4647
0.0566402,0.00418297,0.158715,17.2421,8.04261,25.4652
0.0565825,0.00904762,0.15662,17.7262,8.07075,25.4694
0.0573029,0.0101209,0.16006,16.1673,8.61916,25.4712
0.0566377,0.0042101,0.157141,17.8767,8.49568,25.4712
0.0564153,0.0154713,0.160061,17.5603,8.99125,25.477
0.0556884,0.00322381,0.164091,18.1709,8.71029,25.4775
0.0545489,0.00740578,0.164703,20.8675,9.25778,25.4782
0.056659,0.00306603,0.165919,17.0546,8.55967,25.4787
0.0546185,0.00898642,0.165635,20.5016,9.9563,25.4792
0.0556683,0.0023369,0.161011,18.6843,8.65752,25.4805
0.0564575,0.0261795,0.164587,17.4253,8.39229,25.4826
0.0571383,0.0196693,0.164743,16.4735,8.78053,25.4841
0.05717,0.00890119,0.160532,16.6346,8.73105,25.4842
0.0556799,0.00543438,0.16328,18.3813,8.4398,25.4843
0.0564773,0.00916805,0.155784,17.4085,8.15126,25.4855
0.055675,0.00637096,0.163755,18.0061,8.53618,25.4871
0.0570965,0.0185953,0.165868,16.3123,8.2543,25.4883
0.0557023,0.00194033,0.160145,18.7455,8.65701,25.4893
0.0556736,0.00369378,0.160392,18.8476,8.79171,25.4896
0.0553365,0.00406164,0.166059,19.2551,9.02904,25.4939
0.0572237,0.00810216,0.158399,16.854,8.95604,25.4959
0.0563486,0.0272413,0.165074,17.4289,8.73942,25.4983
0.0564464,0.0205944,0.159804,17.4537,8.72235,25.4996
0.0574645,0.00168741,0.163037,16.1032,8.45791,25.4998
0.0564886,0.0203558,0.159681,17.0049,8.55363,25.4999
0.0563829,0.0223813,0.162135,17.1891,8.58152,25.5002
0.0563426,0.014706,0.163976,17.1596,8.82593,25.5009
0.0579288,0.00991999,0.165182,15.3038,8.26686,25.502
0.0566067,0.00984485,0.159265,17.6147,8.97109,25.5047
0.0563704,0.0189245,0.162455,17.7885,8.68274,25.5062
0.0556555,0.00751209,0.162923,18.8081,8.36945,25.5062
0.0565432,0.0188504,0.166048,17.4349,8.54571,25.5063
0.055626,0.00776492,0.165617,18.7918,8.91457,25.5063
0.055643,0.0099105,0.166007,18.7891,8.38869,25.507
0.0556936,0.00363349,0.159239,18.8697,8.30713,25.508
0.0572191,0.0242815,0.165239,16.4697,8.45061,25.5081
0.0586997,0.00266961,0.160847,14.4064,7.59464,25.5105
0.0546427,0.00225625,0.161123,20.7109,9.74853,25.5132
0.0565213,0.0190195,0.159469,17.2822,8.66892,25.5135
0.0557008,0.00618125,0.161902,18.7664,8.58856,25.5143
0.0557093,0.00537597,0.161359,18.942,8.81178,25.5158
0.055713,0.00287892,0.158191,18.4011,8.59723,25.5192
0.0564041,0.0324692,0.16569,17.9423,8.84055,25.5192
0.0579163,0.015326,0.166438,15.5135,8.42607,25.5207
0.0563806,0.0186846,0.161329,17.3861,8.78573,25.5237
0.0545103,0.00556417,0.165991,20.6337,9.60122,25.5256
0.0579537,0.011581,0.164288,15.5391,8.7768,25.5259
0.0578978,0.00547331,0.164677,15.8023,8.72803,25.5264
0.056417,0.0283905,0.163019,17.3271,8.41312,25.5267
0.0564849,0.0247157,0.161768,17.1514,8.58056,25.5272
0.05728,0.0222473,0.164624,16.4613,8.66588,25.5306
0.0580306,0.00172398,0.159803,15.3156,8.45123,25.5311
0.0564095,0.0128106,0.159062,17.4471,8.21914,25.5324
0.0571298,0.028361,0.166228,16.7917,8.81998,25.5337
0.0564706,0.0285528,0.166176,17.4679,8.89742,25.5342
0.0563967,0.0190856,0.159984,17.445,8.23814,25.5345
0.0563712,0.0167617,0.161588,17.5383,8.55815,25.5349
0.0565917,0.0136551,0.16128,17.8411,8.47359,25.5366
0.0555956,0.00288439,0.166289,18.322,8.51367,25.5374
0.0553523,0.00515092,0.165684,19.6364,9.31292,25.5394
0.0547184,0.00249824,0.162722,20.4841,9.17131,25.5398
0.0578605,0.00844419,0.166311,15.1603,8.41802,25.5412
0.0566561,0.00317896,0.153612,17.9501,8.79998,25.5423
0.0563389,0.0357575,0.166417,17.3335,8.37791,25.5427
0.0564208,0.0172024,0.158206,17.4604,8.22483,25.5443
0.0586385,0.00509706,0.164859,14.9495,7.03363,25.5468
0.0574186,0.0100923,0.165475,16.1233,8.46704,25.5472
0.0566202,0.0109347,0.160232,17.7735,8.71957,25.5487
0.0581595,0.00508723,0.163363,15.9041,8.86995,25.551
0.0566115,0.00803901,0.15353,17.1137,8.57042,25.5516
0.0564502,0.0249251,0.16014,17.5376,8.32585,25.5532
0.0556573,0.0150628,0.165539,18.8455,8.18921,25.5548
0.0545126,0.0133168,0.164897,20.2212,9.2382,25.5591
0.0564135,0.00969566,0.157935,17.9625,8.04527,25.5638
0.0572836,0.00881044,0.157279,16.208,8.06236,25.564
0.0581275,0.00660259,0.163019,15.7366,8.78651,25.5654
0.0563828,0.0355749,0.165483,17.7616,8.71278,25.5655
0.0574766,0.00437014,0.165793,16.4707,8.63583,25.5673
0.0556284,0.00870231,0.162056,18.5959,8.22112,25.5675
0.0557748,0.00353016,0.159225,18.8178,8.75016,25.5677
0.0587487,0.00505916,0.156265,14.8822,7.67629,25.5678
0.05461,0.0039073,0.15961,20.8161,9.05813,25.5704
0.0556022,0.015013,0.165992,18.504,8.10629,25.5709
0.0566589,0.00298211,0.152294,17.9045,8.92031,25.5711
