beta,permeability,xi,init_days,delay,value
0.0445746,0.767961,0.0513728,0.0203335,15.338,26.8255
0.0445027,0.772109,0.0523814,0.537318,15.931,26.8272
0.0445977,0.769002,0.05097,0.300565,15.3164,26.8343
0.0440333,0.765529,0.0507426,1.40615,16.4396,26.845
0.0445072,0.769916,0.0527828,0.935825,15.931,26.8471
0.0447167,0.744325,0.0502349,0.265233,15.5881,26.8492
0.0445734,0.761251,0.0523013,0.111595,15.5104,26.8514
0.0437111,0.802393,0.0502319,1.45802,15.9066,26.8524
0.0446081,0.757462,0.0511546,0.179087,15.4118,26.8531
0.0444325,0.785594,0.0523586,0.353944,15.8508,26.8554
0.0447314,0.741687,0.0501654,0.237831,15.4984,26.8578
0.0450217,0.719831,0.0504684,0.184893,16.9639,26.8614
0.0447546,0.741578,0.0507594,0.311427,15.789,26.8621
0.0435594,0.814412,0.0517228,1.92321,15.4199,26.8622
0.0439979,0.775681,0.0503631,1.55048,16.4593,26.8637
0.0440361,0.761209,0.0508161,1.86216,16.2681,26.8659
0.0449435,0.733652,0.050569,0.662686,16.3237,26.8668
0.0445437,0.762002,0.0527534,0.335216,15.4634,26.868
0.0430523,0.818888,0.0501666,2.57342,16.6511,26.8702
0.0447864,0.744954,0.0530822,0.14205,16.4763,26.8702
0.0449121,0.729657,0.0519318,0.239608,16.5664,26.8707
0.0440912,0.752909,0.0503868,1.11036,16.029,26.8708
0.044442,0.774983,0.0538705,0.658875,15.6487,26.8708
0.0439019,0.777661,0.0517902,1.77268,16.7704,26.8719
0.0427831,0.845773,0.0501679,2.49046,15.7033,26.8721
0.0448938,0.730786,0.0523643,0.299036,16.7034,26.8724
0.0439315,0.771861,0.052222,1.14519,16.9881,26.8745
0.044546,0.776615,0.0515066,0.399702,15.799,26.8753
0.0436864,0.803211,0.0508903,1.7163,15.6187,26.8755
0.0438993,0.785339,0.0509867,1.99471,16.0847,26.8794
0.0422258,0.854895,0.0501828,3.37066,16.3136,26.8797
0.043789,0.788845,0.050283,1.9687,15.6101,26.8798
0.0446913,0.74357,0.0512136,0.63418,15.3111,26.88
0.0444991,0.786803,0.0503727,0.223563,15.531,26.8813
0.0442705,0.799518,0.0548529,0.759157,15.4761,26.8814
0.0444876,0.781186,0.0509332,0.667533,15.8743,26.8815
0.043615,0.817485,0.0509342,1.79336,15.2293,26.884
0.0438565,0.787038,0.051576,1.69222,16.932,26.8842
0.0439962,0.762054,0.0507903,1.85569,16.9942,26.8845
0.0452012,0.695134,0.0505032,0.508466,16.3963,26.885
0.0448732,0.729446,0.0530757,0.791642,16.2211,26.8855
0.0437698,0.790056,0.0543943,1.66221,16.0735,26.8867
0.0451463,0.698722,0.0503799,0.0104588,16.4708,26.887
0.0438217,0.787867,0.0523865,1.74395,16.1779,26.8872
0.0444199,0.783147,0.0537641,0.151725,15.7535,26.8872
0.044361,0.788503,0.0532853,0.425791,15.9865,26.8872
0.0431104,0.809794,0.051094,2.76906,16.4931,26.8894
0.0429974,0.825163,0.0505292,2.92629,16.9984,26.8895
0.0450077,0.730324,0.0509857,0.901393,16.9354,26.8906
0.0438853,0.77444,0.0527004,1.4513,16.0901,26.8908
0.0447102,0.74027,0.050857,0.459942,15.8116,26.8913
0.0437729,0.793636,0.0538125,1.22958,16.8992,26.8914
0.045168,0.695062,0.0501971,0.590701,16.4719,26.8914
0.0428632,0.837331,0.0529616,2.20784,16.7993,26.8915
0.0444353,0.783414,0.0518377,0.0816893,15.4552,26.8921
0.0440769,0.744815,0.050441,1.50291,16.4104,26.8922
0.0442465,0.799646,0.0557028,0.245606,15.6866,26.8938
0.044107,0.744166,0.0505591,1.12005,16.7063,26.8939
0.0445574,0.706654,0.0502376,1.40824,17.6584,26.8941
0.0436522,0.802655,0.055295,1.12046,16.614,26.8944
0.0439509,0.774786,0.0503623,1.489,16.2102,26.8948
0.0440076,0.756151,0.0510785,1.76053,16.2763,26.8951
0.0437943,0.795662,0.0522492,1.77661,16.5415,26.8952
0.045013,0.720626,0.0520582,0.664733,16.4695,26.8956
0.0438863,0.774733,0.0534426,1.853,16.9127,26.896
0.0446838,0.744054,0.0517964,0.0184944,15.4169,26.8963
0.0444725,0.786568,0.0506515,0.738305,15.6104,26.8967
0.0445948,0.702608,0.0504442,1.93821,17.6714,26.897
0.0438946,0.785562,0.0523341,1.01332,16.5335,26.897
0.0444518,0.772308,0.054275,0.887323,15.3978,26.8971
0.0446133,0.695196,0.0502008,1.47118,17.2752,26.8971
0.0446936,0.76226,0.0503398,0.449596,15.4848,26.8972
0.0439789,0.758159,0.0511055,1.67739,16.9065,26.898
0.0451801,0.695928,0.0512575,0.471724,16.8917,26.8982
0.0441358,0.756271,0.050729,1.74266,16.8038,26.8982
0.0447457,0.738331,0.0513875,0.0404932,15.6025,26.8987
0.0429309,0.822528,0.0528013,2.77027,16.5804,26.8989
0.0436535,0.742046,0.0505252,2.3407,17.4738,26.8989
0.0438403,0.779333,0.052624,1.95562,16.7834,26.9003
0.0434156,0.831768,0.0538568,1.97617,15.4364,26.9004
0.0447074,0.743297,0.0520027,0.528802,15.2496,26.9009
