beta,permeability,xi,init_days,delay,value
0.0408586,0.00238609,0.13873,54.5217,19.2445,63.5919
0.041546,0.00514155,0.159783,51.7218,19.2776,63.6034
0.0418011,0.00273039,0.164065,50.3338,19.8929,63.6228
0.0418025,0.00305449,0.163148,50.8003,19.4438,63.6304
0.0415183,0.00224984,0.161102,51.0617,19.1728,63.642
0.0415526,0.00477703,0.160795,51.5668,19.4997,63.6475
0.0412993,0.00237735,0.16489,52.8334,19.1065,63.6499
0.0425245,0.00266546,0.152804,47.4493,19.7598,63.6532
0.0415424,0.00451259,0.151813,51.9615,19.8895,63.6657
0.0412894,0.00459473,0.156235,52.7726,19.7459,63.6662
0.0412898,0.00615637,0.155042,52.882,19.9499,63.6693
0.0406426,0.00345542,0.141567,55.5358,19.2166,63.6709
0.0415578,0.00457899,0.152991,51.9702,19.9192,63.6753
0.0413099,0.00734681,0.155038,52.5431,19.8592,63.6765
0.0415192,0.00449567,0.157899,51.326,19.4006,63.6782
0.0412991,0.00490053,0.147041,52.4502,19.6685,63.6882
0.0413069,0.00751504,0.148315,52.6452,19.7648,63.6907
0.0406396,0.00325182,0.13497,55.313,19.6543,63.6948
0.0413278,0.00625833,0.148886,52.8334,19.0806,63.709
0.0427773,0.00497172,0.159884,46.6973,19.1243,63.7149
0.0413023,0.00644751,0.145865,52.0147,19.0627,63.7277
0.04278,0.00657493,0.159443,46.1829,19.9226,63.7375
0.0425472,0.00222689,0.1433,47.6506,19.9301,63.7431
0.0425292,0.00245535,0.163404,47.7159,19.0486,63.7474
0.0408824,0.0035103,0.138971,54.4233,19.3708,63.7481
0.0415441,0.00332859,0.144112,51.9411,19.8171,63.7491
0.0415107,0.0101158,0.161555,51.9782,19.6989,63.7532
0.0425479,0.00337961,0.155651,47.357,19.5581,63.7534
0.0406286,0.00438823,0.137985,55.9524,19.1065,63.7559
0.0415453,0.00897593,0.154223,51.9022,19.6269,63.7561
0.0428098,0.00458453,0.152175,46.7812,19.9648,63.7566
0.0423014,0.00459372,0.140038,48.825,19.6987,63.7571
0.0413289,0.00701885,0.15194,52.8327,19.5028,63.7577
0.0408425,0.00966636,0.140613,54.3703,19.2461,63.7597
0.0425534,0.00418398,0.144721,47.1748,19.7706,63.7611
0.0408406,0.00749805,0.142542,54.6272,19.719,63.7614
0.0430622,0.00302704,0.155749,45.951,19.5192,63.763
0.0415448,0.00561418,0.146738,51.6779,19.0109,63.7674
0.0412955,0.0048461,0.143846,52.6889,19.4708,63.7723
0.0415188,0.00881095,0.154326,51.1772,19.5287,63.7756
0.0406561,0.00310609,0.143494,55.9949,19.5122,63.7777
0.0422728,0.00446816,0.156732,48.0131,19.9639,63.778
0.0415765,0.00559307,0.161489,51.8481,19.459,63.7794
0.0410573,0.00526192,0.159867,53.6352,19.5461,63.7803
0.0415907,0.00209593,0.146327,51.2395,19.6333,63.7804
0.0415855,0.00412025,0.148726,51.6446,19.2269,63.7847
0.0427981,0.0043381,0.164084,46.1939,19.4003,63.7878
0.0413373,0.00603195,0.158964,52.911,19.0358,63.7881
0.0404424,0.00297304,0.134359,56.0254,19.7517,63.7896
0.0411038,0.00437562,0.138491,53.9846,19.6353,63.7974
0.0419975,0.00734461,0.154595,49.9386,19.7346,63.8059
0.0433368,0.00313256,0.160125,44.9396,19.3654,63.8066
0.0408308,0.00511423,0.143365,54.5381,19.4273,63.8068
0.0420175,0.00766228,0.139409,49.1903,19.6445,63.807
0.0420064,0.00819681,0.164149,49.6889,19.5975,63.8082
0.0410685,0.0128529,0.154193,53.3985,19.0861,63.8102
0.0420583,0.00547104,0.164775,49.2766,19.8924,63.8117
0.0433462,0.00234448,0.150062,44.1897,19.7761,63.812
0.0413318,0.00240662,0.138006,52.5031,19.5701,63.8141
0.0430602,0.00796312,0.165375,45.7457,19.7477,63.8144
0.0422937,0.00262243,0.135518,48.8204,19.8868,63.8152
0.0427805,0.00700295,0.152692,46.4965,19.767,63.8159
0.0410906,0.00776343,0.140336,53.868,19.3062,63.8203
0.0425432,0.00937364,0.148527,47.863,19.5493,63.8217
0.0425512,0.00317056,0.16459,47.3696,19.6781,63.8226
0.0408361,0.0112318,0.143076,54.6222,19.6796,63.8227
0.0430797,0.00644037,0.160422,45.5648,19.4042,63.8258
0.0436504,0.00210919,0.149232,43.8961,19.0374,63.8283
0.0415469,0.00445101,0.139661,51.7272,19.1265,63.8285
0.041516,0.0107908,0.153086,51.1265,19.0271,63.8302
0.0420019,0.00894919,0.140937,49.3078,19.6416,63.8302
0.0417646,0.00735229,0.14369,50.2288,19.1232,63.8325
0.0415494,0.0051319,0.140654,51.7639,19.4064,63.8337
0.0420151,0.00918023,0.164075,49.1771,19.1506,63.8347
0.0412728,0.00979949,0.158835,52.0134,19.2559,63.8353
0.0433517,0.00220752,0.139816,44.1489,19.9868,63.8365
0.0410602,0.0156922,0.149827,53.0641,19.6649,63.837
0.0425416,0.00840983,0.152856,47.3504,19.3593,63.8378
0.0417512,0.00447413,0.15745,50.2694,19.5647,63.8384
0.0433436,0.0050985,0.164374,44.0518,19.023,63.8398
0.0425292,0.00676281,0.160975,47.4803,19.9232,63.8404
0.0425518,0.0050869,0.141104,47.7248,19.6455,63.8442
0.0436641,0.00236474,0.140324,43.4679,19.6169,63.8444
0.0412704,0.010263,0.157107,52.915,19.0767,63.8448
0.0436509,0.00338399,0.145243,43.8139,19.3676,63.8472
0.0427736,0.0101185,0.15591,46.969,19.823,63.8479
0.0422589,0.00466211,0.138957,48.6545,19.4209,63.8499
0.0415276,0.0146979,0.16475,51.7637,19.012,63.8509
0.0433506,0.00463263,0.159458,44.5835,19.1805,63.8509
0.0410702,0.00368596,0.135849,53.4458,19.2068,63.8525
0.0404086,0.00771578,0.140132,56.5688,19.3081,63.8549
0.0406682,0.00443137,0.133257,55.3888,19.6235,63.8581
0.0413172,0.00294313,0.133362,52.751,19.9249,63.8582
0.0420299,0.00540458,0.132675,49.7396,19.8208,63.8602
0.0413715,0.00229129,0.150337,52.255,19.5525,63.8623
0.0417832,0.00619999,0.136976,50.9906,19.008,63.8631
0.0404155,0.00931037,0.138151,56.6109,19.7729,63.8639
0.0410552,0.0158963,0.157636,53.4747,19.1278,63.8642
0.0439072,0.00204593,0.155528,42.5616,19.0704,63.8645
0.0410782,0.00879887,0.160666,53.84,19.2788,63.8645
0.0418437,0.00353867,0.155512,50.6794,19.6857,63.8649
0.0406627,0.00481715,0.143361,55.4006,19.8972,63.865
0.0430761,0.00303173,0.138389,45.9621,19.4741,63.8672
0.0430441,0.00794108,0.15909,45.763,19.9228,63.8678
0.0422979,0.00700036,0.14584,48.4238,19.5199,63.8685
0.042271,0.0105744,0.146289,48.3612,19.9029,63.8717
0.0412791,0.0136244,0.165194,52.6153,19.7474,63.8717
0.0439263,0.00492167,0.142361,42.6232,19.1858,63.8723
0.0431143,0.00330859,0.15772,45.2513,19.2295,63.8725
0.0433271,0.00211463,0.147678,44.2584,19.3646,63.8736
0.041048,0.0156588,0.149548,53.0196,19.2655,63.8765
0.0415656,0.00528463,0.142805,51.1996,19.9563,63.8769
0.041051,0.0148461,0.154182,53.4832,19.7439,63.8801
0.0417848,0.00763615,0.14379,50.9246,19.0576,63.8803
0.0425268,0.0104688,0.155075,47.4662,19.1059,63.8805
0.042797,0.0102642,0.160508,46.0878,19.0511,63.882
0.040422,0.00698152,0.140631,56.2224,19.6168,63.882
0.0430949,0.00277677,0.137142,45.347,19.7179,63.8831
0.0404195,0.00816991,0.130287,56.6427,19.5785,63.8885
0.0425012,0.0100953,0.163885,47.4173,19.9603,63.8888
0.0417968,0.0104148,0.158472,50.192,19.701,63.8893
0.0436038,0.0028822,0.153472,43.1655,19.6151,63.89
0.0418175,0.00248295,0.138118,50.1079,19.1136,63.8902
0.0433359,0.00203268,0.131547,44.6939,19.3536,63.8923
0.042048,0.00645281,0.154474,49.5379,19.858,63.8929
0.0433735,0.0047441,0.138161,44.3269,19.7086,63.895
0.0420238,0.00937037,0.145612,49.4121,19.7824,63.8976
0.0420297,0.00913482,0.147694,49.1251,19.4476,63.8983
0.0430846,0.0044986,0.140597,45.0496,19.0062,63.8986
0.0442195,0.00253197,0.160382,41.7382,19.9918,63.8986
0.042016,0.00928963,0.134492,49.7277,19.7875,63.8997
0.0408424,0.00432541,0.133784,54.2835,19.5053,63.8998
0.0436356,0.00519089,0.159084,43.3387,19.2744,63.9002
0.0422394,0.0109299,0.156879,48.5744,19.0086,63.901
0.0415664,0.0107219,0.16256,51.186,19.5865,63.9013
0.0424949,0.0137918,0.153749,47.2476,19.5072,63.9015
0.0408684,0.00310064,0.128696,54.2892,19.1644,63.9017
0.0417417,0.0134819,0.160438,50.0986,19.259,63.9024
0.0418117,0.00423167,0.14127,50.6977,19.8935,63.9036
0.0436235,0.00456196,0.141428,43.4037,19.7638,63.9045
0.0427736,0.00899188,0.150754,46.7464,19.2316,63.905
0.0428212,0.00583357,0.141737,46.9332,19.5488,63.905
0.043068,0.0105297,0.159817,45.503,19.8895,63.9053
0.0408877,0.00955746,0.145059,54.4794,19.5647,63.9058
0.0410512,0.0170694,0.159932,53.3228,19.298,63.907
0.0412981,0.00673444,0.134891,52.4533,19.5734,63.9075
0.0433452,0.00659322,0.155179,44.9494,19.0813,63.9076
0.0425518,0.00874876,0.141903,47.1757,19.0277,63.9094
0.042018,0.0116785,0.138882,49.1176,19.1099,63.9094
0.0406184,0.00758165,0.133578,55.6334,19.0795,63.9095
0.0411028,0.0114302,0.141591,53.0268,19.0321,63.9101
0.0428337,0.00654316,0.153925,46.6626,19.4197,63.9104
0.0402178,0.00479754,0.127813,57.2771,19.362,63.9105
0.0439301,0.00534989,0.153058,42.2973,19.7891,63.9109
0.0415322,0.0150752,0.153911,51.4508,19.7534,63.911
0.0422436,0.012739,0.153533,48.7029,19.0641,63.912
0.0439052,0.00375972,0.144181,42.0706,19.96,63.9132
0.0439401,0.00385847,0.153706,42.2166,19.2177,63.9137
0.0438998,0.00577866,0.160924,42.818,19.363,63.9147
0.0433006,0.00245067,0.161005,44.5868,19.869,63.9151
0.0442405,0.00341871,0.144092,41.7605,19.3062,63.9152
0.0439112,0.00484069,0.144479,42.9544,19.6071,63.9158
0.0433405,0.00813008,0.162377,44.4347,19.4121,63.9166
0.0430737,0.00699709,0.147501,45.8733,19.0416,63.917
0.0406173,0.00845387,0.133892,55.1038,19.9374,63.9172
0.042582,0.00600451,0.144743,47.8769,19.8029,63.9188
0.0408452,0.00490756,0.132428,54.5921,19.8286,63.9199
0.0430627,0.00287903,0.133145,45.1501,19.5834,63.9207
0.0423005,0.00648892,0.154851,48.6672,19.5955,63.9211
