beta,permeability,xi,init_days,delay,value
0.0510686,0.00276644,0.165595,17.5386,15.0596,32.9564
0.0518101,0.00119347,0.164774,16.8042,15.4668,32.9968
0.051721,0.00639162,0.165929,16.3711,15.9177,33.0047
0.0517342,0.000486734,0.163756,16.5231,15.9268,33.0343
0.0510466,0.00148824,0.161203,17.8669,15.1288,33.1707
0.0517315,0.00730537,0.164195,16.3209,15.715,33.1722
0.0518572,0.00191201,0.164674,16.1604,15.5251,33.2107
0.051745,0.00225321,0.161561,16.8546,15.2232,33.2603
0.0510431,0.0113235,0.161766,17.594,15.641,33.2805
0.0510188,0.00712784,0.162463,17.1508,15.0814,33.2939
0.0510468,0.0157205,0.164702,17.1122,15.8592,33.3002
0.0504047,0.00807687,0.165131,18.7789,15.3113,33.3159
0.0517126,0.0137708,0.165509,16.2193,15.2186,33.346
0.050474,0.00222373,0.161963,18.0694,15.8945,33.3462
0.0503921,0.00378878,0.16012,18.7971,15.5219,33.368
0.0503557,0.0118976,0.164436,18.2037,15.9056,33.3732
0.0509795,0.0138963,0.164944,17.3219,15.5451,33.3938
0.0523724,0.00609564,0.165615,15.3997,14.0705,33.4138
0.0503844,0.0144223,0.165572,18.1705,15.4865,33.4139
0.0531839,0.00061134,0.166194,14.3831,14.6645,33.4239
0.0517615,0.0125177,0.164453,16.292,15.4579,33.4269
0.0516828,0.0136333,0.165386,16.8561,15.8193,33.4577
0.051747,0.0115054,0.163025,16.8462,15.541,33.4593
0.0504914,0.00935469,0.164466,18.4559,15.9598,33.4619
0.0497328,0.00070386,0.165976,19.9575,15.9413,33.4683
0.0511864,0.00623402,0.163216,17.4961,15.9096,33.4884
0.0504559,0.0152712,0.165592,18.3329,15.4123,33.4965
0.0503807,0.0187855,0.165027,18.0236,15.4726,33.4973
0.050413,0.00919278,0.159499,18.3279,15.704,33.5056
0.0517724,0.0167544,0.166076,16.2097,15.1841,33.5089
0.0510246,0.00244231,0.1595,17.1253,15.5327,33.5226
0.0517747,0.00981101,0.16179,16.5399,15.1779,33.5226
0.0511644,0.00834609,0.16146,17.6111,15.6474,33.5247
0.0523005,0.00643107,0.165401,15.8125,14.2839,33.5255
0.0503353,0.0183341,0.163838,18.2342,15.512,33.5271
0.0512197,0.00218991,0.161411,17.54,15.242,33.5282
0.0531254,0.00365081,0.163437,14.0331,14.0077,33.5424
0.051015,0.0252641,0.164939,17.9744,15.7691,33.5528
0.0504613,0.00960004,0.160521,18.7751,15.6645,33.5561
0.0505459,0.00505564,0.162886,18.8277,15.2945,33.5724
0.0523223,0.011591,0.166115,15.4612,14.5384,33.5735
0.0498509,0.00857164,0.165225,19.5608,15.6766,33.5747
0.0503201,0.000998357,0.161588,18.6269,15.2637,33.5879
0.05033,0.022462,0.163787,18.7029,15.2876,33.5957
0.0503432,0.0174619,0.161888,18.1066,15.6793,33.6056
0.0504703,0.013306,0.162281,18.5755,15.3836,33.6129
0.0530296,0.000614585,0.164329,14.1391,14.8249,33.6173
0.0505629,0.0047109,0.162818,18.0585,15.4328,33.6278
0.0522709,0.00449939,0.165754,15.1569,14.4949,33.6294
0.0509845,0.030175,0.166043,17.1339,15.9421,33.6314
0.0509559,0.023982,0.166067,17.1287,15.8609,33.639
0.0516709,0.00361851,0.159618,16.1175,14.3544,33.6395
0.0516568,0.0094408,0.164122,16.8746,15.4607,33.6418
0.049678,0.0123234,0.16621,19.611,15.4182,33.6494
0.0497791,0.00373198,0.161975,19.7469,15.1444,33.6523
0.0516862,0.00580363,0.1635,16.4917,14.6657,33.6571
0.0498067,0.00961022,0.16212,19.7189,15.9006,33.6585
0.0522832,0.00418961,0.164296,15.16,14.5133,33.667
0.0503973,0.00535835,0.155604,18.1069,15.3216,33.6676
0.0504603,0.00855883,0.156154,18.9981,15.1938,33.6688
0.0503822,0.0197194,0.159619,18.5564,15.1146,33.6691
0.0504895,0.0044642,0.15528,18.7494,15.547,33.6707
0.0503684,0.0187843,0.158956,18.4066,15.5169,33.6793
0.0531241,0.00531472,0.16219,14.7258,14.4118,33.6897
0.0517892,0.00466876,0.157249,16.9762,15.6612,33.692
0.0497983,0.00303329,0.159521,19.5736,15.8145,33.6984
0.0505774,0.0045691,0.165304,18.3262,15.4261,33.7049
0.0524866,0.00100562,0.161467,15.2656,14.549,33.7092
0.0498595,0.00148919,0.156929,19.2896,15.1893,33.7124
0.0524655,0.00316289,0.162357,15.3901,14.3913,33.7176
0.049783,0.0101382,0.161691,19.4892,15.0762,33.719
0.0523768,0.00991249,0.161883,15.1681,14.5559,33.7217
0.050442,0.0220398,0.165069,18.4435,15.9091,33.7221
0.0496988,0.0124653,0.163469,19.1974,15.2918,33.7222
0.0518188,0.00591272,0.157605,16.4807,15.9487,33.7249
0.0510563,0.0113886,0.157142,17.1075,15.3892,33.7253
0.0510196,0.00103388,0.157697,17.9088,15.2345,33.7285
0.0492111,0.00247149,0.164879,20.8537,16.4509,33.7299
