beta,permeability,xi,init_days,delay,value
0.0446115,0.993907,0.0504031,0.495822,19.4494,18.819
0.0445774,0.996949,0.0503616,0.922349,19.2131,18.8247
0.0446506,0.985644,0.0503008,0.876665,19.9289,18.8292
0.0446073,0.993275,0.0506795,0.393745,19.5054,18.8299
0.0446279,0.991771,0.0505238,0.532349,19.7949,18.8311
0.0445546,0.997567,0.0508352,0.938015,19.862,18.8332
0.0445712,0.994445,0.0508052,0.390271,19.4622,18.8346
0.0446723,0.987895,0.0502724,0.894648,19.5396,18.8357
0.0446257,0.986285,0.0503038,0.191419,19.5582,18.8368
0.0445532,0.994072,0.0514541,0.857973,19.4859,18.8405
0.0445367,0.996263,0.0515195,0.696865,19.107,18.8426
0.0445464,0.998371,0.0515373,0.956792,19.9276,18.8435
0.0445886,0.995533,0.0513101,0.805431,19.8932,18.8491
0.0446357,0.980391,0.0505978,0.647458,19.2648,18.8522
0.044557,0.995558,0.0516489,0.0627806,19.0435,18.8524
0.0445623,0.995389,0.0517488,0.597924,19.2073,18.8584
0.0445286,0.998437,0.0520534,0.868016,19.5231,18.8586
0.0446374,0.976575,0.0507106,0.726804,19.7859,18.8677
0.0447472,0.971631,0.0504759,0.765074,19.2007,18.8696
0.0445242,0.993931,0.0501667,0.929236,19.1884,18.8715
0.0445388,0.988913,0.0519288,0.404668,19.9996,18.872
0.0447131,0.97537,0.0508311,0.563294,19.5867,18.8724
0.0446875,0.966965,0.0505895,0.971331,19.3082,18.8729
0.0445882,0.979213,0.0519961,0.900543,19.2668,18.874
0.0444643,0.99838,0.0530964,0.134062,19.7891,18.8751
0.0446708,0.97857,0.0512503,0.0400407,19.4466,18.8763
0.0447351,0.956468,0.0506738,0.689511,19.048,18.8804
0.0446389,0.972886,0.0506607,0.790462,19.907,18.8835
0.0447773,0.962295,0.0505413,0.0807356,19.9795,18.8844
0.0446541,0.987684,0.0510799,0.187344,19.3491,18.8845
0.0446575,0.998237,0.0500866,0.13758,19.3691,18.8867
0.0447381,0.953673,0.050867,0.881077,19.1378,18.8876
0.0446118,0.992306,0.0515446,0.930687,19.1781,18.8876
0.0445977,0.974736,0.0523049,0.335147,19.8395,18.8899
0.0444715,0.99895,0.0533694,0.581173,19.6883,18.8907
0.0445319,0.978163,0.0502821,0.775175,19.0318,18.8926
0.0446125,0.97166,0.051817,0.414049,19.5204,18.8938
0.0444644,0.995311,0.0525664,0.9011,19.4384,18.8949
0.0445531,0.994349,0.0526389,0.791566,19.614,18.8958
0.0444391,0.996989,0.0512178,0.16187,19.3255,18.8961
0.0445105,0.997212,0.0532385,0.332565,19.177,18.8967
0.0446738,0.96253,0.0509803,0.744357,19.8153,18.8979
0.044539,0.986225,0.0529633,0.264097,19.1205,18.8987
0.0446305,0.970023,0.0506519,0.777368,19.7695,18.8988
0.0445412,0.980245,0.0530446,0.678267,19.188,18.8988
0.0445443,0.975036,0.0504425,0.353623,19.5994,18.9006
0.0447944,0.940351,0.0508601,0.968345,19.3541,18.9017
0.0445385,0.983177,0.051296,0.353987,19.243,18.9018
0.044765,0.946059,0.0507358,0.364373,19.2757,18.9023
0.0445472,0.989574,0.0530212,0.481678,19.632,18.9027
0.0445485,0.969584,0.0505099,0.48139,19.702,18.9036
0.0446762,0.959234,0.0514192,0.0464104,19.2668,18.9046
0.0444695,0.989426,0.0512441,0.109396,19.2278,18.905
0.044582,0.974949,0.0507947,0.123912,19.61,18.905
0.0447199,0.980511,0.0505347,0.728037,19.1708,18.9053
0.044513,0.985894,0.0518367,0.0409202,19.2284,18.9055
0.0444445,0.996236,0.0524743,0.188872,19.1248,18.9056
0.0447429,0.946098,0.0515814,0.645493,19.0151,18.9058
0.044534,0.976822,0.0507183,0.155591,19.9653,18.9062
0.0444637,0.989075,0.0513337,0.934203,19.5164,18.9074
0.044591,0.975742,0.0527768,0.0626597,19.5288,18.9092
0.0445366,0.968426,0.050797,0.719132,19.4846,18.9102
0.0444625,0.98737,0.0513884,0.760531,19.0482,18.9104
0.0445888,0.968512,0.052998,0.02815,19.3016,18.9109
0.0445142,0.98656,0.0535145,0.525571,19.6504,18.9112
0.0448914,0.926029,0.0504903,0.11469,19.8361,18.9123
0.0445863,0.970432,0.0523512,0.786344,19.3059,18.913
0.0445497,0.997006,0.0525739,0.325923,19.9203,18.9131
0.044834,0.947722,0.0508823,0.79789,19.4863,18.9153
0.0447286,0.955113,0.0517409,0.430844,19.0218,18.9153
0.0447164,0.971924,0.0514591,0.586046,19.1274,18.9154
0.0447812,0.944286,0.0513778,0.764024,19.1018,18.9159
0.0446299,0.977242,0.0527067,0.867096,19.1653,18.916
0.0444833,0.987336,0.053956,0.275653,19.3696,18.916
0.0444161,0.997147,0.0531911,0.183343,19.6322,18.916
0.0446394,0.976267,0.0526422,0.103728,19.7458,18.9161
0.0444458,0.989006,0.0543922,0.832967,19.6752,18.9166
0.0447846,0.94834,0.051291,0.377164,19.9572,18.9166
0.0444896,0.974249,0.0513073,0.30182,19.8774,18.9167
0.0448069,0.935046,0.0507078,0.00587001,19.802,18.9169
0.0447211,0.964427,0.051936,0.23483,19.0984,18.917
0.0447923,0.947459,0.051247,0.838119,19.8187,18.9175
0.0447527,0.918987,0.050149,0.14592,19.6019,18.9176
0.0447036,0.967706,0.0521519,0.621024,19.8759,18.9192
0.0448636,0.936752,0.0507101,0.286435,19.0049,18.9193
0.0444803,0.986258,0.0526772,0.858871,19.4013,18.9199
0.0446462,0.960181,0.0508669,0.0171897,19.4234,18.9201
0.0447811,0.91065,0.0502433,0.0202068,19.0232,18.9213
0.0446022,0.946669,0.0509034,0.820346,19.4543,18.9225
0.0446842,0.983288,0.0511213,0.697048,19.6412,18.9233
0.0447372,0.959454,0.0519413,0.692992,19.0432,18.9239
0.0449101,0.923991,0.0505663,0.243332,19.9386,18.9246
0.0443864,0.989961,0.0522731,0.0830658,19.6633,18.9246
0.0444365,0.98987,0.0538464,0.494726,19.2112,18.9256
0.0443621,0.994998,0.0522831,0.648769,19.7546,18.9263
0.0444884,0.998907,0.0538103,0.908103,19.0698,18.9263
0.0446955,0.965878,0.0524244,0.944564,19.308,18.9264
0.0447317,0.941468,0.0521599,0.898956,19.7224,18.9266
0.0446339,0.936159,0.0508908,0.375667,19.8547,18.9273
0.0444679,0.975444,0.0514194,0.795841,19.0719,18.9277
0.0445419,0.963329,0.0513452,0.283046,19.9055,18.9278
0.0447625,0.939426,0.0505803,0.510636,19.5762,18.9279
0.0445239,0.983857,0.0538697,0.949846,19.0728,18.9282
0.0444421,0.978304,0.0518526,0.0063058,19.2877,18.9283
0.0444611,0.993576,0.0544634,0.286196,19.9968,18.9285
0.0445663,0.960588,0.0512017,0.738495,19.7825,18.9288
0.0449048,0.919386,0.0508498,0.0957339,19.8436,18.9289
0.0447088,0.921076,0.0508736,0.739093,19.4033,18.9293
0.0444921,0.981214,0.0542672,0.0103588,19.9282,18.9293
0.0446765,0.952535,0.0513985,0.422058,19.1451,18.9296
0.0447415,0.939334,0.0502195,0.375371,19.526,18.9297
0.0446595,0.930969,0.0510886,0.306754,19.7889,18.9299
0.0448945,0.919582,0.0510037,0.434628,19.3843,18.9304
0.0445556,0.971008,0.0523659,0.308123,19.6107,18.9312
0.0444482,0.987402,0.0526913,0.31489,19.6964,18.9316
0.044575,0.967739,0.0519743,0.554371,19.4478,18.932
0.0446376,0.958542,0.0530878,0.970954,19.0097,18.9323
0.0445852,0.95674,0.0511909,0.49834,19.9749,18.9323
0.0446449,0.955112,0.0531003,0.502348,19.2729,18.9325
0.0443715,0.99874,0.0541733,0.630938,19.7035,18.9327
0.0444347,0.993326,0.0548184,0.551691,19.1427,18.9327
0.044443,0.988041,0.0532192,0.27575,19.849,18.933
0.0447356,0.940202,0.0504649,0.706479,19.3098,18.9331
0.0446578,0.954295,0.0514654,0.860342,19.8186,18.9331
0.0449432,0.906713,0.0504066,0.725804,19.1472,18.9336
0.0444683,0.981494,0.0522323,0.404843,19.6013,18.9337
0.044503,0.97655,0.0536787,0.161331,19.8419,18.9342
0.0446385,0.928896,0.0513229,0.85232,19.1411,18.9347
0.0443565,0.994117,0.0528968,0.238751,19.108,18.9348
0.044745,0.938138,0.0518509,0.123251,19.0353,18.9351
0.0444225,0.990393,0.0536232,0.0958079,19.9142,18.9352
0.0449878,0.918369,0.0501555,0.904363,19.9151,18.9354
0.0447681,0.944851,0.0519632,0.00981377,19.9377,18.9361
0.0447736,0.948089,0.0519025,0.071156,19.8139,18.9361
0.0448497,0.921912,0.0507516,0.0132305,19.102,18.9362
0.0444036,0.983639,0.0525833,0.948137,19.6863,18.9362
0.0446456,0.932613,0.0513471,0.686686,19.5312,18.9371
0.0446753,0.946467,0.0530017,0.452986,19.3479,18.9373
0.0444485,0.985252,0.0528807,0.18293,19.3223,18.938
0.0447557,0.943154,0.0521807,0.172654,19.0354,18.9384
0.0449024,0.923329,0.0509735,0.212218,19.5047,18.9387
0.0446276,0.972602,0.0533825,0.0143909,19.8287,18.9389
0.0448351,0.90763,0.0500738,0.618537,19.5934,18.939
0.0446239,0.956279,0.0514427,0.671629,19.0644,18.9391
0.0445709,0.965903,0.0525495,0.705749,19.389,18.9392
0.0446726,0.960601,0.0528515,0.124305,19.5542,18.9394
0.0444476,0.986895,0.0506828,0.917637,19.8701,18.9396
0.0448874,0.912255,0.0515587,0.437808,19.9199,18.9398
0.0444541,0.982735,0.0541261,0.243591,19.8535,18.9399
0.0444746,0.969195,0.0522314,0.478989,19.5167,18.94
0.0445903,0.951842,0.0503798,0.609391,19.2309,18.9405
0.0446342,0.955393,0.0520202,0.84778,19.3644,18.9409
0.0447137,0.923038,0.0501059,0.306526,19.4074,18.9414
0.0446241,0.955219,0.052942,0.641172,19.6046,18.9415
0.0445409,0.967262,0.0519515,0.0760392,19.7044,18.9415
0.0444855,0.972442,0.0521988,0.116288,19.3067,18.9417
0.0443741,0.991777,0.0557083,0.481308,19.5674,18.9418
0.0447712,0.931265,0.0519692,0.215596,19.4321,18.9419
0.0449499,0.90267,0.0505334,0.0119375,19.1816,18.9419
0.0446263,0.954096,0.0514401,0.0589837,19.1061,18.9421
0.0446151,0.954277,0.0536393,0.844947,19.4804,18.9423
0.0444001,0.987887,0.0529285,0.209215,19.3265,18.9427
0.0446543,0.961524,0.0531201,0.422636,19.7815,18.9434
0.0444885,0.969927,0.0511891,0.375031,19.8823,18.9437
0.0448802,0.9201,0.0514244,0.808433,19.3884,18.9437
0.0445926,0.95907,0.0517452,0.0741167,19.4254,18.9438
0.0444566,0.981968,0.0538261,0.888598,19.4397,18.944
0.044769,0.906638,0.0510699,0.90763,19.8325,18.9444
0.0448793,0.911774,0.0515446,0.997843,19.8198,18.9449
0.0445973,0.982542,0.0531667,0.113021,19.243,18.945
0.044642,0.968927,0.053433,0.631188,19.8681,18.9454
0.0450296,0.886691,0.0505398,0.104813,19.3584,18.9454
0.0445365,0.983432,0.0543702,0.528314,19.4965,18.9454
0.0444089,0.989444,0.0537798,0.313924,19.9827,18.9455
0.044478,0.958627,0.0525408,0.729792,19.8553,18.9457
0.0444342,0.98833,0.0507883,0.420529,19.0935,18.9457
0.0445389,0.97438,0.0542279,0.826067,19.5515,18.9458
0.0444944,0.977447,0.0546918,0.652351,19.0464,18.9459
0.0447526,0.927257,0.0506198,0.101351,19.3595,18.946
0.0446618,0.946179,0.0512876,0.184034,19.2224,18.9461
0.0447505,0.909527,0.0509102,0.00833102,19.0787,18.947
0.0446161,0.968685,0.0535794,0.46273,19.9747,18.9471
0.0449812,0.892954,0.051205,0.230532,19.8211,18.9472
0.0448996,0.930594,0.0512397,0.342687,19.154,18.9474
0.0447935,0.925346,0.0506167,0.331787,19.3241,18.9476
0.0448093,0.905063,0.0506844,0.375834,19.4277,18.9476
0.0447661,0.931177,0.0509948,0.439021,19.0502,18.9476
0.0443542,0.995742,0.0536331,0.8764,19.5442,18.9476
0.0445747,0.96019,0.0520349,0.0521521,19.7163,18.9488
0.0445128,0.972766,0.0546458,0.44338,19.7071,18.9491
0.0443915,0.990897,0.0542091,0.671915,19.6341,18.9493
0.0444331,0.9719,0.0528556,0.487952,19.1223,18.9494
0.0446756,0.921555,0.0517197,0.616914,19.2535,18.9495
0.0448213,0.918467,0.0504276,0.385106,19.906,18.9495
0.0449835,0.898505,0.0509899,0.762107,19.1446,18.9497
0.0447361,0.917858,0.0511065,0.152103,19.5449,18.9497
0.0448219,0.963496,0.0503279,0.138718,19.789,18.9502
0.0446222,0.951474,0.0535714,0.220063,19.1239,18.9502
0.0447449,0.924517,0.0508521,0.123486,19.2566,18.9505
0.0445309,0.94799,0.052494,0.696336,19.6222,18.9506
0.0447564,0.943555,0.0524667,0.0995152,19.9644,18.951
