beta,permeability,xi,init_days,delay,value
0.0461172,0.00102099,0.154582,7.55415,12.1503,16.281
0.0469332,0.00181745,0.163995,6.28893,12.1841,16.2857
0.0461585,0.00652374,0.157567,7.07049,12.9732,16.2876
0.0461613,0.0064025,0.158193,7.5125,12.6912,16.2918
0.0460935,0.0104781,0.157242,7.87894,12.0255,16.2919
0.0453799,0.0123053,0.151993,8.47198,12.7628,16.3003
0.0461489,0.00708662,0.165906,7.11712,12.8911,16.3118
0.0455662,0.00258637,0.147981,8.54115,11.7819,16.3136
0.0453568,0.0204597,0.154255,8.05415,12.2254,16.3168
0.0453285,0.0208083,0.156748,8.10123,12.1455,16.3196
0.0455783,0.00600067,0.150392,8.47511,11.878,16.324
0.0461508,0.0110126,0.164558,7.50221,12.4606,16.3254
0.0461477,0.0121973,0.156293,7.46264,12.128,16.3264
0.0455237,0.0124727,0.151385,8.79179,11.0622,16.3295
0.0455423,0.01358,0.150549,8.0442,11.9925,16.3298
0.0462255,0.00228849,0.162201,7.43399,12.5492,16.3307
0.0469262,0.00473471,0.160589,6.51902,12.1341,16.3318
0.0453734,0.0165899,0.156983,8.04426,12.4123,16.3319
0.046155,0.0121241,0.158172,7.10232,12.7882,16.3333
0.0454006,0.00798163,0.156519,8.65738,12.4551,16.3383
0.0455401,0.00287119,0.140725,8.69066,11.2193,16.3428
0.0469229,0.0078754,0.162132,6.5897,12.2793,16.3441
0.045602,0.00683649,0.147779,8.31702,11.4395,16.3442
0.0453444,0.0124991,0.157447,8.15972,12.6428,16.3447
0.0462618,0.00395959,0.15341,7.28355,11.7216,16.3454
0.0454067,0.00505235,0.156815,8.1724,12.3197,16.3465
0.0448866,0.00108661,0.141599,9.14699,11.5268,16.3471
0.045392,0.0149714,0.147575,8.13089,12.0133,16.3472
0.0455612,0.00766183,0.145236,8.84835,11.7318,16.348
0.045516,0.0148835,0.153622,8.95417,11.8453,16.3489
0.0453491,0.0162179,0.14754,8.78709,12.3379,16.3492
0.0453696,0.0234614,0.156463,8.30568,12.743,16.352
0.0455284,0.00179156,0.14596,8.0282,11.6558,16.3525
0.0455401,0.00230776,0.14981,8.29536,11.5326,16.3525
0.0461691,0.0111464,0.156648,7.46377,12.5541,16.3537
0.0460454,0.0142051,0.157542,7.3259,12.8282,16.355
0.0446626,0.00217368,0.14171,9.28188,12.8968,16.3551
0.0454387,0.00943606,0.158439,8.17872,12.7659,16.3572
0.0453796,0.0142209,0.146635,8.66464,12.4792,16.3578
0.0453507,0.0274247,0.154094,8.86002,12.3848,16.359
0.0453266,0.0310382,0.154539,8.36908,12.0313,16.3591
0.0453726,0.012725,0.160146,8.82419,12.1037,16.3597
0.0446461,0.0172066,0.145352,9.95435,12.8541,16.3609
0.0462371,0.00610591,0.153139,7.73213,11.7233,16.3612
0.0460455,0.0150062,0.156658,7.89992,12.1492,16.3617
0.0460309,0.0159937,0.159304,7.67668,12.4347,16.3621
0.045417,0.0151194,0.152345,8.7393,12.4581,16.3621
0.0454663,0.00203785,0.146185,8.11109,12.4203,16.3621
0.0453861,0.00955026,0.144626,8.72731,12.5948,16.3625
0.046028,0.0252133,0.164034,7.45625,12.3953,16.3627
0.0461284,0.0126801,0.152883,7.62185,12.1782,16.3634
0.0462567,0.00142939,0.145542,7.31825,11.1028,16.3643
0.0455964,0.00221309,0.142601,8.13629,11.9499,16.3645
0.046349,0.000791356,0.158412,7.22669,11.1245,16.3648
0.0460925,0.0116214,0.151163,7.89872,12.9027,16.3649
0.0469149,0.00210748,0.156243,6.83849,12.1964,16.3667
0.045543,0.00378303,0.138344,8.32765,11.0307,16.3671
0.0448442,0.0066199,0.139881,9.06357,11.284,16.3682
0.0469019,0.00555831,0.158344,6.50153,12.5308,16.3697
0.0454944,0.0217226,0.149702,8.27676,11.2293,16.3702
0.0446387,0.0115338,0.142057,9.26734,12.1535,16.3714
0.0448128,0.00708258,0.141309,9.31648,11.5908,16.3728
0.0446441,0.0235154,0.150853,9.77178,12.8069,16.3731
