beta,permeability,xi,init_days,delay,value
0.046433,0.00728869,0.123339,29.9198,19.5266,120.764
0.0471404,0.0147517,0.142491,27.806,19.8859,121.133
0.0479597,0.00602903,0.165503,25.5456,19.0603,121.445
0.0492963,0.0350392,0.0916254,22.2772,15.9455,121.601
0.0502601,0.00817701,0.104092,20.4113,15.9201,121.652
0.0492677,0.0118367,0.11617,22.7894,16.8315,121.653
0.0457964,0.00183496,0.09687,31.1486,19.417,121.73
0.0494219,0.0698827,0.13913,21.8886,16.2798,121.779
0.0483591,0.0146713,0.150841,24.5607,18.8993,121.878
0.0454634,0.00802724,0.0874992,32.1556,19.222,121.898
0.0486241,0.0493714,0.140576,23.8269,17.824,121.907
0.0510925,0.00539653,0.134556,18.3753,15.4168,121.948
0.0497417,0.0126262,0.117838,21.121,16.8804,122.017
0.0495963,0.02109,0.163457,21.3941,17.8829,122.021
0.0497656,0.0837211,0.161669,20.2303,16.4033,122.06
0.0450874,0.0239772,0.0829957,33.5054,19.2958,122.08
0.0479404,0.0143723,0.164549,25.7483,19.018,122.082
0.0483532,0.0517949,0.0960688,24.1966,16.2609,122.127
0.047476,0.0397032,0.128229,26.7124,18.5237,122.145
0.0467404,0.0119111,0.130673,28.6257,19.9869,122.149
0.0495658,0.0379306,0.133629,21.2061,16.8602,122.169
0.0473982,0.0436729,0.166004,26.3204,19.1901,122.171
0.0491242,0.0529096,0.117407,22.6391,16.7528,122.175
0.0491269,0.0262957,0.152687,22.769,17.8748,122.175
0.0467539,0.0129357,0.139456,28.5329,19.0286,122.176
0.0472145,0.0247744,0.10652,27.061,18.9943,122.271
0.0495157,0.0408593,0.138548,21.0751,16.0318,122.288
0.0489517,0.0733115,0.134509,22.3183,16.7486,122.322
0.0488938,0.00439707,0.118954,23.5302,17.8891,122.366
0.0482435,0.0537318,0.124767,24.0452,17.046,122.419
0.0471396,0.0435194,0.109438,27.1412,18.4996,122.446
0.0469161,0.0662916,0.16459,27.863,19.7319,122.498
0.0484413,0.00187908,0.141739,24.4272,18.1407,122.544
0.0496495,0.00428661,0.160099,21.3479,17.3855,122.707
0.0483593,0.109627,0.160257,23.0659,17.4646,122.745
0.0475082,0.0266052,0.127543,26.9518,18.2569,122.773
0.048074,0.0277443,0.0851843,25.2826,16.4631,122.858
0.0463516,0.0348813,0.11881,29.04,19.7839,122.885
0.0466011,0.0681677,0.131414,28.5367,19.276,122.885
0.0470777,0.0294815,0.149914,27.6739,19.4823,122.93
0.0488126,0.111039,0.13664,22.9055,16.6519,122.965
0.0473867,0.0550531,0.156093,26.7145,19.3157,122.971
0.0485248,0.0672733,0.152123,23.8033,17.3015,122.981
0.0495622,0.0341449,0.136804,21.2231,16.328,123.049
0.0470795,0.0649099,0.0945699,27.452,17.4013,123.05
0.0481042,0.0521548,0.0706203,25.632,15.8848,123.063
0.0477318,0.0842572,0.118435,25.4159,17.617,123.081
0.0465713,0.0722154,0.135756,28.0113,19.5837,123.109
0.0478571,0.0341757,0.148447,25.6925,18.6729,123.139
0.0466524,0.0437446,0.135413,28.5349,19.9173,123.181
0.0450162,0.0372622,0.0859536,33.3724,19.0994,123.204
0.048488,0.0994312,0.11952,23.3695,16.1794,123.217
