beta,permeability,xi,init_days,delay,value
0.0300959,0.00928756,0.0558643,11.9741,19.253,29.7228
0.0298753,0.0265129,0.0510874,12.794,19.4194,29.7383
0.0300609,0.0328265,0.0561969,11.2466,19.7198,29.7456
0.0301512,0.0273816,0.0508859,11.0698,19.9038,29.7458
0.0298492,0.046342,0.0507912,12.6806,19.9739,29.7521
0.0296168,0.0247263,0.0502506,13.0176,19.7766,29.7539
0.030311,0.0191717,0.0603087,10.7762,19.4199,29.7539
0.0298208,0.0356189,0.0529959,12.9658,19.7334,29.7545
0.0303757,0.0176686,0.0555046,10.2415,19.5339,29.7577
0.0300947,0.0222725,0.0544739,11.8468,19.8665,29.76
0.0300746,0.0453224,0.0542789,11.4311,19.4146,29.7612
0.0304043,0.015728,0.0538232,10.4468,19.431,29.7622
0.0298211,0.0266297,0.0533189,12.7822,19.0162,29.7683
0.0303498,0.027879,0.0561554,10.4119,19.9875,29.7689
0.0305511,0.0133953,0.0648506,9.12701,19.9931,29.7697
0.0298743,0.0230385,0.0520826,12.3089,19.2367,29.7705
0.0300581,0.0308085,0.0572106,11.2101,19.277,29.7717
0.0305626,0.0128719,0.0639064,9.98878,19.0293,29.7739
0.0300484,0.0444426,0.0555943,11.8421,19.7905,29.7742
0.0301094,0.0212055,0.0532837,11.8958,19.9257,29.7745
0.0305698,0.0177013,0.0629015,9.53632,19.184,29.7745
0.0306089,0.0170611,0.0596016,9.39126,19.8586,29.775
0.0305715,0.0135844,0.0636036,9.17932,19.7416,29.775
0.0303218,0.0222902,0.058454,10.2891,19.2088,29.7772
0.0301745,0.00883106,0.0523483,11.6932,19.1731,29.7782
0.0303278,0.0298854,0.0573443,10.6863,19.3009,29.7789
0.0300668,0.01815,0.0559873,11.1563,19.3566,29.779
0.0300861,0.0498623,0.0524067,11.5279,19.9447,29.7794
0.0302878,0.0544481,0.0581988,10.6706,19.1341,29.7795
0.0300014,0.037761,0.0594818,11.852,19.6516,29.7807
0.0295161,0.0690738,0.0524671,13.7619,19.0091,29.7814
0.0297384,0.0660447,0.0558847,12.5879,19.4794,29.7821
0.029884,0.00746606,0.0503723,12.0056,19.2449,29.7825
0.030323,0.0172759,0.0606646,10.0485,19.2421,29.7827
0.0298192,0.0127855,0.055078,12.2224,19.8674,29.7831
0.0300375,0.0504457,0.0565377,11.8818,19.2809,29.7833
0.0302624,0.0335468,0.0628375,10.1766,19.8981,29.7837
0.0305492,0.0137122,0.0646073,9.40562,19.2663,29.7841
0.0303154,0.0308175,0.0591277,10.6433,19.8262,29.7844
0.0297748,0.0551547,0.0539465,12.3871,19.4022,29.785
0.0303257,0.0127015,0.0586957,10.4127,19.3298,29.785
0.0303579,0.0275218,0.0567505,10.4186,19.401,29.7862
0.0304628,0.00782107,0.0526494,10.3581,19.6221,29.7863
0.0297795,0.075639,0.0528588,12.4241,19.0141,29.7873
0.030591,0.00841389,0.061626,9.90583,19.7517,29.7876
0.0300894,0.0434392,0.0523788,11.7593,19.2256,29.7883
0.0297349,0.0646294,0.0563968,12.7938,19.0247,29.7891
0.0295109,0.0819402,0.0518949,13.1612,19.6009,29.7899
0.0305647,0.0404323,0.0604014,9.30401,19.9074,29.7902
0.030265,0.0162293,0.0636871,10.8699,19.638,29.7904
0.0302635,0.0317969,0.0614906,10.1839,19.2187,29.7916
0.0295964,0.0153426,0.0514602,13.4342,19.9569,29.7932
0.0304789,0.0392588,0.068112,9.27273,19.7905,29.7936
0.0308101,0.0148565,0.0685138,8.76215,19.0096,29.794
0.0300114,0.0795092,0.0549253,11.1452,19.5762,29.7941
0.0295479,0.0585675,0.0508295,13.4204,19.4848,29.7942
0.030539,0.014363,0.0650721,9.7965,19.153,29.7944
0.0305339,0.0456675,0.0624638,9.85082,19.1343,29.7947
0.0304954,0.0233783,0.0686798,9.96881,19.1793,29.7955
0.0297302,0.0935478,0.0539919,12.2,19.8236,29.7959
0.0299773,0.0550028,0.0592004,11.9234,19.8895,29.7961
0.0300888,0.0415194,0.0544921,11.5156,19.2883,29.797
0.0305517,0.0399221,0.0621694,9.86588,19.0457,29.7972
0.0301127,0.0117011,0.0530333,11.3193,19.7317,29.7973
0.0297824,0.0458267,0.0537361,12.9817,19.0851,29.7981
0.0300937,0.0198444,0.0536946,11.2212,19.5591,29.7982
0.0304038,0.0147494,0.0535928,10.1183,19.7399,29.7985
0.0298477,0.0502096,0.0515642,12.6879,19.2216,29.7987
0.0298001,0.0337699,0.0533481,12.8156,19.1531,29.7996
0.0295785,0.0364106,0.0501987,13.8975,19.0811,29.8
0.0302343,0.0507257,0.0619755,10.4655,19.4313,29.8004
0.0303342,0.0493891,0.0563448,10.0277,19.4015,29.8009
0.0297719,0.0731957,0.0525691,12.1763,19.4026,29.802
0.0303135,0.0377368,0.0567265,10.0598,19.2131,29.8031
0.0301542,0.0460799,0.0502415,11.5704,19.7397,29.8033
0.030588,0.0245845,0.0616004,9.75932,19.0395,29.8035
0.0298884,0.0350302,0.0508635,12.1281,19.1946,29.8036
0.0304852,0.0312516,0.0676966,9.77275,19.9113,29.8036
0.0302962,0.0693129,0.0567641,10.1545,19.8455,29.8037
0.0297122,0.113265,0.0536434,12.2916,19.2497,29.8038
0.0301765,0.0664978,0.0652582,10.0753,19.6359,29.8044
0.0300258,0.0461666,0.0561907,11.8203,19.2578,29.8045
0.0300407,0.0612095,0.05389,11.669,19.6282,29.8047
0.030303,0.0560394,0.0576075,10.7404,19.9913,29.8054
0.0299997,0.0341191,0.0604206,11.9253,19.4512,29.8055
0.0301009,0.0218815,0.0527065,11.3253,19.648,29.8058
0.0297615,0.0437105,0.0553082,12.7346,19.054,29.8058
0.0302355,0.0799032,0.059007,10.5534,19.9975,29.8066
0.02998,0.0519307,0.0588515,11.5722,19.9879,29.8078
0.0302864,0.0664624,0.0576677,10.0098,19.1309,29.8079
0.0294785,0.121433,0.0509196,13.9737,19.417,29.809
0.0297157,0.106307,0.0537506,12.7492,19.9779,29.809
0.0299433,0.00792451,0.0507081,12.1575,19.8086,29.8092
0.0296866,0.0960332,0.0566258,12.7836,19.8737,29.8097
0.0301937,0.0518667,0.065107,10.4438,19.3448,29.8102
0.030629,0.0205392,0.0595389,9.788,19.4816,29.8103
0.0308236,0.0353472,0.0650668,8.54676,19.0155,29.8106
0.0302305,0.0340782,0.0632554,10.942,19.0332,29.8115
0.0294549,0.137915,0.0509114,13.6659,19.0742,29.8116
0.0297654,0.0774662,0.0524331,12.0096,19.2374,29.8116
0.0308558,0.0204904,0.0636958,8.20076,19.1268,29.8117
