beta,permeability,xi,init_days,delay,value
0.0613468,0.234359,0.0588946,0.4038,6.52636,21.1659
0.0603339,0.23805,0.0501671,1.52015,6.58117,21.1986
0.0608969,0.266258,0.0665241,0.544931,6.31642,21.2087
0.060967,0.258806,0.0618243,0.533291,7.30179,21.2457
0.0611153,0.247562,0.0571935,0.112774,7.70397,21.2586
0.0602462,0.238673,0.0517786,1.48974,6.4303,21.2621
0.0603404,0.236144,0.0546921,1.19442,6.65919,21.279
0.0606072,0.211958,0.0509314,1.99694,6.0795,21.2839
0.0605407,0.291115,0.0752348,0.0812274,7.15342,21.2858
0.0606128,0.28775,0.0710537,0.0089491,6.80675,21.2901
0.0601312,0.24963,0.0569587,1.58683,6.86781,21.2919
0.0609554,0.261965,0.0600268,0.872896,6.22309,21.2981
0.0602229,0.246546,0.0543014,1.29534,6.08148,21.309
0.0612583,0.232362,0.0588604,0.0440297,6.69343,21.3101
0.0600297,0.259672,0.0597507,1.12557,6.10531,21.3138
0.0606453,0.279224,0.0699816,0.874629,6.68511,21.3182
0.0603812,0.302494,0.0786257,0.294873,7.11783,21.3182
0.0611215,0.250988,0.0601208,0.544676,7.07035,21.3314
0.0600389,0.261318,0.0558087,1.50002,6.38797,21.3415
0.0608963,0.268121,0.0635219,0.175952,7.53097,21.3451
0.0602066,0.314236,0.0830071,0.476845,7.12856,21.3501
0.060595,0.280152,0.0672075,0.448332,7.67182,21.3534
0.0599401,0.262942,0.0596502,1.93303,6.33708,21.356
0.0598258,0.275695,0.0609624,1.6639,6.72842,21.3695
0.0590298,0.26056,0.0543191,2.184,7.36326,21.3812
0.0598674,0.268111,0.0573814,1.06458,6.79963,21.3816
0.0597827,0.275783,0.0633596,1.15716,7.70071,21.3824
0.0588931,0.274212,0.0532114,2.79594,7.13606,21.3897
0.0604507,0.290071,0.0712719,0.449643,8.31739,21.3958
0.0592349,0.315321,0.0756433,1.40714,7.64132,21.3991
0.0597133,0.283654,0.0632188,1.45008,7.1413,21.4044
0.0611506,0.255404,0.0609851,0.119655,6.96528,21.4098
0.0595891,0.285172,0.0678721,1.44188,8.77346,21.4117
0.0609911,0.261341,0.065621,0.450375,7.52023,21.4117
0.0604058,0.292218,0.0747213,0.877931,8.00367,21.4137
0.0607527,0.204464,0.0518358,1.43782,6.88754,21.4141
0.0604618,0.286874,0.072452,0.453725,8.62178,21.4157
