beta,permeability,xi,init_days,delay,value
0.0468106,0.00517426,0.096563,54.7295,15.1554,71.6702
0.0464656,0.0123277,0.0966386,55.7602,15.9037,71.8811
0.0467995,0.0110569,0.0978189,54.3054,15.5946,72.0018
0.0513223,0.0045611,0.121057,42.2007,15.4907,72.0246
0.0491496,0.00692319,0.128976,47.5888,16.573,72.0379
0.0458779,0.00206997,0.090707,57.5473,15.4982,72.1255
0.0484132,0.00832926,0.122022,49.8479,16.9856,72.2992
0.0481045,0.0329647,0.106895,50.9725,15.4548,72.3083
0.0500274,0.0125048,0.116848,45.6455,15.2509,72.379
0.0496925,0.00237115,0.110065,46.9293,15.02,72.4038
0.0508661,0.010663,0.119611,43.6741,15.9606,72.4134
0.0487941,0.00232953,0.121423,48.2125,16.5727,72.4285
0.0485246,0.00798612,0.108471,49.537,15.3046,72.5387
0.0464443,0.0036027,0.0970226,55.5921,15.6539,72.545
0.0477063,0.00341605,0.115205,51.5004,16.1824,72.6477
0.0484491,0.0397853,0.110766,49.8107,15.2178,72.6539
0.0488215,0.0380107,0.112902,48.4241,15.0805,72.7032
0.0481382,0.0193091,0.102684,50.1205,15.8419,72.7295
0.0488233,0.00704328,0.121664,48.5669,16.0706,72.7318
0.0477311,0.00430711,0.10787,51.6165,15.4402,72.7906
0.0499337,0.0100687,0.138441,45.6372,16.8445,72.8159
0.0484762,0.00359244,0.1176,49.7669,16.9286,72.8421
0.0477311,0.0423535,0.108816,51.826,15.6997,72.8595
0.0473625,0.054943,0.107843,52.3131,15.1934,72.9626
0.0488613,0.00296726,0.115562,48.0688,15.7239,72.9924
0.0488646,0.0212359,0.112629,48.6129,15.0494,73.0077
0.047726,0.0416497,0.109429,51.8175,15.0035,73.0446
0.051317,0.0120315,0.124976,42.6164,15.1393,73.0472
0.0475056,0.00144647,0.101195,52.4446,15.1714,73.0576
0.0477174,0.0112847,0.109262,51.6524,15.5176,73.071
0.0455687,0.00807327,0.0916336,58.002,15.9503,73.0734
0.047436,0.0174011,0.106318,52.0773,15.7814,73.1118
0.0501559,0.00317875,0.103342,45.2189,14.2312,73.1258
0.0477259,0.0137604,0.107464,51.0904,15.4992,73.16
0.0491661,0.00209914,0.134538,47.6264,16.1268,73.165
0.0464085,0.016201,0.100389,55.6511,15.7941,73.2046
0.0470324,0.0384186,0.105645,53.645,15.4641,73.2138
0.0483988,0.0249101,0.125298,49.4817,16.7584,73.2146
0.0497047,0.00273342,0.107919,46.2812,15.423,73.221
0.0477173,0.0150876,0.108123,51.7117,15.477,73.2464
0.0476709,0.018577,0.124127,51.036,16.3469,73.2511
0.0488075,0.00717466,0.115628,48.6896,15.5461,73.27
0.0484668,0.00934872,0.119422,49.6646,16.7859,73.2857
0.0504013,0.0351376,0.121521,44.1803,15.5347,73.3222
0.0468147,0.00865548,0.0993574,54.4297,15.8161,73.3258
0.0473651,0.00358624,0.120165,52.9248,16.8831,73.3267
0.0480727,0.020426,0.118831,50.8017,16.3914,73.336
0.0499889,0.00193137,0.126168,45.651,16.9915,73.3393
0.048145,0.0149315,0.100989,50.5231,15.252,73.3664
0.0477475,0.00619827,0.108108,51.4651,16.0331,73.3795
0.0491786,0.0163042,0.128992,47.51,16.2158,73.4007
0.0513274,0.0108676,0.124846,42.7871,15.6495,73.4036
0.0458355,0.0153121,0.0969356,57.6954,15.9086,73.4159
0.0489757,0.00189752,0.0993608,48.064,14.5309,73.4274
0.0500897,0.00824446,0.104676,45.1058,14.3077,73.4286
0.048468,0.00745676,0.114033,49.8858,16.7974,73.4338
0.0452343,0.023696,0.0932826,59.3931,15.4006,73.4612
0.0460552,0.0106945,0.107278,56.6824,16.4327,73.471
0.0480659,0.0192209,0.114323,50.4771,15.702,73.5007
0.0491847,0.0126125,0.121381,47.1765,16.1918,73.5243
0.0480646,0.0379674,0.11025,50.0477,15.6514,73.5269
0.0488274,0.00782496,0.116394,48.8518,16.8502,73.532
0.0443196,0.00528411,0.0992866,62.5877,16.9769,73.5408
0.0508329,0.00938019,0.123768,43.6825,15.6929,73.5565
0.0474115,0.00335491,0.106993,52.7948,16.8385,73.5594
0.0473287,0.00594022,0.120397,52.0669,16.5563,73.5599
0.0496534,0.010829,0.107751,46.8193,15.1586,73.5828
