beta,permeability,xi,init_days,delay,value
0.0426692,0.00541866,0.113111,46.3365,19.9978,88.3044
0.0418308,0.0069906,0.088819,50.5076,19.2001,88.4606
0.0426388,0.0062901,0.116407,46.5893,19.0492,88.6164
0.0429667,0.00590823,0.110806,45.0577,19.6664,88.8956
0.0420358,0.0104353,0.0924301,49.3426,19.7841,88.953
0.0426255,0.015342,0.115892,46.5018,19.4288,88.9533
0.0422214,0.0161588,0.0998562,48.1758,19.5762,89.0322
0.0434325,0.00455037,0.128329,43.8788,19.4031,89.0536
0.043497,0.00440023,0.11897,43.6169,19.5788,89.057
0.0424891,0.0100949,0.10133,47.7071,19.9887,89.0909
0.0445409,0.00523,0.152008,39.5995,19.6171,89.1484
0.0418467,0.0113635,0.0868788,50.5439,19.7106,89.1986
0.0428641,0.0183622,0.121051,45.6845,19.0863,89.2032
0.0434556,0.01209,0.125967,43.8151,19.5893,89.2679
0.0428436,0.0147379,0.124676,45.9486,19.3698,89.2843
0.042679,0.0089263,0.109058,46.8615,19.9049,89.2901
0.0440095,0.00574165,0.135808,41.3221,19.5031,89.2962
0.0442548,0.00335238,0.14206,40.0952,19.5104,89.2982
0.0426297,0.00546698,0.116887,46.5304,19.7681,89.3055
0.0442701,0.00736013,0.141213,40.501,19.9447,89.3261
0.0451861,0.0104789,0.159743,37.9644,19.615,89.3644
0.0429099,0.00733962,0.12012,45.0889,19.0569,89.4102
0.0423821,0.0349168,0.111271,47.7408,19.4049,89.416
0.0427313,0.0160429,0.105787,46.6942,19.6637,89.4543
0.0459141,0.00889075,0.161713,35.5257,19.6037,89.4592
0.0435185,0.00456137,0.116981,43.1014,19.144,89.4702
0.0425938,0.0321301,0.119832,46.9756,19.9659,89.4765
0.0431605,0.00718035,0.12392,44.8803,19.2566,89.4919
0.0442231,0.0119622,0.147054,40.4601,19.6997,89.4936
0.042708,0.0216533,0.107409,46.1491,19.652,89.4952
0.04452,0.0133726,0.155142,39.1763,19.977,89.5035
0.0420342,0.021659,0.0927851,49.6136,19.8466,89.5207
0.042684,0.0243929,0.111059,46.5747,19.4115,89.5257
0.0423957,0.0366015,0.109818,47.5898,19.1274,89.544
0.0437082,0.0213675,0.130519,42.4017,19.0604,89.5456
0.0455816,0.0118164,0.156091,36.6349,19.5114,89.5696
0.042423,0.0313783,0.106551,47.822,19.9291,89.6037
0.0449271,0.00619547,0.146043,38.4135,19.6717,89.6152
0.0421689,0.0181754,0.105783,48.1674,19.3692,89.6418
0.0448668,0.00472157,0.153196,38.0398,19.1693,89.6508
0.0424302,0.0314183,0.107861,47.8984,19.8926,89.6517
0.0419612,0.0370349,0.0986408,49.6997,19.3652,89.6551
0.0428908,0.0280992,0.12014,45.669,19.3459,89.6677
0.0426526,0.00564996,0.117344,46.3822,19.2143,89.6748
0.0430737,0.0244223,0.133643,44.5154,19.3908,89.6808
0.0416322,0.0176953,0.0830103,51.009,19.7245,89.682
0.0433432,0.0156876,0.136154,43.6972,19.8806,89.6882
0.0420796,0.0101765,0.0897148,49.4364,19.4529,89.6967
0.0429924,0.00977119,0.10767,45.0228,19.2294,89.6999
0.0430875,0.0233762,0.129541,44.144,19.3739,89.7065
0.0431425,0.00539137,0.127293,44.3821,19.2075,89.7142
0.0436982,0.0223269,0.134592,42.8864,19.1463,89.7177
0.0455618,0.00971728,0.157901,36.8368,19.1055,89.7185
0.0458806,0.0119928,0.163825,35.0967,19.5579,89.7197
0.0417651,0.0335601,0.0922623,50.4188,19.6508,89.7242
0.0445096,0.0150686,0.158061,39.7048,19.7965,89.7289
0.0420775,0.00857198,0.0905566,49.8991,19.0126,89.7335
0.0426657,0.0226773,0.110588,46.4601,19.5008,89.734
0.0459204,0.0063146,0.163249,35.8179,19.9608,89.7433
0.0431015,0.0122996,0.131758,44.2941,19.7743,89.7489
0.0453189,0.00610909,0.143288,37.8573,19.4179,89.7551
0.0421809,0.0240133,0.10556,48.6632,19.2423,89.7618
0.0417697,0.0406645,0.0915906,50.351,19.1713,89.7637
0.0456036,0.00316554,0.155985,36.7245,19.2745,89.7733
0.0455892,0.00588953,0.157958,36.9791,19.9466,89.7817
0.0451987,0.0170144,0.158376,37.6108,19.3105,89.7853
0.0411863,0.033953,0.0775618,53.7441,19.2408,89.7924
0.0436621,0.0207822,0.139239,42.151,19.0218,89.7951
0.0431197,0.00989527,0.129597,44.7635,19.1808,89.8005
0.0428359,0.0151898,0.127611,45.3555,19.9204,89.8006
0.0442099,0.0218611,0.148968,40.3862,19.0695,89.8014
