beta,permeability,xi,init_days,delay,value
0.0519515,0.103727,0.0553381,0.0678401,4.76478,29.2789
0.0518118,0.107341,0.0583757,0.214973,4.44196,29.3078
0.0516996,0.148883,0.0537523,0.871827,3.45061,29.4714
0.0490193,0.229912,0.058864,3.79022,5.74825,29.5023
0.0519272,0.145199,0.0530348,0.4117,4.9055,29.5116
0.048551,0.230227,0.0503296,4.71498,4.93286,29.5373
0.0516597,0.153799,0.0575127,0.179061,4.08443,29.5439
0.0516551,0.0863329,0.0502562,1.97787,5.60985,29.5522
0.0510762,0.153262,0.0521256,1.45831,4.79173,29.5548
0.0525811,0.0523384,0.0502337,0.137757,4.14597,29.5836
0.0500906,0.184299,0.0533753,2.02644,4.40534,29.5848
0.0517846,0.155025,0.0555821,0.958361,4.86218,29.5859
0.0513903,0.186184,0.0609499,0.00950777,4.79003,29.599
0.0510477,0.210732,0.0672033,0.359745,4.63874,29.6043
0.0510065,0.213682,0.0660532,0.106837,4.52486,29.6088
0.0516748,0.135579,0.0616014,0.892397,5.87955,29.6098
0.0507184,0.207041,0.0548781,1.36441,4.87264,29.6407
0.0500312,0.139621,0.0531528,3.39902,6.84003,29.6426
0.0484816,0.269613,0.0508769,4.65947,5.7291,29.6463
0.0501619,0.242488,0.0653888,1.54328,4.30956,29.6467
0.0491479,0.236226,0.0554323,3.50152,5.27365,29.6504
0.0493305,0.222736,0.0527727,3.93252,5.18415,29.6591
0.0487299,0.237808,0.0514775,4.99707,5.16765,29.665
0.0508652,0.226803,0.0712249,0.0574262,4.524,29.6655
0.05131,0.170227,0.0642542,0.489733,4.19227,29.6688
0.0508022,0.204745,0.0529323,1.36814,4.50701,29.6743
0.0512609,0.135987,0.0520383,1.7166,5.11996,29.6758
0.0525894,0.0583786,0.0541725,0.988938,5.14563,29.6837
0.0499003,0.232903,0.0887194,1.9688,6.12725,29.685
0.0501789,0.241946,0.0655258,1.07816,4.00954,29.6907
0.0484241,0.256187,0.0518501,4.60301,5.61698,29.6948
0.0510785,0.159318,0.0537588,1.82826,4.82584,29.7102
0.0511343,0.0920377,0.0513079,2.76583,6.68908,29.7171
0.0509489,0.161595,0.0571962,1.53006,5.9515,29.7256
0.0524138,0.0643527,0.0574669,0.84975,5.27104,29.7265
0.0468652,0.320129,0.0561838,6.0844,6.40038,29.7271
0.0511146,0.148204,0.0567345,1.93933,5.54331,29.7388
0.0499633,0.217834,0.055869,2.11497,5.87486,29.7476
0.0479756,0.329246,0.0580371,4.38044,5.5625,29.7489
0.0514662,0.108382,0.0547318,1.34129,5.04851,29.749
0.0495782,0.226129,0.0616219,2.16639,4.61643,29.7503
0.0486438,0.270158,0.0639031,3.58176,5.85591,29.7512
0.0511873,0.15381,0.0795527,0.472758,5.17664,29.7517
0.0498087,0.239502,0.0600561,2.69967,5.84373,29.7522
0.0510122,0.179789,0.0845029,0.62878,6.37712,29.7542
0.0487178,0.292556,0.0620198,3.33271,5.847,29.7543
0.0513797,0.150125,0.0510812,1.5841,5.82141,29.7561
0.0489944,0.240831,0.0563193,3.50585,4.44625,29.7573
0.0525625,0.0893617,0.0527681,0.343589,5.27475,29.7578
0.0482349,0.265541,0.0587916,4.26261,5.03467,29.7604
0.0510621,0.163498,0.0806848,0.686278,5.06608,29.7629
0.0490434,0.262803,0.0578519,3.02256,5.04284,29.7641
0.0479544,0.267906,0.0543676,5.08823,6.81377,29.7646
0.0488169,0.274817,0.0612229,3.47608,5.40861,29.7671
0.0488919,0.281591,0.0593583,3.97747,5.24331,29.7678
0.0509061,0.152332,0.0527543,1.73808,3.23186,29.77
0.0496715,0.279605,0.0759085,1.0748,4.21754,29.7708
0.0521788,0.101674,0.0564358,0.853763,5.12039,29.7716
0.0506242,0.209736,0.0629844,1.04678,5.51484,29.7726
0.0485345,0.247263,0.0502243,4.20672,4.87956,29.7741
0.0515024,0.179778,0.059892,0.709894,4.02964,29.775
0.0503359,0.200274,0.0747562,1.78105,6.99513,29.7752
0.0493878,0.23564,0.0790159,2.79762,6.5315,29.7774
0.0513925,0.100466,0.0534213,1.92312,5.11022,29.7777
0.0491687,0.258292,0.0745185,2.29227,5.52028,29.7783
0.0500594,0.226847,0.0812898,1.48769,6.28658,29.7808
0.0508296,0.191585,0.0837394,0.480386,5.43164,29.7826
0.051913,0.131784,0.0511432,0.984304,4.58273,29.7828
0.0520298,0.117587,0.0549963,0.981457,5.10583,29.7832
0.0521271,0.0559612,0.051445,1.67626,6.31889,29.7869
0.0482492,0.290635,0.0530509,4.3544,4.66628,29.7872
0.0510617,0.115316,0.0567598,1.70161,4.26571,29.7897
0.0515378,0.175327,0.0549018,0.535322,4.78221,29.7923
0.0516118,0.152317,0.0524736,0.556582,3.0042,29.7935
0.0511752,0.190774,0.0683255,0.0896144,4.67949,29.7964
0.0487065,0.223923,0.0528524,4.93849,5.9706,29.7973
0.0502664,0.198785,0.080462,1.47995,6.79674,29.8022
0.0487979,0.282066,0.0580111,3.58097,4.00511,29.8063
0.0490392,0.260041,0.0814572,2.62377,5.61711,29.8066
0.0507686,0.19846,0.0967399,0.483549,6.43678,29.8075
0.0478559,0.305367,0.0695787,4.22467,6.87172,29.8076
0.0507563,0.147475,0.0658727,1.22539,5.25484,29.8082
0.0492167,0.264379,0.0512299,3.96434,5.2899,29.8102
0.0523618,0.0956631,0.0504043,0.480944,5.8712,29.8108
0.0466249,0.373574,0.0534388,6.98657,5.09885,29.811
0.0473502,0.30297,0.0576895,5.75647,5.62839,29.8128
0.0496769,0.237053,0.0522957,2.7964,3.56593,29.8153
0.0508635,0.230892,0.0769853,0.232628,5.2434,29.8155
0.0491694,0.251014,0.0845942,2.46979,6.30989,29.816
0.0501542,0.160104,0.0571709,2.89312,5.99484,29.8166
0.0452891,0.406572,0.0571902,8.72121,6.56069,29.8182
0.0505634,0.20649,0.0656222,1.82213,5.484,29.8211
0.0491883,0.217778,0.0615348,3.73547,6.7236,29.8261
0.0510386,0.124975,0.0540347,1.67885,4.69063,29.8273
0.0475436,0.326243,0.0775929,4.20321,6.41544,29.8292
0.0512631,0.107531,0.0566966,1.06177,5.58369,29.8294
0.0465736,0.336521,0.0607325,6.47867,5.96144,29.8336
0.0489,0.262333,0.0523276,3.18085,3.58157,29.8341
0.0484714,0.305412,0.0622293,3.28722,4.07908,29.8363
0.0492119,0.258592,0.0813183,2.38335,6.00472,29.8367
0.0499487,0.238338,0.0534811,2.8014,5.50656,29.84
0.0468089,0.337926,0.0562966,6.19655,6.86058,29.841
0.0470446,0.380336,0.0601066,5.0434,5.61145,29.841
0.0513183,0.128975,0.0525326,1.71207,4.36416,29.8414
0.0504571,0.209368,0.0637332,1.06014,5.29864,29.8423
0.0503696,0.16046,0.0618299,2.75599,6.12937,29.843
0.0501696,0.210186,0.0507876,2.31292,5.33757,29.8444
0.0506585,0.117915,0.0509163,2.25053,5.73669,29.8458
0.0481546,0.286594,0.0530848,4.88893,4.74807,29.8458
0.0477914,0.271296,0.0582218,5.46562,6.49776,29.8473
0.0520903,0.109797,0.0607444,0.0272145,5.38454,29.8477
0.0489517,0.271116,0.0942036,2.55168,6.92225,29.8484
0.050187,0.249042,0.066361,1.69571,5.50567,29.85
