beta,permeability,xi,init_days,delay,value
0.037255,0.000903338,0.162872,72.3415,17.2537,163.201
0.0372461,0.0044824,0.163098,72.766,17.9654,163.472
0.0370987,0.00360879,0.165367,73.3015,17.8061,164.292
0.0368924,0.0090146,0.16572,74.9929,17.0177,164.325
0.0358495,0.0170784,0.162892,80.1689,18.9297,164.403
0.0356827,0.017108,0.160083,81.0305,18.8461,164.414
0.0361608,0.0121241,0.164126,78.0485,18.5684,164.429
0.0346164,0.00363947,0.163054,88.1555,19.9954,164.555
0.037085,0.00573192,0.158841,73.6559,17.4056,164.678
0.0365016,0.0181336,0.160344,76.0958,17.1121,164.702
0.0352309,0.00249786,0.163981,84.6884,19.8832,164.705
0.0380386,0.00854004,0.162573,68.3809,16.3467,164.799
0.0348779,0.0136546,0.161309,86.8307,19.6515,164.918
0.0346134,0.0010847,0.157061,88.3102,19.644,164.952
0.035662,0.0116485,0.154397,81.3262,18.4896,164.958
0.0356758,0.0217195,0.159954,81.5469,18.6527,165.074
0.0363619,0.0147016,0.16366,77.0075,18.2152,165.18
0.0367028,0.0204034,0.163789,75.4125,17.5412,165.284
0.0359899,0.0164235,0.160107,79.2085,18.9437,165.471
0.0378221,0.00829936,0.160149,69.4242,16.9425,165.532
0.0349104,0.010986,0.156411,86.1859,19.4427,165.592
0.0363316,0.0182112,0.158428,77.9613,17.568,165.694
0.0378434,0.00875583,0.15476,69.8395,16.1864,165.7
0.0346049,0.0182027,0.158694,88.5497,19.8707,165.719
0.0346278,0.00521988,0.153758,88.8467,19.9486,165.743
0.0374444,0.0193276,0.166018,71.4778,17.4147,165.748
0.034461,0.0115839,0.154058,89.1432,19.433,165.803
0.0363239,0.00433209,0.164379,77.9371,18.7179,165.879
0.0363747,0.0176477,0.166032,77.5508,18.1979,165.896
0.0374547,0.011442,0.154463,71.2277,16.9319,165.921
0.035039,0.0142691,0.150044,85.6047,18.2024,165.964
0.0370692,0.0155367,0.157507,73.9202,17.7601,165.986
0.0355281,0.0214905,0.160939,82.2636,18.5384,166.007
0.0351834,0.0240973,0.154693,84.655,18.0043,166.018
0.0363279,0.00946984,0.149399,77.9596,17.7009,166.047
0.0378734,0.00232663,0.154206,69.9376,16.9454,166.083
0.0386587,0.00637921,0.160084,65.8562,15.7807,166.11
0.0357116,0.00949935,0.154192,81.0814,18.3744,166.153
0.0359999,0.0322257,0.165062,79.3544,18.3138,166.165
0.0350548,0.0227741,0.163581,85.5735,19.7781,166.169
0.0356405,0.00945252,0.155544,81.0311,18.8561,166.192
0.0387288,0.00222929,0.164408,65.528,16.6072,166.319
0.0355642,0.00293265,0.162764,82.6878,18.603,166.333
0.034586,0.0386862,0.165767,88.9297,19.1869,166.35
0.0351979,0.0127541,0.144573,84.1712,18.4829,166.426
0.0372273,0.0328239,0.16635,72.1206,17.6077,166.444
0.0376729,0.0117059,0.161115,70.3082,16.0907,166.459
0.0365804,0.00486635,0.162018,76.5282,18.0343,166.465
0.0362457,0.00348401,0.157876,78.8691,18.1894,166.488
0.0380511,0.0210181,0.161189,68.3041,16.4125,166.492
0.0384366,0.00862666,0.153373,66.7818,15.0811,166.512
0.0366574,0.0392066,0.162914,75.3055,17.5101,166.527
0.035802,0.0405039,0.163744,80.2465,18.6353,166.53
0.0374844,0.00421392,0.158735,71.1312,17.6693,166.536
0.035329,0.0300123,0.150711,83.5016,18.3887,166.538
0.0359748,0.0262324,0.152816,79.0198,17.3146,166.561
0.036009,0.000627363,0.148532,79.1359,17.9335,166.586
0.0342854,0.00717883,0.153505,90.6489,19.9806,166.658
0.036006,0.0109355,0.149229,79.1467,17.6481,166.733
0.0377008,0.00361071,0.155778,70.6133,16.685,166.756
0.0395881,0.000887148,0.165118,61.1055,15.4454,166.78
0.0370783,0.00106338,0.144405,73.8111,16.1393,166.782
0.0351515,0.0337729,0.1598,84.7992,18.946,166.845
0.0342956,0.0195333,0.165837,90.921,19.5475,166.851
0.0341718,0.0014807,0.154809,91.3868,19.1173,166.862
0.0378583,0.017411,0.164674,69.1192,16.7249,166.873
0.0376198,0.0234735,0.164591,70.2307,16.7316,166.892
0.0366531,0.00272333,0.161231,75.9431,17.3689,166.933
0.0348744,0.00993793,0.145362,86.9555,18.3568,166.946
0.0378539,0.00595855,0.14902,69.2224,16.3314,166.957
0.0358142,0.0399003,0.161752,80.4918,18.7099,166.959
