mean,variance
0.134015,0.00158752
0.149378,0.00189403
0.166508,0.00225797
0.185608,0.00268968
0.206907,0.00320121
0.230658,0.00380666
0.257143,0.00452241
0.28668,0.00536751
0.319621,0.00636399
0.356359,0.00753734
0.397333,0.00891689
0.443034,0.0105363
0.494008,0.0124341
0.550865,0.0146542
0.614287,0.0172463
0.685034,0.0202665
0.763955,0.0237779
0.851995,0.0278507
0.950214,0.0325626
1.05979,0.0379991
1.18204,0.0442529
1.31843,0.0514235
1.47061,0.0596164
1.64041,0.0689412
1.82986,0.0795091
2.04125,0.0914301
2.27713,0.104808
2.54034,0.119733
2.83405,0.136278
3.1618,0.154484
3.52754,0.174348
3.93568,0.195816
4.39114,0.218757
4.89941,0.242949
5.46661,0.268059
6.09958,0.293623
6.80595,0.319025
7.5942,0.34349
8.47384,0.366076
9.45455,0.385677
10.5416,0.400973
11.7308,0.410481
12.9981,0.412681
14.3078,0.406437
15.6115,0.391307
16.8535,0.367729
17.9745,0.336997
18.9191,0.301069
19.6409,0.262284
20.1146,0.223109
20.3418,0.185932
20.3429,0.152792
20.1462,0.125123
19.7833,0.103643
19.2861,0.088401
18.6863,0.0789263
18.0121,0.0743959
17.287,0.0738089
16.5309,0.076137
15.7606,0.0804301
14.9898,0.0858773
14.2284,0.0918215
13.4836,0.0977601
12.7616,0.103351
12.0672,0.108388
11.4036,0.112765
10.7724,0.11645
10.1747,0.11946
9.61046,0.121849
9.07903,0.123673
8.57885,0.124972
8.10564,0.125654
7.65839,0.125769
7.23749,0.125459
6.84366,0.124898
6.47745,0.124271
6.13913,0.123756
5.82731,0.123424
5.54323,0.123546
5.28609,0.124246
5.05397,0.125557
4.84451,0.127462
4.65527,0.129913
4.48402,0.132862
4.32955,0.136346
4.1903,0.140353
4.06473,0.144857
3.95126,0.149806
3.8494,0.155281
3.75666,0.16107
3.67325,0.167333
3.59875,0.174132
3.53432,0.181794
3.48132,0.19071
3.44139,0.20138
3.41524,0.2142
3.4057,0.230074
3.41314,0.249538
3.43747,0.273133
3.47739,0.301192
3.53152,0.33407
3.59834,0.372085
3.67632,0.415548
3.7649,0.465073
3.86459,0.521704
3.97777,0.587402
4.10707,0.66461
4.25531,0.75637
4.42668,0.867098
4.62094,0.999715
