mean,variance
0.256847,0.0233354
0.286279,0.0278593
0.319115,0.0332464
0.355753,0.0396576
0.396637,0.0472829
0.442264,0.0563464
0.493189,0.0671115
0.550033,0.0798884
0.613491,0.0950409
0.684339,0.112996
0.763445,0.134251
0.851781,0.159391
0.950433,0.189094
1.06062,0.224149
1.18369,0.265474
1.32118,0.314127
1.47479,0.371332
1.64641,0.438494
1.83819,0.517224
2.05251,0.609361
2.29203,0.716995
2.55976,0.842487
2.85903,0.988496
3.1936,1.15799
3.56764,1.35426
3.98586,1.58092
4.45352,1.84191
4.97649,2.14148
5.56066,2.48364
6.21053,2.87102
6.93171,3.30613
7.73228,3.79218
8.61991,4.33112
9.6027,4.92367
10.6916,5.5707
11.9002,6.27273
13.2423,7.02801
14.7291,7.82979
16.3737,8.6682
18.1923,9.5312
20.1999,10.401
22.4011,11.249
24.7854,12.0346
27.3529,12.7193
30.0723,13.2531
32.8847,13.5815
35.713,13.6581
38.4669,13.4537
41.0476,12.963
43.3491,12.2069
45.2695,11.2308
46.7677,10.1019
47.8422,8.89561
48.5157,7.68527
48.8266,6.53428
48.8279,5.49248
48.5708,4.59505
48.0976,3.86314
47.4291,3.30442
46.5773,2.9143
45.5499,2.67793
44.3583,2.57325
43.0173,2.57387
41.5567,2.65466
40.0022,2.79103
38.3908,2.96443
36.7605,3.16198
35.1476,3.37608
33.5675,3.59659
32.0334,3.8163
30.5513,4.02818
29.1184,4.22322
27.7334,4.39497
26.3952,4.5387
25.1026,4.65127
23.863,4.73665
22.6798,4.79777
21.5553,4.83794
20.4959,4.86452
19.5026,4.88186
18.575,4.89324
17.7103,4.90057
16.9051,4.90502
16.1554,4.90735
15.4569,4.90779
14.8085,4.90943
14.2089,4.91537
13.6568,4.92818
13.1507,4.9507
12.6872,4.98297
12.2641,5.02651
11.8792,5.08262
11.5301,5.15219
11.2143,5.23589
10.9298,5.33474
10.6758,5.45132
10.4537,5.59192
10.2647,5.76227
10.1085,5.96686
9.98757,6.21499
9.90698,6.52197
9.87128,6.90445
9.88397,7.38004
9.94866,7.97003
10.0702,8.70298
10.2545,9.61649
10.5045,10.7486
10.8218,12.1421
11.2123,13.8625
11.6706,15.9509
