mean,variance
1.10566,0.0126012
1.19426,0.0142966
1.28995,0.0162144
1.39331,0.018383
1.50497,0.020834
1.62557,0.023603
1.75584,0.0267301
1.89655,0.0302598
2.04854,0.0342424
2.21272,0.0387339
2.39006,0.043797
2.58162,0.0495017
2.78854,0.0559265
3.01204,0.0631589
3.25347,0.0712964
3.51426,0.0804482
3.79595,0.0907356
4.10023,0.102294
4.42891,0.115275
4.78394,0.129847
5.16743,0.146196
5.58168,0.164533
6.02913,0.185089
6.51247,0.208123
7.03456,0.233925
7.59749,0.262741
8.20429,0.294893
8.85841,0.330752
9.56467,0.370831
10.3277,0.415662
11.1523,0.46582
12.0434,0.521941
13.0063,0.584731
14.0467,0.654984
15.1709,0.733595
16.3854,0.821574
17.6974,0.920072
19.1148,1.03041
20.6445,1.15387
22.2935,1.29182
24.0671,1.44545
25.9634,1.61462
27.9721,1.79749
30.0903,1.99323
32.3127,2.20038
34.6175,2.41363
36.9693,2.6239
39.3214,2.81884
41.6105,2.98161
43.7568,3.09186
45.6823,3.13176
47.3237,3.09142
48.643,2.9721
49.6279,2.78524
50.285,2.54851
50.6433,2.28346
50.732,2.00841
50.5879,1.73911
50.2518,1.48737
49.7635,1.2604
49.1589,1.06128
48.4663,0.88987
47.7095,0.744263
46.921,0.62222
46.1285,0.52046
45.3533,0.435409
44.6128,0.363807
43.9239,0.303011
43.2748,0.250886
42.6627,0.206186
42.0804,0.168108
41.4959,0.136055
40.8938,0.109557
40.2664,0.0881928
39.6037,0.0715559
38.9211,0.0593052
38.2224,0.0510736
37.5142,0.0464919
36.8241,0.0452407
36.1638,0.0470648
35.5367,0.0518081
34.9462,0.0594241
34.3949,0.0699629
33.8861,0.08359
33.423,0.100576
33.0047,0.121179
32.6275,0.145564
32.287,0.173799
31.9859,0.206263
31.7055,0.242057
31.4415,0.280852
31.188,0.322122
30.9477,0.365987
30.7275,0.413082
30.5363,0.464464
30.3772,0.520749
30.2742,0.58532
30.2386,0.660614
30.2756,0.748709
30.3824,0.850773
30.5567,0.968113
30.7948,1.10186
31.0939,1.25332
31.4539,1.42446
31.8747,1.61746
32.3622,1.83638
32.9283,2.08777
33.5847,2.3793
34.3502,2.72264
35.213,3.11956
