mean,variance
0.237435,0.0149416
0.28139,0.0201846
0.33351,0.0272532
0.395317,0.0367773
0.468618,0.0496016
0.555557,0.0668578
0.65868,0.0900609
0.78101,0.121237
0.926137,0.163092
1.09832,0.219236
1.30263,0.294482
1.54508,0.395235
1.8328,0.530007
2.17428,0.710098
2.5796,0.95048
3.06074,1.27096
3.63192,1.69771
4.31005,2.26521
5.11522,3.01883
6.0713,4.01812
7.20632,5.34068
8.55421,7.08846
10.1551,9.3942
12.0561,12.4293
14.3128,16.4145
16.9893,21.6303
20.1636,28.4379
23.9274,37.2971
28.3815,48.7679
33.6366,63.5227
39.8309,82.4062
47.1315,106.47
55.7314,136.987
65.861,175.51
77.8067,223.976
91.8967,284.679
108.523,360.368
128.122,454.152
151.218,569.671
178.434,711.127
210.443,882.97
247.875,1089.13
291.072,1331.17
340.177,1608.05
394.663,1912.88
453.144,2230.9
513.556,2540.71
573.176,2815.57
628.962,3027.67
678.217,3155.25
718.793,3186.2
749.703,3122.61
771.1,2979.2
783.69,2776.58
788.462,2536.65
786.55,2279.63
779.003,2021.77
766.738,1774.93
750.455,1546.62
730.743,1341.11
708.116,1160.2
683.123,1004.14
656.316,871.99
628.292,762.131
599.58,672.265
570.745,600.051
542.275,543.025
514.583,498.81
487.936,465.091
462.49,439.758
438.326,421
415.362,407
393.564,396.438
372.909,388.322
353.375,381.92
334.937,376.697
317.547,372.208
301.134,368.032
285.723,364.226
271.288,360.735
257.784,357.485
245.162,354.433
233.375,351.558
222.372,348.853
212.107,346.321
202.54,344.001
193.629,341.921
185.341,340.159
177.662,338.876
170.493,337.732
163.79,336.691
157.518,335.752
151.666,335.052
146.237,334.817
141.23,335.245
136.637,336.483
132.459,338.765
128.682,342.184
125.278,346.762
122.302,353.181
119.844,362.493
117.99,375.841
116.815,394.466
116.446,420.372
116.995,455.876
118.57,503.844
121.213,567.122
124.938,648.915
129.799,753.883
135.774,886.492
