mean,variance
0.981237,0.173898
1.11542,0.21571
1.26801,0.267432
1.44157,0.331369
1.63897,0.410351
1.86351,0.507844
2.11893,0.628093
2.40949,0.776285
2.74005,0.958754
3.11613,1.18322
3.54402,1.45909
4.03089,1.79778
4.58489,2.21315
5.21532,2.72196
5.93275,3.34449
6.74922,4.10518
7.67847,5.0334
8.73612,6.16442
9.93995,7.54042
11.3102,9.21169
12.8701,11.2381
14.6457,13.6904
16.6672,16.6523
18.9685,20.2221
21.5885,24.5147
24.5707,29.6626
27.9612,35.8132
31.8203,43.1469
36.2143,51.8678
41.2181,62.2058
46.9163,74.4182
53.4052,88.7899
60.7943,105.633
69.2083,125.284
78.7889,148.101
89.6974,174.456
102.117,204.727
116.256,239.288
132.352,278.497
150.673,322.688
171.519,372.147
195.169,427
221.865,487.165
251.938,552.611
285.681,623.242
323.289,698.858
364.905,779.368
410.537,864.841
459.876,955.19
512.287,1050.01
566.922,1148.65
622.45,1248.98
677.274,1347.29
729.56,1437.86
777.445,1513.68
819.443,1569.05
854.418,1600.35
881.479,1606.06
900.608,1590.48
912.276,1560.72
917.208,1524.22
916.243,1487.27
910.279,1454.33
900.205,1427.85
886.804,1408.31
870.757,1394.88
852.664,1386.03
833.084,1380.01
812.404,1374.9
790.938,1369.12
768.827,1361.36
746.16,1350.76
723.104,1336.81
699.837,1319.27
676.492,1298.08
653.233,1273.34
630.189,1245.3
607.571,1214.32
585.579,1180.89
564.301,1145.61
543.771,1109.11
524.001,1072.03
505.002,1034.94
486.787,998.365
469.361,962.785
452.717,928.607
436.809,896.103
421.582,865.416
406.973,836.559
392.925,809.459
379.397,784.007
366.349,760.053
353.754,737.446
341.616,716.158
329.953,696.245
318.805,677.903
308.168,661.149
298.021,645.919
288.331,632.065
279.075,619.493
270.239,608.143
261.805,597.936
253.748,588.751
246.073,580.663
238.786,573.773
231.901,568.264
225.423,564.277
219.354,561.925
213.69,561.299
208.42,562.437
