mean,variance
0.000396548,6.50809e-08
0.000501653,7.95966e-08
0.000616805,1.01659e-07
0.000747996,1.31832e-07
0.000899691,1.71928e-07
0.00107614,2.24719e-07
0.00128195,2.93991e-07
0.00152238,3.84751e-07
0.00180355,5.03553e-07
0.00213263,6.58933e-07
0.00251801,8.61986e-07
0.00296957,1.12711e-06
0.0034989,1.47294e-06
0.00411959,1.92362e-06
0.00484765,2.51028e-06
0.00570185,3.27309e-06
0.00670428,4.26374e-06
0.00788086,5.54859e-06
0.00926208,7.21276e-06
0.0108808,9.36166e-06
0.0127748,1.21275e-05
0.0149871,1.56748e-05
0.017569,2.02103e-05
0.0205809,2.59933e-05
0.024094,3.33483e-05
0.0281887,4.26739e-05
0.0329592,5.44636e-05
0.0385211,6.93375e-05
0.0450169,8.80799e-05
0.0526134,0.000111664
0.0615072,0.000141293
0.0719326,0.000178463
0.0841724,0.000225032
0.0985586,0.000283283
0.115469,0.000355971
0.135317,0.000446338
0.158583,0.000558268
0.185831,0.000696406
0.21771,0.000866307
0.254962,0.00107459
0.298434,0.00132918
0.349064,0.00163956
0.407827,0.00201695
0.475492,0.00247365
0.5523,0.00302148
0.637903,0.00367041
0.731474,0.0044274
0.831433,0.00529273
0.935551,0.00625705
1.04126,0.00730028
1.14626,0.00839524
1.24905,0.00951418
1.34903,0.0106343
1.44584,0.0117354
1.53967,0.0128039
1.63085,0.0138301
1.71977,0.0148072
1.80692,0.0157313
1.8925,0.0165974
1.9767,0.0174012
2.05942,0.0181364
2.14082,0.0188002
2.2208,0.0193881
2.29909,0.0198951
2.37563,0.0203188
2.45041,0.0206583
2.52342,0.0209137
2.59479,0.021087
2.66417,0.0211783
2.73164,0.0211913
2.79743,0.0211307
2.86178,0.0210025
2.92537,0.0208139
2.98869,0.0205715
3.05265,0.0202823
3.11811,0.0199523
3.18563,0.0195865
3.25553,0.0191895
3.32822,0.0187656
3.40412,0.0183194
3.48345,0.0178561
3.56632,0.0173818
3.65276,0.0169036
3.74275,0.0164302
3.83628,0.0159711
3.93334,0.0155378
4.03403,0.0151427
4.13858,0.0148002
4.24739,0.0145267
4.36064,0.0143417
4.47835,0.014268
4.60045,0.0143309
4.72671,0.0145587
4.85682,0.014982
4.99056,0.0156336
5.1277,0.0165491
5.26844,0.0177686
5.41324,0.0193387
5.56305,0.0213172
5.71899,0.0237749
5.88227,0.0267975
6.0541,0.030489
6.23564,0.034973
6.42807,0.0403977
6.63214,0.0469295
6.84775,0.0547378
7.07537,0.0640303
7.31563,0.0750497
7.56935,0.0880837
7.83741,0.103467
