mean,variance
0.0838006,0.000368105
0.0919912,0.000430447
0.100984,0.000503118
0.110856,0.000587783
0.121696,0.000686363
0.133597,0.000801076
0.146663,0.000934476
0.161009,0.00108951
0.176761,0.00126956
0.194056,0.00147851
0.213046,0.00172084
0.233897,0.00200165
0.256792,0.00232679
0.281931,0.00270297
0.309534,0.00313779
0.339845,0.00363997
0.373127,0.00421938
0.409674,0.00488725
0.449806,0.00565628
0.493875,0.00654084
0.542267,0.00755715
0.595408,0.00872342
0.653764,0.0100601
0.717846,0.0115902
0.788219,0.0133391
0.8655,0.0153353
0.950367,0.0176103
1.04357,0.0201988
1.14592,0.0231389
1.25832,0.0264724
1.38176,0.0302446
1.51732,0.0345046
1.66619,0.0393048
1.82969,0.0447012
2.00925,0.0507528
2.20644,0.0575215
2.423,0.065071
2.66082,0.073466
2.92201,0.0827709
3.20884,0.0930488
3.52385,0.104359
3.86979,0.116755
4.24575,0.130106
4.65122,0.144247
5.08269,0.158837
5.53458,0.173385
5.99865,0.187242
6.46563,0.199698
6.92418,0.209983
7.36629,0.217551
7.78125,0.221876
8.1612,0.222703
8.50049,0.220032
8.79642,0.214111
9.0506,0.205422
9.26452,0.194483
9.44101,0.181845
9.58317,0.168033
9.69448,0.153527
9.77903,0.138746
9.84094,0.124038
9.88241,0.109677
9.90834,0.0958849
9.92459,0.0828202
9.93727,0.0705875
9.95222,0.0592545
9.97478,0.0488727
10.0116,0.0394855
10.0586,0.0312218
10.1139,0.0241857
10.1714,0.0184925
10.2192,0.0142275
10.2516,0.0113885
10.2659,0.0099369
10.2585,0.00980784
10.2371,0.0109629
10.2062,0.0133837
10.1722,0.0170928
10.1465,0.0222285
10.134,0.0289474
10.1363,0.0374154
10.1528,0.0477895
10.1821,0.0602103
10.2225,0.0748139
10.2744,0.0918009
10.3372,0.111371
10.4106,0.133738
10.4941,0.159121
10.5901,0.187978
10.6917,0.220036
10.7974,0.255393
10.9086,0.294404
11.028,0.337661
11.1584,0.385893
11.303,0.440041
11.4629,0.500863
11.6505,0.5713
11.8737,0.654151
12.1395,0.752698
12.4516,0.870208
12.8112,1.01003
13.2183,1.17575
13.6731,1.37148
14.1742,1.60139
14.7207,1.87035
15.3106,2.18315
15.9463,2.54729
16.6328,2.97276
17.3766,3.47217
18.1857,4.06147
