mean,variance
0.00959001,5.17338e-06
0.0110121,6.57425e-06
0.012645,8.34964e-06
0.0145201,1.05979e-05
0.0166734,1.34428e-05
0.0191461,1.70396e-05
0.0219858,2.1583e-05
0.025247,2.73168e-05
0.0289924,3.45463e-05
0.0332939,4.36522e-05
0.0382343,5.51098e-05
0.0439084,6.95104e-05
0.0504255,8.7589e-05
0.057911,0.000110258
0.0665087,0.000138645
0.0763843,0.000174146
0.0877279,0.000218479
0.100758,0.00027376
0.115725,0.00034258
0.132918,0.000428111
0.152668,0.000534219
0.175356,0.000665602
0.201419,0.000827949
0.23136,0.00102812
0.265756,0.00127435
0.305271,0.00157648
0.350668,0.0019462
0.402822,0.00239732
0.462741,0.00294604
0.531582,0.00361121
0.610674,0.00441455
0.701544,0.00538089
0.80595,0.00653817
0.925907,0.00791743
1.06373,0.0095525
1.22209,0.0114794
1.40405,0.0137354
1.61311,0.0163572
1.85332,0.0193793
2.12777,0.02281
2.43878,0.0266257
2.78664,0.0307504
3.1697,0.0350525
3.58456,0.0393521
4.02423,0.0434135
4.47841,0.0469683
4.9366,0.049774
5.38743,0.0516357
5.81733,0.0524195
6.21574,0.0520975
6.575,0.0507429
6.89224,0.0485179
7.16775,0.0456397
7.40119,0.0423424
7.59372,0.0388606
7.74689,0.0354121
7.86262,0.032186
7.94137,0.0293332
7.98142,0.0269574
7.98055,0.025111
7.93992,0.0238069
7.8624,0.0230263
7.75231,0.0227283
7.61289,0.0228472
7.4485,0.0233097
7.26568,0.0240571
7.06798,0.0250145
6.8557,0.026078
6.62982,0.0271488
6.39259,0.0281492
6.14644,0.0290167
5.89345,0.0296987
5.63444,0.0301383
5.3706,0.0302971
5.1068,0.030215
4.84764,0.029947
4.59633,0.029539
4.35571,0.0290415
4.1278,0.0284998
3.91451,0.0279643
3.7185,0.0275086
3.54073,0.0271774
3.38111,0.0269975
3.23866,0.0269788
3.11263,0.0271383
3.00225,0.0274936
2.90623,0.0280486
2.82114,0.0287421
2.74535,0.0295564
2.67836,0.0305064
2.62036,0.0316284
2.57137,0.0329561
2.53146,0.0345293
2.50089,0.0363998
2.48208,0.0387238
2.47627,0.0416305
2.48414,0.0452483
2.50598,0.0497138
2.5423,0.055205
2.59364,0.0619404
2.66109,0.0702232
2.74577,0.0804281
2.84851,0.0929895
2.97005,0.108427
3.11092,0.127349
3.27159,0.150475
3.45285,0.178704
3.65558,0.213122
3.88119,0.255113
4.1314,0.306397
