mean,variance
0.000133281,4.12427e-10
0.000223442,3.81281e-10
0.000304533,4.6251e-10
0.000388371,6.02601e-10
0.000480847,7.95644e-10
0.000585631,1.04944e-09
0.0007057,1.3786e-09
0.000843995,1.80352e-09
0.00100372,2.35112e-09
0.00118853,3.05637e-09
0.00140263,3.96453e-09
0.0016509,5.13419e-09
0.001939,6.64122e-09
0.00227355,8.58399e-09
0.00266223,1.10903e-08
0.00311397,1.43267e-08
0.0036392,1.85104e-08
0.00425002,2.39259e-08
0.00496055,3.09466e-08
0.00578722,4.0065e-08
0.00674914,5.19324e-08
0.00786859,6.74142e-08
0.00917148,8.76652e-08
0.010688,1.14234e-07
0.0124533,1.49205e-07
0.0145026,1.95237e-07
0.0168705,2.5565e-07
0.0195954,3.34708e-07
0.0227207,4.37911e-07
0.0262955,5.72349e-07
0.0303825,7.47629e-07
0.0350602,9.76924e-07
0.0404253,1.27846e-06
0.0465941,1.67757e-06
0.0536972,2.20866e-06
0.0618816,2.91848e-06
0.0713125,3.87054e-06
0.0821749,5.15082e-06
0.0946823,6.87689e-06
0.109046,9.20063e-06
0.125449,1.23077e-05
0.144064,1.64233e-05
0.165039,2.18098e-05
0.188485,2.87561e-05
0.214475,3.7564e-05
0.243016,4.85116e-05
0.274148,6.18912e-05
0.307955,7.80225e-05
0.344586,9.72809e-05
0.384093,0.000119956
0.426537,0.000146313
0.471994,0.000176593
0.520565,0.000211028
0.572327,0.000249767
0.627358,0.000292899
0.685649,0.000340301
0.747413,0.000392118
0.812848,0.000448451
0.882128,0.000509326
0.955382,0.000574635
1.03272,0.000644189
1.11427,0.000717761
1.20019,0.000795179
1.29065,0.000876324
1.38589,0.000961248
1.48607,0.00104996
1.59133,0.0011425
1.7018,0.0012391
1.81766,0.00134039
1.93917,0.00144752
2.06655,0.00156214
2.20007,0.00168654
2.34009,0.00182406
2.48708,0.0019793
2.64149,0.00215802
2.80376,0.00236738
2.97427,0.00261615
3.1534,0.00291525
3.34157,0.00327816
3.53936,0.00372183
3.74747,0.0042671
3.9668,0.00493973
4.19798,0.00576977
4.4414,0.00679261
4.69732,0.00805003
4.96595,0.0095914
5.24735,0.0114746
5.54139,0.0137667
5.84777,0.0165451
6.16671,0.0199028
6.49877,0.02395
6.84469,0.0288154
7.20521,0.0346487
7.5811,0.0416228
7.97316,0.0499376
8.38256,0.0598281
8.81097,0.0715724
9.26131,0.0855136
9.7366,0.102056
10.2358,0.121583
10.7555,0.144474
11.291,0.171096
11.8366,0.201793
12.3857,0.236869
12.9291,0.276498
13.457,0.320722
13.9649,0.36972
14.4512,0.423743
14.916,0.483088
15.3598,0.548067
