mean,variance
0.00285707,3.24736e-07
0.00331974,4.18499e-07
0.00385562,5.39419e-07
0.00447658,6.95177e-07
0.00519637,8.95594e-07
0.00603092,1.1532e-06
0.00699868,1.48394e-06
0.00812109,1.90813e-06
0.00942299,2.4515e-06
0.0109332,3.14673e-06
0.0126851,4.0351e-06
0.0147176,5.16878e-06
0.0170757,6.61348e-06
0.0198116,8.45185e-06
0.0229859,1.07876e-05
0.0266689,1.37503e-05
0.0309423,1.75021e-05
0.0359009,2.22444e-05
0.0416544,2.82275e-05
0.0482614,3.56795e-05
0.0558165,4.48866e-05
0.0644501,5.62087e-05
0.0743258,7.00931e-05
0.0856407,8.70891e-05
0.0986251,0.000107862
0.113506,0.000133137
0.130606,0.000163871
0.150317,0.000201249
0.17309,0.00024669
0.199402,0.000301786
0.229788,0.000368338
0.264865,0.000448414
0.305456,0.00054466
0.352419,0.000659933
0.406784,0.000797597
0.469766,0.0009616
0.542744,0.00115647
0.627185,0.00138709
0.724741,0.00165905
0.837327,0.00197919
0.966794,0.00235485
1.11413,0.00279072
1.27992,0.00329015
1.46326,0.00385004
1.66153,0.00445766
1.87,0.00508637
2.0817,0.00569189
2.28795,0.00621505
2.47983,0.00659487
2.64805,0.00677402
2.78635,0.00673204
2.89151,0.00648864
2.96305,0.00609488
3.00264,0.00561778
3.01334,0.00512344
2.99924,0.0046668
2.96415,0.00428105
2.91183,0.0039822
2.84573,0.00377133
2.76895,0.0036395
2.68423,0.00357176
2.59382,0.00355073
2.49959,0.00355939
2.40339,0.00358268
2.30669,0.00360814
2.21073,0.00362639
2.1165,0.00363112
2.0248,0.00361886
1.93627,0.00358846
1.8513,0.00354077
1.76998,0.00347804
1.69162,0.00340331
1.61595,0.00331882
1.54289,0.00322636
1.47226,0.00312748
1.40388,0.00302339
1.33761,0.00291498
1.27345,0.00280306
1.21209,0.00268921
1.15392,0.00257538
1.09913,0.00246357
1.04792,0.00235593
1.00043,0.0022546
0.956738,0.00216176
0.916779,0.00207914
0.880382,0.00200804
0.847319,0.00194927
0.817339,0.00190321
0.790313,0.0018705
0.765629,0.00184912
0.742967,0.00183779
0.722089,0.00183541
0.702888,0.00184152
0.685338,0.00185626
0.669465,0.00188033
0.655179,0.00191364
0.642867,0.00196038
0.632281,0.00201956
0.623221,0.00209048
0.615746,0.00217503
0.610038,0.00227675
0.606257,0.00239957
0.604567,0.00254817
0.605096,0.00272755
0.608382,0.00294974
0.614757,0.00322605
0.624282,0.00356554
0.636935,0.0039775
0.652817,0.00447532
0.671247,0.00505724
