mean,variance
0.00759997,6.6509e-06
0.00870239,8.39361e-06
0.00996466,1.05873e-05
0.0114101,1.33464e-05
0.0130654,1.68138e-05
0.0149612,2.11675e-05
0.0171325,2.66293e-05
0.0196195,3.34746e-05
0.0224682,4.20454e-05
0.0257314,5.27655e-05
0.0294695,6.6159e-05
0.033752,8.28736e-05
0.0386582,0.000103707
0.0442792,0.000129642
0.0507194,0.000161882
0.0580986,0.000201903
0.0665539,0.000251508
0.0762426,0.000312891
0.0873453,0.000388719
0.100054,0.000482104
0.114597,0.000596831
0.131245,0.000737507
0.150313,0.000909683
0.172163,0.00112
0.197212,0.00137638
0.225932,0.00168807
0.258863,0.00206588
0.29662,0.00252234
0.339911,0.00307181
0.389546,0.00373066
0.446457,0.00451724
0.511711,0.00545184
0.586532,0.00655648
0.672325,0.00785446
0.770702,0.00936969
0.883514,0.0111255
1.01288,0.0131433
1.16124,0.01544
1.33138,0.018026
1.52652,0.0209008
1.75032,0.0240494
2.00604,0.0274237
2.2958,0.0309288
2.62078,0.034424
2.97848,0.0377027
3.36249,0.0405115
3.76305,0.0425916
4.16774,0.0437264
4.55995,0.0437726
4.92183,0.0426983
5.23704,0.0405944
5.49525,0.0376622
5.69164,0.034172
5.82557,0.0304153
5.89803,0.0266617
5.91393,0.0231339
5.8802,0.0199942
5.8045,0.0173429
5.69438,0.0152236
5.55685,0.0136341
5.39812,0.0125386
5.22388,0.0118805
5.03923,0.0115939
4.84841,0.0116103
4.65477,0.0118633
4.46104,0.0122925
4.26919,0.0128436
4.08054,0.0134677
3.89608,0.0141238
3.71653,0.0147777
3.54243,0.0154026
3.37412,0.0159777
3.21185,0.0164876
3.05576,0.0169217
2.90596,0.017275
2.76241,0.0175432
2.62507,0.0177268
2.49393,0.0178291
2.36903,0.0178585
2.25037,0.0178242
2.138,0.0177382
2.03195,0.0176137
1.93223,0.0174647
1.83862,0.0172976
1.75075,0.0171151
1.66809,0.0169138
1.59012,0.0166892
1.51629,0.0164357
1.44611,0.0161479
1.37905,0.0158181
1.31479,0.0154456
1.2531,0.0150326
1.19393,0.0145864
1.13727,0.014116
1.08313,0.0136304
1.03151,0.0131381
0.982501,0.0126488
0.936089,0.0121695
0.892258,0.0117054
0.850947,0.01126
0.81205,0.0108344
0.775399,0.0104272
0.740829,0.0100366
0.708194,0.0096616
0.677385,0.00930221
0.648311,0.0089588
0.620903,0.00863237
0.595105,0.00832401
0.570891,0.00803571
0.548228,0.00776897
