mean,variance
0.00592012,1.67142e-06
0.00672483,2.08073e-06
0.00763862,2.5891e-06
0.00867636,3.22004e-06
0.00985493,4.00251e-06
0.0111935,4.97213e-06
0.0127139,6.17265e-06
0.0144408,7.65781e-06
0.0164024,9.49345e-06
0.0186306,1.17602e-05
0.0211617,1.45566e-05
0.024037,1.80028e-05
0.0273032,2.22456e-05
0.0310136,2.74631e-05
0.0352287,3.38719e-05
0.0400173,4.17345e-05
0.0454574,5.13682e-05
0.0516378,6.31561e-05
0.0586593,7.75595e-05
0.0665538,9.49408e-05
0.0754065,0.000115795
0.0853342,0.000140741
0.0964799,0.000170531
0.109021,0.000206098
0.123158,0.000248543
0.1391,0.000299109
0.157106,0.00035931
0.177498,0.000431023
0.200651,0.000516495
0.226972,0.000618299
0.256904,0.000739318
0.290952,0.000882848
0.329671,0.00105253
0.373657,0.00125225
0.423525,0.00148592
0.479992,0.00175774
0.543873,0.00207208
0.616087,0.00243333
0.697645,0.00284565
0.789665,0.00331275
0.893395,0.00383768
1.01008,0.00442174
1.14098,0.00506416
1.28778,0.00576384
1.45251,0.00651891
1.6345,0.00731158
1.8308,0.00810894
2.03631,0.00886554
2.24418,0.00952875
2.44562,0.0100433
2.63033,0.0103582
2.78736,0.0104347
2.91116,0.0102702
3.00046,0.00989191
3.05666,0.00934499
3.0827,0.00868136
3.08262,0.00795227
3.06073,0.0072023
3.02118,0.00646677
2.96747,0.00577093
2.90255,0.00513124
2.82891,0.00455701
2.74862,0.00405197
2.6635,0.00361586
2.57516,0.00324571
2.48495,0.00293677
2.39405,0.00268327
2.3035,0.00247916
2.21409,0.00231829
2.12655,0.00219487
2.04134,0.00210342
1.95882,0.00203898
1.87923,0.00199704
1.80265,0.00197339
1.72886,0.00196354
1.65756,0.00196309
1.5884,0.00196764
1.52106,0.00197329
1.4553,0.00197661
1.39092,0.00197481
1.32785,0.00196593
1.26627,0.00194974
1.20636,0.00192644
1.14828,0.00189659
1.09219,0.00186097
1.03817,0.0018203
0.986284,0.00177527
0.936561,0.00172665
0.888985,0.001675
0.843559,0.00162108
0.80031,0.00156585
0.759257,0.00151024
0.720484,0.00145559
0.68411,0.00140349
0.650272,0.00135555
0.619078,0.00131325
0.590622,0.00127795
0.564967,0.00125088
0.542151,0.00123317
0.522125,0.00122547
0.504771,0.00122805
0.489942,0.0012411
0.477487,0.00126487
0.467262,0.00129973
0.459126,0.00134617
0.452938,0.0014047
0.448594,0.00147627
0.446028,0.00156226
0.445212,0.00166465
0.446136,0.00178582
