mean,variance
0.0030809,1.20684e-05
0.00362955,1.5772e-05
0.00426607,2.06667e-05
0.00500988,2.71053e-05
0.00588139,3.55607e-05
0.00690378,4.66564e-05
0.00810403,6.12092e-05
0.0095139,8.02873e-05
0.0111708,0.000105286
0.0131188,0.000138024
0.01541,0.000180873
0.0181059,0.000236921
0.0212792,0.000310183
0.0250158,0.000405874
0.0294172,0.000530755
0.0346035,0.000693588
0.040717,0.000905697
0.0479257,0.0011817
0.0564289,0.00154043
0.0664624,0.00200608
0.078294,0.00260912
0.0922271,0.00338751
0.108643,0.00439041
0.127995,0.00568028
0.15082,0.00733603
0.177753,0.00945699
0.209554,0.0121683
0.24716,0.0156292
0.291689,0.0200395
0.344443,0.0256448
0.406958,0.0327455
0.481059,0.0417074
0.568913,0.0529716
0.6731,0.0670653
0.796662,0.084606
0.943015,0.106283
1.11623,0.132875
1.32102,0.165223
1.56274,0.204195
1.8475,0.250646
2.18222,0.305358
2.57387,0.368862
3.0276,0.441089
3.54802,0.52145
4.13535,0.608364
4.78498,0.699231
5.48693,0.790538
6.22581,0.87807
6.98186,0.957296
7.73632,1.02431
8.46896,1.07575
9.16566,1.1099
9.81854,1.12679
10.424,1.12773
10.9816,1.11488
11.4929,1.09075
11.9605,1.05789
12.3867,1.01853
12.7736,0.974593
13.1235,0.927646
13.4377,0.878901
13.7176,0.829326
13.965,0.779711
14.1821,0.730706
14.372,0.682857
14.5389,0.636585
14.6871,0.592174
14.8177,0.549609
14.928,0.50873
15.0167,0.469524
15.0846,0.432066
15.1338,0.396448
15.1672,0.362725
15.1868,0.330916
15.1978,0.300975
15.208,0.272746
15.2216,0.246121
15.24,0.221114
15.2628,0.19785
15.2882,0.176526
15.3137,0.157367
15.3364,0.140557
15.3545,0.126224
15.3673,0.114432
15.3741,0.105226
15.3751,0.0986303
15.3716,0.0946632
15.3657,0.0933624
15.3576,0.0947942
15.3464,0.0990024
15.3306,0.10598
15.3084,0.115661
15.278,0.127925
15.2373,0.142591
15.1848,0.15945
15.1213,0.178388
15.0493,0.199426
14.9728,0.222703
14.8964,0.248477
14.8236,0.277011
14.757,0.308591
14.6984,0.343505
14.649,0.382062
14.6089,0.4245
14.5791,0.471233
14.5604,0.522699
14.5557,0.579802
14.5685,0.643779
14.6028,0.716298
14.6627,0.799476
