mean,variance
0.18581,0.00405795
0.207348,0.00484047
0.231394,0.0057692
0.258243,0.00687031
0.288221,0.00817426
0.321695,0.00971657
0.359076,0.0115385
0.40082,0.0136877
0.44744,0.0162194
0.499508,0.0191971
0.557663,0.0226937
0.62262,0.0267922
0.695179,0.0315874
0.776232,0.0371866
0.866779,0.0437105
0.967936,0.0512942
1.08095,0.0600881
1.20722,0.0702578
1.34831,0.0819843
1.50596,0.0954631
1.68213,0.110903
1.87899,0.128522
2.09899,0.148545
2.34485,0.171196
2.61963,0.196692
2.92674,0.22523
3.26999,0.256972
3.65366,0.29203
4.08251,0.330443
4.56176,0.372144
5.09744,0.416944
5.69624,0.46449
6.36562,0.514234
7.11375,0.565396
7.95002,0.616941
8.8849,0.667571
9.93002,0.715746
11.0984,0.759743
12.4045,0.797804
13.8615,0.828413
15.4745,0.850659
17.2327,0.864374
19.1084,0.869773
21.067,0.866969
23.0645,0.85582
25.0482,0.835497
26.9555,0.803997
28.7234,0.758516
30.3013,0.697282
31.6569,0.621371
32.7667,0.53439
33.6172,0.442324
34.2019,0.35262
34.5287,0.273928
34.62,0.214562
34.5046,0.180467
34.2116,0.174339
33.7685,0.195843
33.2013,0.242241
32.5337,0.309151
31.7883,0.391202
30.9852,0.48274
30.1406,0.578515
29.267,0.674145
28.3753,0.766033
27.4761,0.851323
26.5795,0.92788
25.6918,0.994715
24.8138,1.05199
23.947,1.09999
23.0927,1.13918
22.2512,1.17014
21.4239,1.19336
20.6116,1.20937
19.8161,1.21864
19.0425,1.22164
18.295,1.2191
17.5776,1.21202
16.893,1.20157
16.2422,1.18902
15.6249,1.17555
15.0408,1.16226
14.4885,1.15004
13.9661,1.13954
13.4715,1.13117
13.0036,1.12531
12.5613,1.12225
12.1435,1.12223
11.7498,1.12556
11.3771,1.13176
11.0236,1.14049
10.6884,1.15167
10.3715,1.16554
10.0731,1.18252
9.79381,1.20323
9.53373,1.22821
9.29493,1.25911
9.0785,1.2973
8.88441,1.3437
8.71173,1.39878
8.55929,1.46287
8.42513,1.53572
8.30715,1.61682
8.2036,1.70579
8.11373,1.80295
8.03731,1.90908
7.9753,2.02618
7.92904,2.15687
7.90061,2.30497
7.89242,2.47522
