mean,variance
0.000175801,2.03994e-09
0.000281251,2.55818e-09
0.000375685,3.61948e-09
0.000472537,5.02873e-09
0.000578504,6.84214e-09
0.000697702,9.1832e-09
0.000833396,1.22185e-08
0.00098875,1.6165e-08
0.00116717,2.13057e-08
0.00137249,2.80112e-08
0.00160912,3.67678e-08
0.00188211,4.82143e-08
0.00219734,6.31898e-08
0.00256159,8.27968e-08
0.00298273,1.08484e-07
0.00346985,1.42157e-07
0.0040335,1.86318e-07
0.0046859,2.44257e-07
0.0054412,3.203e-07
0.00631007,4.19167e-07
0.00730644,5.47026e-07
0.00844705,7.11831e-07
0.00975226,9.23977e-07
0.0112488,1.19773e-06
0.0129701,1.55255e-06
0.0149555,2.0145e-06
0.0172536,2.61928e-06
0.0199187,3.41382e-06
0.023011,4.45897e-06
0.026599,5.83438e-06
0.0307613,7.64466e-06
0.0355891,1.00274e-05
0.041188,1.31637e-05
0.0476802,1.72918e-05
0.0552075,2.27255e-05
0.063934,2.9878e-05
0.0740503,3.92934e-05
0.085777,5.16885e-05
0.0993524,6.79741e-05
0.115036,8.93027e-05
0.133127,0.000117163
0.153967,0.000153469
0.177945,0.000200688
0.205521,0.000262035
0.237201,0.000341602
0.273561,0.000444622
0.315217,0.000577597
0.362801,0.000748382
0.416883,0.000965777
0.478003,0.00123967
0.54685,0.00158256
0.624459,0.00201211
0.712358,0.0025547
0.812657,0.00324958
0.92611,0.00412619
1.05282,0.00520677
1.19251,0.00650628
1.34435,0.00802516
1.50653,0.00973611
1.67586,0.0115678
1.84773,0.0133961
2.02018,0.0151495
2.19251,0.0167901
2.36465,0.0183043
2.53683,0.0196921
2.70928,0.0209595
2.88217,0.0221135
3.05585,0.0231697
3.23014,0.0241285
3.40523,0.0250032
3.58124,0.0258068
3.75793,0.0265404
3.93538,0.0272171
4.11408,0.0278643
4.29437,0.0285035
4.47729,0.0291791
4.66346,0.0299193
4.85335,0.0307467
5.04791,0.0317003
5.24771,0.0328056
5.4528,0.0340723
5.66309,0.0355079
5.87885,0.0371345
6.10094,0.0389976
6.33051,0.0411544
6.56794,0.0436384
6.81408,0.0465041
7.0701,0.0498247
7.33786,0.053705
7.61936,0.0582676
7.91757,0.0636887
8.23582,0.0701842
8.57973,0.0781084
8.95489,0.0878766
9.36734,0.10001
9.8231,0.115145
10.3277,0.134022
10.8858,0.157486
11.5018,0.18651
12.1787,0.222129
12.9196,0.265533
13.7276,0.318039
14.6052,0.381108
15.5568,0.456565
16.5872,0.546545
17.7016,0.653543
18.9062,0.780579
20.2079,0.931212
21.6147,1.10979
23.1358,1.32156
