iter,D_sim
0,0.000119733
0,0.000204936
0,0.000284597
0,0.000370948
0,0.000470305
0,0.00058714
0,0.000725666
0,0.000890503
0,0.00108703
0,0.00132163
0,0.00160195
0,0.00193711
0,0.00233808
0,0.00281797
0,0.00339252
0,0.00408059
0,0.00490479
0,0.00589221
0,0.00707535
0,0.00849264
0,0.0101883
0,0.0122148
0,0.0146261
0,0.0174721
0,0.0208132
0,0.0247228
0,0.02929
0,0.0346205
0,0.0408352
0,0.0481054
0,0.0566789
0,0.0668427
0,0.0789203
0,0.0932952
0,0.110437
0,0.130914
0,0.155396
0,0.184676
0,0.21968
0,0.261498
0,0.311352
0,0.370566
0,0.44053
0,0.522653
0,0.61836
0,0.728861
0,0.855104
0,0.997691
0,1.15707
0,1.33241
0,1.52207
0,1.72344
0,1.93349
0,2.14872
0,2.3656
0,2.57943
0,2.78719
0,2.98742
0,3.17951
0,3.36338
0,3.53937
0,3.7081
0,3.87008
0,4.02573
0,4.17555
0,4.32016
0,4.46023
0,4.5965
0,4.72882
0,4.85794
0,4.98442
0,5.10869
0,5.23092
0,5.35111
0,5.46916
0,5.58587
0,5.70101
0,5.81442
0,5.92617
0,6.03649
0,6.1458
0,6.25446
0,6.36279
0,6.47097
0,6.57916
0,6.68754
0,6.7965
0,6.90627
0,7.01727
0,7.12892
0,7.24203
0,7.35734
0,7.47534
0,7.59631
0,7.7205
0,7.84806
0,7.98027
0,8.11692
0,8.25789
0,8.40376
0,8.5553
0,8.71361
0,8.87997
0,9.05582
0,9.24206
0,9.43937
0,9.64864
0,9.87125
0,10.1084
0,10.3613
1,0.000120223
1,0.000205751
1,0.00028567
1,0.000372257
1,0.000471845
1,0.000588916
1,0.000727682
1,0.00089276
1,0.00108952
1,0.00132435
1,0.00160486
1,0.00194018
1,0.00234124
1,0.00282112
1,0.00339553
1,0.00408326
1,0.00490686
1,0.00589334
1,0.00707507
1,0.00849035
1,0.0101833
1,0.0122059
1,0.0146121
1,0.0174515
1,0.0207839
1,0.0246827
1,0.0292361
1,0.0345493
1,0.0407425
1,0.047986
1,0.056526
1,0.066648
1,0.0786733
1,0.0929829
1,0.110043
1,0.130418
1,0.154773
1,0.183895
1,0.218702
1,0.260275
1,0.309826
1,0.368668
1,0.438176
1,0.519746
1,0.614787
1,0.724496
1,0.849806
1,0.991308
1,1.14944
1,1.32337
1,1.51147
1,1.71114
1,1.91938
1,2.1327
1,2.34762
1,2.55947
1,2.76525
1,2.96353
1,3.15371
1,3.3357
1,3.50985
1,3.67678
1,3.83699
1,3.9909
1,4.13901
1,4.28194
1,4.42034
1,4.55497
1,4.68567
1,4.81319
1,4.93807
1,5.06075
1,5.1814
1,5.30002
1,5.41652
1,5.53167
1,5.64525
1,5.75712
1,5.86733
1,5.97612
1,6.08391
1,6.19105
1,6.29785
1,6.4045
1,6.51114
1,6.61797
1,6.72537
1,6.83357
1,6.94297
1,7.05301
1,7.1645
1,7.27815
1,7.39446
1,7.5137
1,7.63612
1,7.76186
1,7.8922
1,8.02692
1,8.16591
1,8.30973
1,8.45915
1,8.61525
1,8.77931
1,8.95274
1,9.13643
1,9.33104
1,9.53748
1,9.75708
1,9.99103
1,10.2405
2,0.000121137
2,0.000207269
2,0.000287692
2,0.000374776
2,0.000474896
2,0.000592552
2,0.000731972
2,0.000897786
2,0.00109538
2,0.00133114
2,0.00161271
2,0.00194921
2,0.00235159
2,0.00283296
2,0.00340903
2,0.0040986
2,0.00492422
2,0.00591292
2,0.00709706
2,0.00851494
2,0.0102106
2,0.0122361
2,0.0146452
2,0.0174874
2,0.0208225
2,0.0247235
2,0.0292786
2,0.0345927
2,0.0407858
2,0.0480277
2,0.0565644
2,0.0666804
2,0.0786966
2,0.0929926
2,0.110033
2,0.130382
