iter,D_sim
0,0.101352
0,0.115439
0,0.131484
0,0.149759
0,0.170573
0,0.194281
0,0.221283
0,0.252038
0,0.287068
0,0.326966
0,0.37241
0,0.424169
0,0.483121
0,0.550266
0,0.626744
0,0.713849
0,0.81306
0,0.926058
0,1.05476
0,1.20135
0,1.3683
0,1.55846
0,1.77504
0,2.02172
0,2.30267
0,2.62266
0,2.9871
0,3.40218
0,3.87492
0,4.41333
0,5.02652
0,5.72488
0,6.52022
0,7.426
0,8.45752
0,9.63223
0,10.97
0,12.4933
0,14.228
0,16.2033
0,18.4525
0,21.0134
0,23.9184
0,27.1971
0,30.8686
0,34.9338
0,39.3705
0,44.1417
0,49.1959
0,54.4643
0,59.8711
0,65.3511
0,70.8443
0,76.2949
0,81.6621
0,86.9139
0,92.0268
0,96.9781
0,101.763
0,106.393
0,110.886
0,115.264
0,119.549
0,123.751
0,127.89
0,131.979
0,136.035
0,140.1
0,144.15
0,148.186
0,152.179
0,156.101
0,159.954
0,163.745
0,167.467
0,171.181
0,174.923
0,178.767
0,182.784
0,187.008
0,191.453
0,196.125
0,201.027
0,206.172
0,211.578
0,217.256
0,223.229
0,229.525
0,236.168
0,243.193
0,250.625
0,258.51
0,266.885
0,275.792
0,285.281
0,295.407
0,306.212
0,317.75
0,330.101
0,343.312
0,357.417
0,372.462
0,388.506
0,405.623
0,423.892
0,443.39
0,464.091
0,486.101
0,509.598
0,534.781
1,0.0967626
1,0.110324
1,0.125786
1,0.143415
1,0.163515
1,0.186432
1,0.21256
1,0.24235
1,0.276315
1,0.31504
1,0.359193
1,0.409533
1,0.466927
1,0.532365
1,0.606974
1,0.692038
1,0.789023
1,0.899598
1,1.02567
1,1.16941
1,1.33329
1,1.52013
1,1.73315
1,1.97603
1,2.25293
1,2.56863
1,2.92855
1,3.3389
1,3.80674
1,4.34011
1,4.94819
1,5.64143
1,6.43176
1,7.33274
1,8.35987
1,9.53077
1,10.8655
1,12.3871
1,14.1215
1,16.0985
1,18.3519
1,20.9203
1,23.8365
1,27.1303
1,30.8206
1,34.9076
1,39.3675
1,44.1615
1,49.2361
1,54.5201
1,59.9355
1,65.4159
1,70.9008
1,76.334
1,81.6754
1,86.8941
1,91.968
1,96.8755
1,101.614
1,106.197
1,110.647
1,114.985
1,119.239
1,123.418
1,127.544
1,131.631
1,135.697
1,139.786
1,143.873
1,147.959
1,152.01
1,155.999
1,159.926
1,163.801
1,167.614
1,171.434
1,175.298
1,179.284
1,183.47
1,187.889
1,192.557
1,197.476
1,202.651
1,208.093
1,213.822
1,219.849
1,226.198
1,232.9
1,239.979
1,247.473
1,255.411
1,263.84
1,272.802
1,282.341
1,292.511
1,303.373
1,314.972
1,327.366
1,340.643
1,354.854
1,370.035
1,386.234
1,403.519
1,421.969
1,441.67
1,462.709
1,485.052
1,508.818
1,534.205
1,561.433
2,0.0772638
2,0.0885285
2,0.101435
2,0.116224
2,0.133169
2,0.152584
2,0.17483
2,0.200319
2,0.229524
2,0.262986
2,0.301328
2,0.345259
2,0.395594
2,0.453268
2,0.51935
2,0.595066
2,0.68182
2,0.781221
2,0.895113
2,1.02561
2,1.17513
2,1.34644
2,1.54273
2,1.76762
2,2.0253
2,2.32054
2,2.65882
2,3.04639
2,3.49045
2,3.99922
2,4.58214
2,5.24999
2,6.01515
2,6.89179
2,7.89612
2,9.04672
2,10.3649
2,11.875
2,13.6049
2,15.5865
2,17.8566
2,20.4568
2,23.422
2,26.784
2,30.5615
2,34.7518
2,39.325
2,44.2346
2,49.4186
2,54.7953
2,60.277
2,65.792
2,71.2768
2,76.6734
2,81.9438
2,87.0611
2,92.008
2,96.7672
2,101.344
2,105.762
2,110.054
2,114.252
2,118.389
2,122.479
2,126.548
2,130.615
2,134.698
2,138.853
2,143.042
2,147.267
2,151.481
2,155.648
2,159.771
2,163.862
2,167.91
2,172.005
2,176.193
2,180.575
2,185.246
2,190.244
2,195.579
2,201.247
2,207.249
2,213.596
2,220.31
2,227.403
2,234.905
2,242.853
2,251.279
2,260.23
2,269.741
2,279.876
2,290.686
2,302.229
2,314.573
2,327.8
2,341.964
2,357.143
2,373.452
2,390.955
2,409.697
2,429.738
2,451.169
2,474.095
2,498.634
2,524.901
2,552.837
2,582.608
2,614.497
2,648.812
3,0.11341
3,0.128883
3,0.146467
3,0.166451
3,0.18916
3,0.214968
3,0.244297
3,0.277627
3,0.315504
3,0.358548
3,0.407465
3,0.463056
3,0.52623
3,0.598023
3,0.679609
3,0.772326
3,0.877691
3,0.997429
3,1.1335
3,1.28814
3,1.46386
3,1.66356
3,1.8905
3,2.14838
3,2.44145
3,2.77448
3,3.15293
3,3.58298
3,4.07168
3,4.62702
3,5.25807
3,5.97514
3,6.78996
3,7.71582
3,8.76785
3,9.9632
3,11.3214
3,12.8645
3,14.6178
3,16.6097
3,18.8727
3,21.4435
3,24.3536
3,27.6319
3,31.297
3,35.3502
3,39.7706
3,44.5231
3,49.5582
3,54.81
3,60.2056
3,65.6815
3,71.179
3,76.643
3,82.0326
3,87.3152
3,92.466
3,97.4616
3,102.295
3,106.974
3,111.516
3,115.936
3,120.257
3,124.486
3,128.64
3,132.733
3,136.779
3,140.817
3,144.825
3,148.805
3,152.73
3,156.576
3,160.343
3,164.038
3,167.653
3,171.246
3,174.848
3,178.526
3,182.344
3,186.336
3,190.516
3,194.89
3,199.461
3,204.244
3,209.253
3,214.501
3,220.008
3,225.8
3,231.897
3,238.332
3,245.129
3,252.326
3,259.958
3,268.062
3,276.682
3,285.868
3,295.656
3,306.095
3,317.255
3,329.177
3,341.892
3,355.44
3,369.874
3,385.256
3,401.657
3,419.143
3,437.693
3,457.397
3,478.409
3,500.898
4,0.0948272
4,0.108146
4,0.123335
4,0.140658
4,0.160413
4,0.182943
4,0.208638
4,0.23794
4,0.271359
4,0.30947
4,0.352935
4,0.402503
4,0.459033
4,0.523502
4,0.597025
4,0.680873
4,0.776497
4,0.88555
4,1.00992
4,1.15175
4,1.3135
4,1.49796
4,1.70833
4,1.94823
4,2.22182
4,2.53382
4,2.88963
4,3.29539
4,3.75812
4,4.2858
4,4.88755
4,5.57375
4,6.35626
4,7.24857
4,8.26606
4,9.42629
4,10.7492
4,12.2577
4,13.9777
4,15.9387
4,18.1745
4,20.7234
4,23.6185
4,26.8898
4,30.5569
4,34.621
4,39.0599
4,43.8364
4,48.8988
4,54.1775
4,59.596
4,65.0884
4,70.5947
4,76.0585
4,81.439
4,86.7044
4,91.8314
4,96.7974
4,101.598
4,106.246
4,110.761
4,115.163
4,119.478
4,123.715
4,127.895
4,132.033
4,136.143
4,140.27
4,144.39
4,148.503
4,152.578
4,156.587
4,160.531
4,164.418
4,168.24
4,172.062
4,175.921
4,179.893
4,184.052
4,188.433
4,193.052
4,197.912
4,203.018
4,208.382
4,214.024
4,219.955
4,226.199
4,232.786
4,239.741
4,247.099
4,254.89
4,263.16
4,271.95
4,281.303
4,291.271
4,301.916
4,313.279
4,325.42
4,338.423
4,352.338
4,367.203
4,383.064
4,399.988
4,418.05
4,437.338
4,457.934
4,479.81
4,503.079
4,527.933
4,554.584
5,0.0917732
5,0.104756
5,0.119575
5,0.136491
5,0.155799
5,0.177839
5,0.202996
5,0.231712
5,0.26449
5,0.301905
5,0.344613
5,0.393362
5,0.449007
5,0.512523
5,0.585023
5,0.667779
5,0.762241
5,0.870064
5,0.993138
5,1.13362
5,1.29397
5,1.47701
5,1.68593
5,1.9244
5,2.19659
5,2.50728
5,2.8619
5,3.26668
5,3.72868
5,4.25602
5,4.85791
5,5.54489
5,6.32898
5,7.22389
5,8.24526
5,9.41095
5,10.7413
5,12.2596
5,13.9923
5,15.9697
5,18.2261
5,20.8009
5,23.7274
5,27.0356
5,30.7445
5,34.8534
5,39.3369
5,44.1542
5,49.2496
5,54.5492
5,59.9724
5,65.4512
5,70.9243
5,76.3347
5,81.6425
5,86.8178
5,91.8394
