iter,D_sim
0,0.00435265
0,0.00503451
0,0.0058225
0,0.00673325
0,0.00778597
0,0.00900287
0,0.0104096
0,0.0120359
0,0.0139161
0,0.0160897
0,0.0186027
0,0.021508
0,0.024867
0,0.0287504
0,0.0332403
0,0.0384312
0,0.0444327
0,0.0513714
0,0.0593935
0,0.0686684
0,0.0793916
0,0.0917744
0,0.106061
0,0.122538
0,0.141525
0,0.163403
0,0.188685
0,0.217934
0,0.251776
0,0.290931
0,0.336225
0,0.388613
0,0.449199
0,0.519262
0,0.600277
0,0.693953
0,0.802264
0,0.927493
0,1.07219
0,1.23907
0,1.4312
0,1.65198
0,1.90446
0,2.19146
0,2.51458
0,2.87429
0,3.26821
0,3.69064
0,4.13082
0,4.57442
0,5.00813
0,5.42051
0,5.80236
0,6.14943
0,6.45907
0,6.73151
0,6.96921
0,7.17559
0,7.35525
0,7.51284
0,7.65131
0,7.77451
0,7.88618
0,7.98998
0,8.0888
0,8.18413
0,8.27671
0,8.36823
0,8.45431
0,8.53043
0,8.59314
0,8.64172
0,8.67683
0,8.70002
0,8.71203
0,8.71965
0,8.72951
0,8.74627
0,8.77168
0,8.80628
0,8.85003
0,8.9023
0,8.96199
0,9.02841
0,9.10142
0,9.18089
0,9.26667
0,9.35898
0,9.46098
0,9.5677
0,9.67875
0,9.79509
0,9.91921
0,10.0543
0,10.2022
0,10.3621
0,10.542
0,10.7441
0,10.9678
0,11.209
0,11.4624
0,11.7237
0,11.989
0,12.2554
0,12.5176
0,12.7706
0,13.011
0,13.2361
0,13.4443
0,13.6279
1,0.00434087
1,0.00502096
1,0.00580688
1,0.00671522
1,0.00776514
1,0.00897879
1,0.0103818
1,0.0120037
1,0.0138788
1,0.0160466
1,0.0185527
1,0.0214502
1,0.0248
1,0.0286729
1,0.0331505
1,0.0383273
1,0.0443124
1,0.051232
1,0.0592322
1,0.0684815
1,0.0791752
1,0.0915239
1,0.105771
1,0.122203
1,0.141138
1,0.162956
1,0.188169
1,0.217337
1,0.251086
1,0.290132
1,0.3353
1,0.387541
1,0.447959
1,0.517825
1,0.598613
1,0.692026
1,0.800032
1,0.924909
1,1.0692
1,1.23561
1,1.4272
1,1.64736
1,1.89915
1,2.18537
1,2.50764
1,2.86645
1,3.25947
1,3.68102
1,4.12045
1,4.56353
1,4.99702
1,5.40955
1,5.79195
1,6.13993
1,6.45086
1,6.72489
1,6.96448
1,7.17294
1,7.35487
1,7.51483
1,7.65577
1,7.7815
1,7.89573
1,8.00211
1,8.10352
1,8.20145
1,8.29663
1,8.39076
1,8.47947
1,8.55825
1,8.62365
1,8.67496
1,8.7128
1,8.73873
1,8.75346
1,8.76378
1,8.77631
1,8.79571
1,8.82376
1,8.861
1,8.90739
1,8.96234
1,9.02474
1,9.09391
1,9.16974
1,9.25207
1,9.34079
1,9.43611
1,9.54122
1,9.65111
1,9.76544
1,9.88514
1,10.0127
1,10.1514
1,10.3031
1,10.4669
1,10.6508
1,10.8572
1,11.0855
1,11.3315
1,11.59
1,11.8565
1,12.1272
1,12.3993
1,12.6673
1,12.9262
1,13.1725
1,13.4036
1,13.6177
1,13.8072
2,0.00428946
2,0.00496151
2,0.00573802
2,0.00663538
2,0.00767251
2,0.00887125
2,0.0102569
2,0.0118586
2,0.0137101
2,0.0158505
2,0.0183248
2,0.0211852
2,0.024492
2,0.0283148
2,0.0327342
2,0.0378432
2,0.0437496
2,0.0505777
2,0.0584715
2,0.0675972
2,0.0781471
2,0.0903292
2,0.104384
2,0.120592
2,0.139269
2,0.160789
2,0.185655
2,0.214418
2,0.247696
2,0.286194
2,0.330724
2,0.382223
2,0.441778
2,0.510642
2,0.590265
2,0.682324
2,0.788758
2,0.911807
2,1.05398
2,1.21793
2,1.4067
2,1.62362
2,1.8717
2,2.15374
2,2.47137
2,2.82514
2,3.21282
2,3.62897
2,4.06326
2,4.50185
2,4.93185
2,5.34208
2,5.72353
2,6.0719
2,6.38447
2,6.66126
2,6.90453
2,7.11743
2,7.30432
2,7.46962
2,7.61614
2,7.7476
2,7.86759
2,7.9797
2,8.08675
2,8.19023
2,8.29086
2,8.39035
2,8.48444
2,8.56874
2,8.63984
2,8.697
2,8.74084
2,8.77282
2,8.79365
2,8.80997
2,8.82829
2,8.85325
2,8.88662
2,8.929
2,8.9804
2,9.04027
2,9.10757
2,9.18166
2,9.26243
2,9.34977
2,9.44357
2,9.54407
2,9.65443
2,9.76973
2,9.88963
2,10.0151
2,10.1485
2,10.2932
2,10.4511
2,10.6212
2,10.8117
2,11.0248
2,11.2601
2,11.5135
2,11.7797
2,12.0544
2,12.3339
2,12.6151
2,12.8927
2,13.1617
2,13.4185
2,13.6604
2,13.8857
2,14.0864
3,0.00435165
3,0.00503322
3,0.00582084
3,0.00673114
3,0.00778332
3,0.00899956
3,0.0104055
3,0.0120308
3,0.0139098
3,0.016082
3,0.0185933
3,0.0214965
3,0.024853
3,0.0287335
3,0.0332198
3,0.0384065
3,0.0444029
3,0.0513355
3,0.0593504
3,0.0686166
3,0.0793295
3,0.0917002
3,0.105973
3,0.122433
3,0.1414
3,0.163255
3,0.18851
3,0.217726
3,0.25153
3,0.290639
3,0.335879
3,0.388203
3,0.448713
3,0.518686
3,0.599595
3,0.693145
3,0.801308
3,0.926363
3,1.07086
3,1.23749
3,1.42935
3,1.6498
3,1.90192
3,2.18851
3,2.5112
3,2.87046
3,3.26397
3,3.68607
3,4.12609
3,4.5698
3,5.00397
3,5.41725
3,5.80048
3,6.14941
3,6.46142
3,6.73668
3,6.97765
3,7.18769
3,7.37137
3,7.53328
3,7.67636
3,7.80441
3,7.92113
3,8.0302
3,8.13447
3,8.23542
3,8.33378
3,8.43124
3,8.52339
3,8.60565
3,8.67455
3,8.72935
3,8.77069
3,8.8001
3,8.81832
3,8.83219
3,8.84839
3,8.87164
3,8.9037
3,8.94512
3,8.99585
3,9.05529
3,9.12232
3,9.19624
3,9.27695
3,9.36429
3,9.45816
3,9.55877
3,9.66936
3,9.78487
3,9.90494
3,10.0305
3,10.1642
3,10.3092
3,10.4676
3,10.6384
3,10.8297
3,11.0441
3,11.2809
3,11.5358
3,11.8036
3,12.0796
3,12.3601
3,12.642
3,12.9199
