iter,D_sim
0,0.000372759
0,0.000473793
0,0.000593099
0,0.000735102
0,0.000904709
0,0.00110766
0,0.00135082
0,0.00164239
0,0.00199226
0,0.0024123
0,0.0029168
0,0.00352294
0,0.00425139
0,0.005127
0,0.00617968
0,0.0074454
0,0.00896742
0,0.0107978
0,0.0129991
0,0.0156406
0,0.0188046
0,0.0225879
0,0.0271045
0,0.0324898
0,0.0389079
0,0.0465572
0,0.0556841
0,0.0665999
0,0.0796957
0,0.0954472
0,0.114408
0,0.137235
0,0.164713
0,0.197787
0,0.23759
0,0.285489
0,0.343124
0,0.412418
0,0.495594
0,0.595234
0,0.714372
0,0.856538
0,1.02543
0,1.22546
0,1.46143
0,1.73836
0,2.06146
0,2.43349
0,2.85297
0,3.31511
0,3.81136
0,4.33231
0,4.86589
0,5.39793
0,5.91759
0,6.41909
0,6.89953
0,7.35904
0,7.79689
0,8.21405
0,8.61223
0,8.9933
0,9.35902
0,9.71086
0,10.0503
0,10.3788
0,10.6977
0,11.0068
0,11.3039
0,11.588
0,11.8585
0,12.1152
0,12.3584
0,12.5884
0,12.8071
0,13.0186
0,13.2253
0,13.4293
0,13.6316
0,13.8334
0,14.035
0,14.237
0,14.4398
0,14.6445
0,14.852
0,15.0637
0,15.2813
0,15.5072
0,15.744
0,15.9924
0,16.2533
0,16.5278
0,16.8175
0,17.1247
0,17.4515
0,17.7998
0,18.1739
0,18.578
0,19.0159
0,19.4912
0,20.0066
0,20.5652
0,21.1698
0,21.8239
0,22.5311
0,23.2939
0,24.1162
0,25.0018
0,25.9558
0,26.9841
1,0.000397715
1,0.000504344
1,0.000629993
1,0.000779288
1,0.000957328
1,0.00117007
1,0.0014246
1,0.00172941
1,0.00209471
1,0.00253273
1,0.00305819
1,0.00368875
1,0.00444564
1,0.00535437
1,0.00644558
1,0.00775609
1,0.00933013
1,0.0112209
1,0.0134922
1,0.0162144
1,0.0194714
1,0.0233612
1,0.0279998
1,0.033524
1,0.0401003
1,0.0479294
1,0.0572604
1,0.0684082
1,0.0817679
1,0.0978197
1,0.117121
1,0.140332
1,0.168242
1,0.201798
1,0.242135
1,0.290622
1,0.348898
1,0.418881
1,0.502789
1,0.603188
1,0.723097
1,0.866016
1,1.03561
1,1.23624
1,1.47264
1,1.74977
1,2.07276
1,2.44424
1,2.86264
1,3.32305
1,3.8169
1,4.33476
1,4.86461
1,5.39235
1,5.90728
1,6.40376
1,6.87902
1,7.33332
1,7.76602
1,8.17822
1,8.5717
1,8.94842
1,9.3102
1,9.65859
1,9.99511
1,10.3213
1,10.6385
1,10.9465
1,11.2433
1,11.5275
1,11.7987
1,12.0568
1,12.302
1,12.5345
1,12.7565
1,12.9722
1,13.184
1,13.3939
1,13.6033
1,13.8131
1,14.0236
1,14.2356
1,14.4495
1,14.6663
1,14.8869
1,15.1129
1,15.346
1,15.5888
1,15.8439
1,16.1122
1,16.3945
1,16.692
1,17.0064
1,17.3402
1,17.6955
1,18.0745
1,18.4817
1,18.9215
1,19.3981
1,19.9153
1,20.4761
1,21.0838
1,21.7412
1,22.4522
1,23.2209
1,24.0497
1,24.9429
1,25.9047
1,26.9406
1,28.057
2,0.00037794
2,0.000480052
2,0.00060054
2,0.000743857
2,0.000914928
2,0.00111952
2,0.00136449
2,0.00165809
2,0.00201019
2,0.0024327
2,0.0029399
2,0.00354897
2,0.00428056
2,0.0051595
2,0.00621565
2,0.00748488
2,0.00901036
2,0.010844
2,0.0130481
2,0.0156916
2,0.0188565
2,0.022639
2,0.0271527
2,0.0325319
2,0.0389398
2,0.0465735
2,0.0556776
2,0.0665611
2,0.0796119
2,0.0953018
2,0.11418
2,0.136895
2,0.164225
2,0.197104
2,0.236654
2,0.284224
2,0.341436
2,0.410186
2,0.492669
2,0.591431
2,0.709464
2,0.850245
2,1.01742
2,1.21532
2,1.44869
2,1.72246
2,2.04177
2,2.40932
2,2.82367
2,3.28012
2,3.77029
2,4.28498
2,4.81237
2,5.33856
2,5.85295
2,6.3499
2,6.82659
2,7.28317
2,7.71891
2,8.13481
2,8.53253
2,8.91392
2,9.28073
2,9.6344
2,9.97639
2,10.3081
2,10.631
2,10.9447
2,11.2472
2,11.5373
2,11.8143
2,12.0783
2,12.3293
2,12.5676
2,12.7953
2,13.0164
2,13.2334
2,13.4481
2,13.6619
2,13.8757
2,14.0898
2,14.305
2,14.5217
2,14.7409
2,14.9635
2,15.191
2,15.4252
2,15.6684
2,15.9234
2,16.1909
2,16.4718
2,16.7673
2,17.079
2,17.4094
2,17.7607
2,18.1348
2,18.5362
2,18.9693
2,19.4381
2,19.9464
2,20.497
2,21.0933
2,21.7381
2,22.4352
2,23.1885
2,24.0007
2,24.8757
2,25.8178
2,26.8323
2,27.9256
3,0.000205412
3,0.000286615
3,0.000376278
3,0.000481075
3,0.000606003
3,0.000756012
3,0.000936704
3,0.00115473
3,0.0014181
3,0.00173651
3,0.0021217
3,0.0025879
3,0.00315236
3,0.003836
3,0.00466416
3,0.00566761
3,0.00688359
3,0.0083573
3,0.0101435
3,0.0123034
3,0.0149105
3,0.0180518
3,0.0218305
3,0.02637
3,0.0318213
3,0.0383677
3,0.0462383
3,0.0557245
3,0.0671942
3,0.0810988
3,0.0979689
3,0.118438
3,0.143273
3,0.173399
3,0.209941
3,0.254261
3,0.30801
3,0.373138
3,0.451922
3,0.54703
3,0.661621
3,0.799402
3,0.964308
3,1.16105
3,1.39482
3,1.6711
3,1.99567
3,2.37175
3,2.79815
3,3.27008
3,3.77869
3,4.31406
3,4.8633
3,5.41112
3,5.94575
3,6.46092
3,6.95346
3,7.42348
3,7.87017
3,8.29458
3,8.69854
3,9.08408
3,9.45308
3,9.80713
3,10.1478
3,10.4767
3,10.7952
3,11.1031
3,11.3982
3,11.6791
3,11.9452
3,12.1966
3,12.4333
3,12.6558
3,12.8661
3,13.0685
3,13.2658
3,13.4598
3,13.652
3,13.8434
3,14.0343
3,14.2255
3,14.4174
3,14.611
3,14.8073
3,15.0078
3,15.2143
3,15.4292
3,15.6554
3,15.8935
3,16.1444
3,16.4094
3,16.69
3,16.9886
3,17.3076
3,17.6488
3,18.0169
3,18.4161
3,18.8506
3,19.324
3,19.8395
3,20.4002
3,21.0091
3,21.67
3,22.3868
3,23.1623
3,24.0005
3,24.9057
3,25.8836
3,26.9404
4,0.000324873
4,0.000423393
4,0.000537319
4,0.000671963
4,0.000832409
4,0.0010243
4,0.00125427
4,0.00153021
4,0.00186165
4,0.00226003
4,0.00273913
4,0.00331556
4,0.00400933
4,0.00484455
4,0.00585028
4,0.00706151
4,0.00852043
4,0.0102779
4,0.0123951
4,0.0149397
4,0.0179927
4,0.0216489
4,0.0260208
4,0.0312416
4,0.0374737
4,0.0449134
4,0.0538051
4,0.0644586
4,0.0772633
4,0.0926943
4,0.111305
4,0.133751
4,0.16082
4,0.193459
4,0.232811
4,0.280249
4,0.337431
4,0.406299
4,0.489103
4,0.588459
4,0.70745
4,0.849662
4,1.01886
4,1.21954
4,1.4566
4,1.73516
4,2.06057
4,2.43558
4,2.85855
4,3.32441
4,3.82419
4,4.34809
4,4.88352
4,5.41575
4,5.93361
4,6.4313
4,6.90601
4,7.35815
4,7.78717
4,8.19431
4,8.58155
4,8.95105
4,9.30479
4,9.64446
4,9.9717
4,10.2881
4,10.5953
4,10.893
4,11.179
4,11.4521
4,11.7117
4,11.9578
4,12.1906
4,12.4105
4,12.6196
4,12.8225
4,13.0217
4,13.2194
4,13.4168
4,13.615
4,13.8144
4,14.0156
4,14.219
4,14.4258
4,14.6369
4,14.8538
4,15.0784
4,15.3133
4,15.5614
4,15.8234
4,16.1001
4,16.3928
4,16.7032
4,17.0339
4,17.3871
4,17.7651
4,18.1725
4,18.614
4,19.0939
4,19.6161
4,20.1838
4,20.8003
4,21.4687
4,22.1929
4,22.9772
4,23.8242
4,24.7382
4,25.7238
4,26.7867
4,27.9337
5,0.000326972
5,0.000426042
5,0.000540585
5,0.000675946
5,0.000837235
5,0.00103012
5,0.00126127
5,0.00153862
5,0.00187174
5,0.00227212
5,0.00275361
5,0.0033329
5,0.00403009
5,0.00486941
5,0.00588003
5,0.00709712
5,0.00856306
5,0.0103289
5,0.0124561
5,0.0150128
5,0.0180801
5,0.0217533
5,0.0261454
5,0.03139
5,0.0376504
5,0.0451236
5,0.0540551
5,0.064756
5,0.0776175
5,0.0931164
