iter,D_sim
0,0.000124302
0,0.000212519
0,0.000293507
0,0.000379618
0,0.000477105
0,0.000590157
0,0.000722506
0,0.000878097
0,0.00106142
0,0.00127774
0,0.00153325
0,0.00183529
0,0.00219257
0,0.00261539
0,0.00311598
0,0.00370883
0,0.00441113
0,0.00524325
0,0.00622936
0,0.00739587
0,0.0087735
0,0.0103976
0,0.0123104
0,0.0145623
0,0.0172129
0,0.0203301
0,0.0239944
0,0.0283049
0,0.033384
0,0.0393767
0,0.046455
0,0.0548255
0,0.0647391
0,0.0764932
0,0.0904299
0,0.106927
0,0.126431
0,0.149464
0,0.176638
0,0.208654
0,0.246323
0,0.290549
0,0.342288
0,0.402324
0,0.470967
0,0.547994
0,0.632727
0,0.723773
0,0.819105
0,0.916343
0,1.01335
0,1.1087
0,1.20181
0,1.29235
0,1.38048
0,1.4665
0,1.55077
0,1.63374
0,1.71559
0,1.79651
0,1.87636
0,1.9553
0,2.03321
0,2.10983
0,2.18507
0,2.25893
0,2.33137
0,2.40251
0,2.47199
0,2.53988
0,2.60639
0,2.67175
0,2.73661
0,2.80149
0,2.86725
0,2.93479
0,3.00463
0,3.07714
0,3.15272
0,3.2318
0,3.31464
0,3.40136
0,3.49201
0,3.5866
0,3.68511
0,3.78759
0,3.89415
0,4.00504
0,4.12071
0,4.24137
0,4.36706
0,4.49775
0,4.6332
0,4.77315
0,4.91736
0,5.06562
0,5.21818
0,5.37554
0,5.53873
0,5.70899
0,5.88763
0,6.07599
0,6.27539
0,6.48715
0,6.71214
0,6.95034
0,7.20235
0,7.46892
0,7.75106
0,8.04982
1,0.000119843
1,0.000205119
1,0.000283613
1,0.000367224
1,0.000461991
1,0.000571981
1,0.000700828
1,0.000852386
1,0.00103105
1,0.00124196
1,0.00149119
1,0.00178593
1,0.0021347
1,0.0025476
1,0.00303664
1,0.00361602
1,0.00430259
1,0.00511638
1,0.00608108
1,0.00722269
1,0.00857141
1,0.010162
1,0.0120361
1,0.0142432
1,0.016842
1,0.0198994
1,0.0234948
1,0.0277256
1,0.0327126
1,0.0385986
1,0.045553
1,0.0537795
1,0.0635258
1,0.0750849
1,0.0887948
1,0.105029
1,0.124228
1,0.14691
1,0.173678
1,0.205228
1,0.242361
1,0.285975
1,0.337019
1,0.396273
1,0.464058
1,0.54017
1,0.623959
1,0.71407
1,0.808524
1,0.904989
1,1.00136
1,1.09624
1,1.18906
1,1.27946
1,1.36759
1,1.45376
1,1.53829
1,1.62162
1,1.70394
1,1.78541
1,1.8659
1,1.94556
1,2.02426
1,2.10176
1,2.17794
1,2.25281
1,2.32633
1,2.3986
1,2.46929
1,2.53843
1,2.60623
1,2.67294
1,2.73917
1,2.80544
1,2.8726
1,2.94152
1,3.01275
1,3.08662
1,3.16355
1,3.24397
1,3.32814
1,3.41618
1,3.50815
1,3.60406
1,3.70391
1,3.80774
1,3.91567
1,4.02797
1,4.14506
1,4.26717
1,4.39435
1,4.52656
1,4.6636
1,4.80519
1,4.95111
1,5.10116
1,5.25558
1,5.41487
1,5.58008
1,5.7524
1,5.93316
1,6.1237
1,6.32532
1,6.53935
1,6.76669
1,7.0073
1,7.26182
1,7.53101
1,7.81589
1,8.11751
2,0.000209492
2,0.000289013
2,0.000373079
2,0.00046776
2,0.000577059
2,0.000704473
2,0.000853653
2,0.00102872
2,0.00123448
2,0.00147657
2,0.00176163
2,0.0020975
2,0.00249346
2,0.00296045
2,0.00351138
2,0.00416153
2,0.00492893
2,0.00583488
2,0.00690455
2,0.00816531
2,0.00964889
2,0.0113916
2,0.0134368
2,0.0158359
2,0.0186496
2,0.0219468
2,0.025809
2,0.0303358
2,0.0356505
2,0.0418982
2,0.0492506
2,0.057913
2,0.0681342
2,0.0802075
2,0.0944692
2,0.111289
2,0.131101
2,0.154413
2,0.181816
2,0.213987
2,0.251702
2,0.295825
2,0.347266
2,0.406762
2,0.474592
2,0.550518
2,0.633874
2,0.723314
2,0.8169
2,0.912363
2,1.00767
2,1.10147
2,1.19321
2,1.28258
2,1.36971
2,1.45491
2,1.53851
2,1.62093
2,1.70236
2,1.78296
2,1.86261
2,1.94146
2,2.0194
2,2.09619
2,2.17173
2,2.24602
2,2.31904
2,2.39089
2,2.46123
2,2.53012
2,2.59777
2,2.6644
2,2.73063
2,2.79695
2,2.8642
2,2.93323
2,3.00456
2,3.07853
2,3.15555
2,3.23604
2,3.32024
2,3.40827
2,3.50019
2,3.59602
2,3.69576
2,3.79943
2,3.90716
2,4.01921
2,4.136
2,4.25774
2,4.38448
2,4.5162
2,4.65268
2,4.79366
2,4.93894
2,5.0883
2,5.242
2,5.40052
2,5.56488
2,5.73624
2,5.9159
2,6.10515
2,6.30526
2,6.5175
2,6.74275
2,6.98097
2,7.23274
2,7.49883
2,7.78019
2,8.07783
3,0.000122222
3,0.000209069
3,0.000288933
3,0.000373966
3,0.000470328
3,0.000582163
3,0.000713173
3,0.000867283
3,0.00104897
3,0.00126346
3,0.00151695
3,0.00181677
3,0.00217158
3,0.0025917
3,0.00308934
3,0.00367898
3,0.00437781
3,0.00520622
3,0.00618841
3,0.00735083
3,0.00872427
3,0.0103441
3,0.0122529
3,0.014501
3,0.0171482
3,0.020263
3,0.023926
3,0.0282367
3,0.0333184
3,0.0393168
3,0.0464049
3,0.0547906
3,0.0647269
3,0.0765132
3,0.0904944
3,0.107052
3,0.126636
3,0.149774
3,0.177084
3,0.209275
3,0.247166
3,0.291672
3,0.34376
3,0.404225
3,0.473383
3,0.551008
3,0.636417
3,0.728198
3,0.824297
3,0.922301
3,1.02004
3,1.11606
3,1.20978
3,1.30084
3,1.3894
3,1.47577
3,1.5603
3,1.64343
3,1.72536
3,1.80627
3,1.886
3,1.96474
3,2.04235
3,2.11857
3,2.1933
3,2.26655
3,2.33828
3,2.40859
3,2.47716
3,2.54401
3,2.60938
3,2.6735
3,2.73702
3,2.80042
3,2.86459
3,2.93041
3,2.99839
3,3.06889
3,3.14231
3,3.21909
3,3.29945
3,3.38352
3,3.47135
3,3.56294
3,3.65827
3,3.75738
3,3.86036
3,3.96748
3,4.07915
3,4.19557
3,4.31679
3,4.44276
3,4.57325
3,4.70798
3,4.84672
3,4.98926
3,5.13582
3,5.28689
3,5.44348
3,5.60676
3,5.77801
3,5.95852
3,6.14957
3,6.35241
3,6.5679
3,6.79599
3,7.03725
3,7.29239
3,7.56238
3,7.84821
4,0.000209457
4,0.000288969
4,0.000373032
4,0.000467714
4,0.000577019
4,0.000704445
4,0.000853644
4,0.00102874
4,0.00123454
4,0.00147669
4,0.00176182
4,0.0020978
4,0.0024939
4,0.00296106
4,0.00351222
4,0.00416265
4,0.00493042
4,0.00583683
4,0.00690708
4,0.00816857
4,0.00965305
4,0.0113969
4,0.0134435
4,0.0158443
4,0.01866
4,0.0219598
4,0.0258251
4,0.0303556
4,0.035675
4,0.0419283
4,0.0492875
4,0.0579583
4,0.0681897
4,0.0802754
4,0.0945523
4,0.11139
4,0.131225
4,0.154564
4,0.182
4,0.21421
4,0.251972
4,0.296153
4,0.347662
4,0.407238
4,0.475161
4,0.551193
4,0.634669
4,0.724239
4,0.817962
4,0.913566
4,1.00901
4,1.10295
4,1.19484
4,1.28434
4,1.37161
4,1.45694
4,1.54066
4,1.62321
4,1.70477
4,1.78549
4,1.86527
4,1.94425
4,2.02231
4,2.09922
4,2.17488
4,2.24929
4,2.32243
4,2.39439
4,2.46485
4,2.53385
4,2.60161
4,2.66834
4,2.73468
4,2.80111
4,2.86847
4,2.93761
4,3.00906
4,3.08315
4,3.1603
4,3.24092
4,3.32526
4,3.41344
4,3.50552
4,3.60151
4,3.70141
4,3.80526
4,3.91317
4,4.02541
4,4.14239
4,4.26434
4,4.3913
4,4.52325
4,4.65996
4,4.80119
4,4.94671
4,5.09634
4,5.25031
4,5.40911
4,5.57375
4,5.74541
4,5.92539
4,6.11497
4,6.31544
4,6.52806
4,6.75371
4,6.99236
4,7.24459
4,7.51116
4,7.79303
4,8.09121
5,0.000121393
5,0.000207694
5,0.000287109
5,0.000371709
5,0.00046762
5,0.000578965
5,0.000709437
5,0.000862951
5,0.00104397
5,0.00125773
5,0.00151041
5,0.00180932
5,0.00216314
5,0.00258217
5,0.0030786
5,0.00366694
5,0.00436436
5,0.00519126
5,0.00617184
5,0.00733258
5,0.0087043
5,0.0103224
5,0.0122295
5,0.014476
5,0.0171219
5,0.0202356
5,0.023898
5,0.0282087
5,0.0332915
5,0.039292
5,0.046384
5,0.0547759
5,0.0647213
5,0.0765205
5,0.0905196
5,0.107101
5,0.126717
5,0.149898
5,0.177263
5,0.209524
5,0.247505
5,0.292125
5,0.344355
5,0.404995
5,0.474363
5,0.552235
5,0.637924
5,0.730014
5,0.826441
5,0.92478
5,1.02285
5,1.11919
5,1.21321
5,1.30454
5,1.39335
5,1.47995
5,1.56467
5,1.64798
5,1.73006
5,1.81108
5,1.89091
5,1.96971
5,2.04736
5,2.12358
5,2.19829
5,2.27148
5,2.34312
5,2.41331
5,2.48172
5,2.54839
5,2.61354
5,2.6774
5,2.74062
5,2.8037
5,2.86751
5,2.93292
5,3.00047
5,3.07048
5,3.14338
5,3.21958
5,3.29933
5,3.38274
5,3.46985
5,3.56068
5,3.6552
5,3.75344
5,3.8555
5,3.96164
5,4.07227
5,4.18758
5,4.30764
5,4.43237
5,4.56155
5,4.69491
5,4.83221
5,4.97323
5,5.11821
5,5.26762
5,5.42245
5,5.58387
5,5.75315
5,5.93157
5,6.12038
5,6.32084
5,6.53379
5,6.75917
5,6.99754
5,7.24963
5,7.51635
5,7.79871
6,0.000283289
6,0.000365142
6,0.00045693
6,0.000562475
6,0.000685066
6,0.000828096
6,0.000995369
6,0.00119129
6,0.00142102
6,0.00169062
6,0.00200721
6,0.00237917
6,0.0028164
6,0.0033305
6,0.00393517
6,0.00464653
6,0.00548355
6,0.00646856
6,0.00762789
6,0.00899003
6,0.0105879
6,0.0124589
6,0.0146479
6,0.0172076
6,0.0202002
6,0.0236963
6,0.0277785
6,0.0325482
6,0.0381303
6,0.0446714
6,0.0523442
6,0.0613551
6,0.071953
6,0.0844305
6,0.0991217
6,0.116392
6,0.136671
6,0.160456
6,0.188326
6,0.220943
6,0.259061
6,0.303518
6,0.355191
6,0.414784
6,0.482546
6,0.558224
6,0.641149
6,0.729993
6,0.822862
6,0.917552
6,1.01209
6,1.10516
6,1.19625
6,1.28501
6,1.37161
6,1.45631
6,1.53944
6,1.62141
6,1.70238
6,1.78254
6,1.86174
6,1.94015
6,2.01765
6,2.094
6,2.16913
6,2.24303
6,2.31567
6,2.38716
6,2.45717
6,2.52576
6,2.59312
6,2.65948
6,2.72542
6,2.79141
6,2.85826
6,2.92678
6,2.99748
6,3.07068
6,3.14678
6,3.22616
6,3.30907
6,3.39563
6,3.48588
6,3.57985
6,3.67753
6,3.77896
6,3.88424
6,3.99363
6,4.10751
6,4.2261
6,4.34944
6,4.4775
6,4.61007
6,4.74692
6,4.88784
6,5.03263
6,5.18153
6,5.335
6,5.49397
6,5.65956
6,5.83298
6,6.01545
6,6.20815
6,6.41228
6,6.62865
6,6.85722
6,7.09853
6,7.35328
6,7.62237
6,7.90671
7,0.000206981
7,0.000285832
7,0.000369451
7,0.000463873
7,0.000573111
7,0.000700705
7,0.000850373
7,0.00102633
7,0.0012335
7,0.00147767
7,0.00176567
7,0.00210559
7,0.00250699
7,0.00298119
7,0.00354156
7,0.00420395
7,0.00498708
7,0.00591313
7,0.00700832
7,0.00830125
7,0.00982509
7,0.0116179
7,0.0137252
7,0.0162008
7,0.0191088
7,0.0225217
7,0.0265253
7,0.0312251
7,0.0367513
7,0.0432578
7,0.0509266
7,0.059976
7,0.0706708
7,0.0833239
7,0.0982945
7,0.115978
7,0.136841
7,0.161427
7,0.190372
7,0.224405
7,0.264363
7,0.311181
7,0.365841
7,0.429144
7,0.501393
7,0.582334
7,0.671243
7,0.766658
7,0.866464
7,0.968187
7,1.06961
7,1.16924
7,1.2665
7,1.361
7,1.45291
7,1.54254
7,1.63025
7,1.71649
7,1.80146
7,1.88534
7,1.96798
7,2.04955
7,2.12993
7,2.20886
7,2.28623
7,2.36205
7,2.43628
7,2.50903
7,2.57997
7,2.64914
7,2.71675
7,2.78305
7,2.8487
7,2.9142
7,2.98042
7,3.04826
7,3.11825
7,3.19073
7,3.26613
7,3.34487
7,3.42718
7,3.5132
7,3.60296
7,3.69647
7,3.79371
7,3.8947
7,3.99956
7,4.10853
7,4.22203
7,4.34026
7,4.46326
7,4.59098
7,4.72319
7,4.8596
7,4.99998
7,5.14412
7,5.29224
7,5.4448
7,5.60283
7,5.76747
7,5.94001
7,6.12172
7,6.31384
7,6.51763
7,6.73393
7,6.96266
7,7.20439
7,7.45982
7,7.72987
7,8.01551
8,0.000210034
8,0.000289755
8,0.000374045
8,0.000468993
8,0.000578616
8,0.000706426
8,0.000856091
8,0.00103176
8,0.00123824
8,0.00148122
8,0.00176737
8,0.00210458
8,0.00250217
8,0.00297115
8,0.00352451
8,0.00417762
8,0.00494862
8,0.00585896
8,0.00693396
8,0.00820118
8,0.00969254
8,0.0114446
8,0.013501
8,0.0159136
8,0.0187433
8,0.0220598
8,0.0259449
8,0.030499
8,0.0358466
8,0.0421336
8,0.0495332
8,0.0582524
8,0.068542
8,0.0806979
8,0.0950592
8,0.111999
8,0.131955
8,0.155439
8,0.183047
8,0.215463
8,0.253469
8,0.297938
8,0.349787
8,0.409757
8,0.478126
8,0.554649
8,0.638645
8,0.728743
8,0.822975
8,0.919036
8,1.01486
8,1.10908
8,1.20115
8,1.29071
8,1.37794
8,1.46313
8,1.54661
8,1.62882
8,1.70994
8,1.79014
8,1.86929
8,1.94756
8,2.02482
8,2.10083
8,2.1755
8,2.24882
8,2.32079
8,2.39148
8,2.46059
8,2.52815
8,2.59438
8,2.6595
8,2.72414
8,2.78878
8,2.85426
8,2.92144
8,2.99081
8,3.06273
8,3.1376
8,3.21581
8,3.29762
8,3.38315
8,3.47243
8,3.56549
8,3.66231
8,3.76293
8,3.86744
8,3.97612
8,4.08936
8,4.20737
8,4.33019
8,4.45779
8,4.58995
8,4.72641
8,4.86694
8,5.01136
8,5.15988
8,5.31299
8,5.47166
8,5.63705
8,5.81041
8,5.99301
8,6.18607
8,6.39085
8,6.60816
8,6.83797
8,7.08085
8,7.33749
8,7.60883
8,7.89584
9,0.00021698
9,0.000298995
9,0.000385535
9,0.000482884
9,0.000595167
9,0.000725973
9,0.000879037
9,0.00105858
9,0.00126949
9,0.00151753
9,0.00180949
9,0.00215336
9,0.00255859
9,0.00303633
9,0.00359975
9,0.0042644
9,0.00504864
9,0.00597415
9,0.00706652
9,0.0083536
9,0.00986759
9,0.0116454
9,0.013731
9,0.0161766
9,0.0190437
9,0.0224025
9,0.0263353
9,0.0309433
9,0.0363516
9,0.0427072
9,0.0501842
9,0.0589906
9,0.0693786
9,0.0816451
9,0.0961305
9,0.113208
9,0.133318
9,0.156972
9,0.184767
9,0.217386
9,0.255614
9,0.30032
9,0.352422
9,0.412657
9,0.481295
9,0.558083
9,0.642331
9,0.73266
9,0.827091
9,0.923317
9,1.01927
9,1.11359
9,1.20573
9,1.29536
9,1.38265
9,1.4679
9,1.55147
9,1.6338
9,1.71507
9,1.79546
9,1.87485
9,1.95341
9,2.03101
9,2.10742
9,2.18254
9,2.25638
9,2.32892
9,2.40026
9,2.47007
9,2.53841
9,2.60548
9,2.67153
9,2.73719
9,2.80296
9,2.86968
9,2.93824
9,3.00916
9,3.08279
9,3.15952
9,3.23979
9,3.32385
9,3.41181
9,3.50372
9,3.59961
9,3.69945
9,3.80329
9,3.91124
9,4.02356
9,4.14068
9,4.26281
9,4.39001
9,4.52224
9,4.65926
9,4.80083
9,4.94672
9,5.09673
9,5.2511
9,5.41033
9,5.57545
9,5.74766
9,5.92827
9,6.1186
9,6.31992
9,6.53355
9,6.76035
9,7.00027
9,7.25392
9,7.52203
9,7.80558
9,8.1056
10,0.000127487
10,0.000217793
10,0.000300525
10,0.000388352
10,0.000487675
10,0.000602767
10,0.000737417
10,0.000895622
10,0.00108193
10,0.00130166
10,0.00156108
10,0.00186761
10,0.00223003
10,0.00265875
10,0.00316611
10,0.00376674
10,0.00447795
10,0.00532028
10,0.00631808
10,0.00749794
10,0.00889076
10,0.0105321
10,0.0124644
10,0.0147382
10,0.0174136
10,0.0205586
10,0.0242542
10,0.0285997
10,0.0337182
10,0.0397549
10,0.0468824
10,0.0553079
10,0.065283
10,0.0771054
10,0.0911177
10,0.107698
10,0.127292
10,0.150423
10,0.177701
10,0.209827
10,0.24761
10,0.291951
10,0.343804
10,0.403945
10,0.472677
10,0.549764
10,0.634516
10,0.725526
10,0.820757
10,0.91782
10,1.01457
10,1.10958
10,1.2023
10,1.29236
10,1.37996
10,1.4654
10,1.54904
10,1.63135
10,1.7125
10,1.7927
10,1.8718
10,1.94998
10,2.0271
10,2.10293
10,2.17736
10,2.25039
10,2.32201
10,2.39231
10,2.46096
10,2.52802
10,2.59369
10,2.65823
10,2.72229
10,2.78637
10,2.85136
10,2.91814
10,2.98727
10,3.05908
10,3.13399
10,3.21243
10,3.29466
10,3.38079
10,3.47086
10,3.56489
10,3.66286
10,3.76481
10,3.87084
10,3.98123
10,4.09639
10,4.21655
10,4.34176
10,4.47197
10,4.60694
10,4.7464
10,4.89012
10,5.03788
10,5.18992
10,5.34676
