iter,D_sim
0,0.238692
0,0.257595
0,0.277996
0,0.300012
0,0.323771
0,0.349412
0,0.377084
0,0.406948
0,0.439176
0,0.473957
0,0.511492
0,0.552
0,0.595715
0,0.642893
0,0.693807
0,0.748753
0,0.808051
0,0.872044
0,0.941105
0,1.01522
0,1.09465
0,1.17983
0,1.27123
0,1.36931
0,1.47463
0,1.58785
0,1.70974
0,1.84113
0,1.98296
0,2.13635
0,2.30231
0,2.48184
0,2.676
0,2.88588
0,3.11269
0,3.35773
0,3.6224
0,3.90822
0,4.21684
0,4.55003
0,4.90972
0,5.29799
0,5.71709
0,6.16859
0,6.65286
0,7.16932
0,7.71605
0,8.28982
0,8.88646
0,9.50023
0,10.1255
0,10.7565
0,11.3854
0,12.0054
0,12.6106
0,13.1948
0,13.7527
0,14.2815
0,14.7802
0,15.2534
0,15.7054
0,16.1408
0,16.5639
0,16.9795
0,17.3916
0,17.8039
0,18.2173
0,18.6337
0,19.0514
0,19.4687
0,19.8843
0,20.2984
0,20.7115
0,21.1239
0,21.535
0,21.9472
0,22.3622
0,22.7816
0,23.2058
0,23.635
0,24.0699
0,24.5119
0,24.9563
0,25.3977
0,25.8299
0,26.246
0,26.6398
0,27.0056
0,27.3381
0,27.6399
0,27.9166
0,28.1754
0,28.4238
0,28.6684
0,28.9151
0,29.1645
0,29.4167
0,29.6707
0,29.926
0,30.1818
0,30.4384
0,30.6968
0,30.9621
0,31.2416
0,31.545
0,31.8805
0,32.2545
0,32.6738
0,33.1468
0,33.6831
1,0.261356
1,0.281818
1,0.303882
1,0.327673
1,0.353327
1,0.38099
1,0.410818
1,0.442981
1,0.477662
1,0.515059
1,0.555383
1,0.598864
1,0.64575
1,0.696306
1,0.75082
1,0.809602
1,0.872987
1,0.941333
1,1.01503
1,1.09405
1,1.17867
1,1.26932
1,1.36651
1,1.47072
1,1.58252
1,1.7026
1,1.83177
1,1.97089
1,2.12093
1,2.28307
1,2.45837
1,2.64784
1,2.85258
1,3.07372
1,3.31251
1,3.57028
1,3.84846
1,4.14863
1,4.47247
1,4.82181
1,5.19861
1,5.60502
1,6.04333
1,6.51512
1,7.02073
1,7.55943
1,8.12918
1,8.72649
1,9.34691
1,9.98439
1,10.633
1,11.2866
1,11.937
1,12.5772
1,13.2009
1,13.8017
1,14.3741
1,14.9152
1,15.4241
1,15.9054
1,16.364
1,16.8043
1,17.2311
1,17.6493
1,18.0631
1,18.4761
1,18.8897
1,19.3056
1,19.7219
1,20.1372
1,20.5499
1,20.9604
1,21.3691
1,21.7764
1,22.1816
1,22.5872
1,22.9949
1,23.4063
1,23.8221
1,24.2422
1,24.6672
1,25.0989
1,25.5323
1,25.9618
1,26.3813
1,26.7837
1,27.1627
1,27.5126
1,27.8282
1,28.112
1,28.3698
1,28.6088
1,28.8368
1,29.0605
1,29.2858
1,29.5132
1,29.7431
1,29.9743
1,30.2063
1,30.4384
1,30.6709
1,30.9047
1,31.145
1,31.3991
1,31.6765
1,31.9856
1,32.3324
1,32.724
1,33.1684
1,33.6752
2,0.238916
2,0.257832
2,0.278245
2,0.300275
2,0.324048
2,0.349704
2,0.377391
2,0.40727
2,0.439515
2,0.474313
2,0.511866
2,0.552391
2,0.596126
2,0.643323
2,0.694256
2,0.749222
2,0.80854
2,0.872554
2,0.941636
2,1.01577
2,1.09522
2,1.18041
2,1.27183
2,1.36992
2,1.47526
2,1.58849
2,1.71039
2,1.8418
2,1.98364
2,2.13704
2,2.30302
2,2.48257
2,2.67673
2,2.88663
2,3.11345
2,3.35849
2,3.62316
2,3.90897
2,4.21757
2,4.55073
2,4.91038
2,5.2986
2,5.71764
2,6.16906
2,6.65323
2,7.16954
2,7.71609
2,8.28962
2,8.88594
2,9.49932
2,10.1241
2,10.7546
2,11.3828
2,12.0022
2,12.6066
2,13.19
2,13.7471
2,14.275
2,14.7729
2,15.2453
2,15.6967
2,16.1315
2,16.5542
2,16.9695
2,17.3816
2,17.794
2,18.2076
2,18.6245
2,19.0427
2,19.4606
2,19.8769
2,20.2919
2,20.706
2,21.1194
2,21.5316
2,21.9451
2,22.3615
2,22.7823
2,23.2082
2,23.6391
2,24.0757
2,24.5196
2,24.9661
2,25.4096
2,25.8439
2,26.2621
2,26.6579
2,27.0257
2,27.3602
2,27.6641
2,27.9428
2,28.2037
2,28.4543
2,28.7013
2,28.9506
2,29.2028
2,29.4579
2,29.715
2,29.9735
2,30.2325
2,30.4925
2,30.7543
2,31.0232
2,31.3065
2,31.6139
2,31.9537
2,32.3322
2,32.7564
2,33.2347
2,33.7767
3,0.243135
3,0.262259
3,0.282887
3,0.305137
3,0.329137
3,0.355026
3,0.38295
3,0.413071
3,0.445561
3,0.480606
3,0.518408
3,0.559183
3,0.603166
3,0.650607
3,0.70178
3,0.756978
3,0.816518
3,0.88074
3,0.950014
3,1.02433
3,1.10397
3,1.18933
3,1.28089
3,1.37911
3,1.48452
3,1.59778
3,1.71965
3,1.85093
3,1.99255
3,2.14561
3,2.31111
3,2.49003
3,2.68341
3,2.89234
3,3.11801
3,3.36169
3,3.62476
3,3.90871
3,4.21516
3,4.54585
3,4.90268
3,5.28766
3,5.70301
3,6.1503
3,6.62993
3,7.14139
3,7.68291
3,8.25143
3,8.84295
3,9.45198
3,10.0731
3,10.7007
3,11.3271
3,11.9458
3,12.5509
3,13.1363
3,13.6968
3,14.2294
3,14.733
3,15.2115
3,15.6692
3,16.1101
3,16.5383
3,16.9584
3,17.3743
3,17.7893
3,18.2047
3,18.6221
3,19.0402
3,19.4573
3,19.8723
3,20.2855
3,20.6973
3,21.108
3,21.517
3,21.9268
3,22.3388
3,22.7546
3,23.1748
3,23.5994
3,24.0291
3,24.4655
3,24.9041
3,25.3397
3,25.7666
3,26.1782
3,26.5685
3,26.9321
3,27.2637
3,27.5657
3,27.843
3,28.1024
3,28.3509
3,28.5948
3,28.8396
3,29.0861
3,29.3346
3,29.5841
3,29.8343
3,30.0845
3,30.3351
3,30.587
3,30.8451
3,31.1163
3,31.4096
3,31.733
3,32.0927
3,32.4952
3,32.9488
3,33.4625
4,0.227663
4,0.245826
4,0.265437
4,0.286613
4,0.309478
4,0.334167
4,0.360826
4,0.389611
4,0.420693
4,0.454255
4,0.490494
4,0.529624
4,0.571876
4,0.617498
4,0.66676
4,0.719951
4,0.777387
4,0.839404
4,0.906368
4,0.978275
4,1.0554
4,1.13814
4,1.22699
4,1.32239
4,1.42489
4,1.53512
4,1.65387
4,1.78193
4,1.92023
4,2.06987
4,2.23184
4,2.40715
4,2.59683
4,2.80198
4,3.02379
4,3.26355
4,3.52265
4,3.80261
4,4.10507
4,4.43178
4,4.78467
4,5.1658
4,5.57742
4,6.02112
4,6.49734
4,7.00557
4,7.54407
4,8.10972
4,8.69854
4,9.30502
4,9.92369
4,10.5489
4,11.173
4,11.7894
4,12.3922
4,12.9753
4,13.5334
4,14.0636
4,14.565
4,15.0416
4,15.4979
4,15.9379
4,16.366
4,16.7868
4,17.2043
4,17.6219
4,18.0407
4,18.4625
4,18.8857
4,19.3086
4,19.73
4,20.1503
4,20.5697
4,20.9886
4,21.4064
4,21.8255
4,22.2476
4,22.6742
4,23.1059
4,23.5427
4,23.9852
4,24.4352
4,24.8879
4,25.3379
4,25.7793
4,26.2051
4,26.6093
4,26.9861
4,27.3302
4,27.6442
4,27.9333
4,28.2046
4,28.4654
4,28.7223
4,28.9811
4,29.2424
4,29.5064
4,29.7721
4,30.0391
4,30.3066
4,30.575
4,30.8452
4,31.1223
4,31.4137
4,31.7286
4,32.0757
4,32.4611
4,32.8919
4,33.3764
4,33.9244
5,0.242398
5,0.261462
5,0.282026
5,0.304208
5,0.328134
5,0.353942
5,0.381779
5,0.411806
5,0.444195
5,0.479131
5,0.516814
5,0.557462
5,0.601306
5,0.648598
5,0.69961
5,0.754635
5,0.813986
5,0.878006
5,0.94706
5,1.02115
5,1.10054
5,1.18563
5,1.27692
5,1.37483
5,1.47993
5,1.59284
5,1.71433
5,1.84521
5,1.9864
5,2.13898
5,2.30395
5,2.4823
5,2.67507
5,2.88333
5,3.10827
5,3.35117
5,3.61339
5,3.89642
5,4.20188
5,4.53151
5,4.88717
5,5.27091
5,5.68491
5,6.13075
5,6.60884
5,7.11869
5,7.65857
5,8.22543
5,8.81533
5,9.42284
5,10.0426
5,10.669
5,11.2944
5,11.9124
5,12.5171
5,13.1025
5,13.6632
5,14.1964
5,14.701
5,15.1807
5,15.6398
5,16.0823
5,16.5121
5,16.9339
5,17.3515
5,17.7683
5,18.1853
5,18.6045
5,19.0243
5,19.4432
5,19.86
5,20.2751
5,20.6889
5,21.1016
5,21.5127
5,21.9245
5,22.3387
5,22.7567
5,23.1791
5,23.606
5,24.038
5,24.4767
5,24.9177
5,25.3559
5,25.7855
5,26.2
5,26.5934
5,26.9602
5,27.2954
5,27.6011
5,27.8823
5,28.1456
5,28.398
5,28.6458
5,28.8945
5,29.1448
5,29.397
5,29.6503
5,29.9042
5,30.1582
5,30.4126
5,30.6683
5,30.9302
5,31.2051
5,31.5021
5,31.8292
5,32.1924
5,32.5984
5,33.0553
5,33.5724
6,0.232133
6,0.250534
6,0.270394
6,0.291828
6,0.314961
6,0.339928
6,0.366874
6,0.395955
6,0.427343
6,0.461218
6,0.497778
6,0.537236
6,0.579823
6,0.625785
6,0.67539
6,0.728927
6,0.786709
6,0.84907
6,0.916375
6,0.98863
6,1.06611
6,1.14921
6,1.23841
6,1.33414
6,1.43696
6,1.54748
6,1.66647
6,1.79472
6,1.93314
6,2.08281
6,2.24472
6,2.41984
6,2.60922
6,2.81394
6,3.03517
6,3.2742
6,3.53239
6,3.81123
6,4.11234
6,4.43745
6,4.78845
6,5.16738
6,5.57643
6,6.01719
6,6.49015
6,6.99489
6,7.52979
6,8.09191
6,8.67745
6,9.2811
6,9.8976
6,10.5215
6,11.1452
6,11.7624
6,12.3673
6,12.9538
6,13.5166
6,14.0527
6,14.5609
6,15.045
6,15.5088
6,15.9563
6,16.3914
6,16.8185
6,17.2415
6,17.6636
6,18.086
6,18.5105
6,18.9356
6,19.36
6,19.7823
6,20.2031
6,20.6225
6,21.0411
6,21.4581
6,21.876
6,22.2963
6,22.7205
6,23.1491
6,23.5824
6,24.0209
6,24.4661
6,24.9138
6,25.359
6,25.7958
6,26.2179
6,26.6193
6,26.9944
6,27.3382
6,27.6528
6,27.9429
6,28.215
6,28.4762
6,28.7325
6,28.9895
6,29.2478
6,29.508
6,29.7691
6,30.0308
6,30.2924
6,30.5545
6,30.8178
6,31.0872
6,31.3696
6,31.674
6,32.0083
6,32.3787
6,32.792
6,33.2562
6,33.7807
7,0.259868
7,0.280169
7,0.302056
7,0.325652
7,0.351092
7,0.37852
7,0.40809
7,0.43997
7,0.474341
7,0.511397
7,0.551347
7,0.594419
7,0.640855
7,0.690918
7,0.744893
7,0.803084
7,0.865821
7,0.933459
7,1.00638
7,1.08455
7,1.16825
7,1.2579
7,1.35401
7,1.45705
7,1.56757
7,1.68626
7,1.81393
7,1.95141
7,2.09967
7,2.25987
7,2.43303
7,2.62019
7,2.82238
7,3.04075
7,3.27651
7,3.53095
7,3.80551
7,4.10172
7,4.42123
7,4.76584
7,5.13749
7,5.53827
7,5.97043
7,6.43554
7,6.93389
7,7.46476
7,8.02612
7,8.61452
7,9.22559
7,9.85337
7,10.4921
7,11.1357
7,11.7761
7,12.4065
7,13.0209
7,13.6129
7,14.1772
7,14.711
7,15.2135
7,15.6894
7,16.1434
7,16.5802
7,17.0041
7,17.4203
7,17.8328
7,18.2453
7,18.6589
7,19.0754
7,19.4929
7,19.9099
7,20.3249
7,20.7383
7,21.1504
7,21.5615
7,21.9711
7,22.3816
7,22.7948
7,23.2122
7,23.6344
7,24.0613
7,24.4937
7,24.9331
7,25.3747
7,25.813
7,26.2415
7,26.6535
7,27.0426
7,27.4031
7,27.7297
7,28.0252
7,28.2952
7,28.5472
7,28.7887
7,29.0266
7,29.2667
7,29.5096
7,29.7555
7,30.0031
7,30.252
7,30.5014
7,30.7516
7,31.0035
