iter,D_sim
0,0.181975
0,0.22177
0,0.270268
0,0.32937
0,0.401396
0,0.489172
0,0.596141
0,0.726502
0,0.885367
0,1.07897
0,1.31491
0,1.60243
0,1.95282
0,2.37982
0,2.90018
0,3.5343
0,4.30706
0,5.24874
0,6.39625
0,7.79456
0,9.49844
0,11.5746
0,14.1018
0,17.1701
0,20.8812
0,25.3521
0,30.7224
0,37.1549
0,44.8287
0,53.9555
0,64.8034
0,77.7208
0,93.1059
0,111.399
0,133.087
0,158.692
0,188.748
0,223.623
0,263.445
0,307.932
0,356.371
0,407.535
0,459.821
0,511.533
0,561.079
0,607.071
0,648.684
0,685.519
0,717.476
0,744.577
0,766.912
0,784.641
0,797.963
0,807.076
0,812.225
0,813.718
0,811.928
0,807.208
0,799.747
0,789.688
0,777.175
0,762.421
0,745.672
0,727.197
0,707.259
0,686.236
0,664.528
0,642.521
0,620.512
0,598.724
0,577.287
0,556.174
0,535.392
0,514.979
0,494.985
0,475.461
0,456.449
0,437.987
0,420.195
0,403.136
0,386.832
0,371.283
0,356.489
0,342.39
0,328.948
0,316.156
0,304.009
0,292.503
0,281.643
0,271.345
0,261.604
0,252.412
0,243.796
0,235.801
0,228.476
0,221.857
0,216.044
0,211.111
0,207.118
0,204.067
0,201.948
0,200.742
0,200.435
0,201.008
0,202.448
0,204.76
0,208.035
0,212.394
0,217.998
0,225.045
1,0.485576
1,0.578822
1,0.689974
1,0.822469
1,0.980406
1,1.16867
1,1.39308
1,1.66059
1,1.97946
1,2.35955
1,2.81261
1,3.35267
1,3.9964
1,4.76371
1,5.67831
1,6.76847
1,8.06786
1,9.61659
1,11.4625
1,13.6625
1,16.2844
1,19.4092
1,23.1294
1,27.5479
1,32.7762
1,38.9394
1,46.1833
1,54.6741
1,64.588
1,76.1294
1,89.5562
1,105.204
1,123.444
1,144.674
1,169.318
1,197.809
1,230.566
1,267.816
1,309.528
1,355.266
1,404.193
1,455.02
1,506.159
1,555.991
1,603.052
1,646.108
1,684.463
1,717.827
1,746.184
1,769.63
1,788.325
1,802.488
1,812.365
1,818.2
1,820.273
1,818.908
1,814.483
1,807.35
1,797.716
1,785.743
1,771.59
1,755.468
1,737.616
1,718.287
1,697.724
1,676.269
1,654.277
1,632.094
1,609.983
1,588.142
1,566.688
1,545.6
1,524.885
1,504.576
1,484.719
1,465.358
1,446.529
1,428.265
1,410.669
1,393.795
1,377.66
1,362.261
1,347.596
1,333.611
1,320.268
1,307.558
1,295.476
1,284.014
1,273.174
1,262.879
1,253.123
1,243.896
1,235.217
1,227.122
1,219.649
1,212.822
1,206.723
1,201.404
1,196.907
1,193.226
1,190.34
1,188.222
1,186.846
1,186.186
1,186.216
1,186.928
1,188.374
1,190.631
1,193.801
1,198.011
2,0.340049
2,0.408874
2,0.491628
2,0.591131
2,0.710772
2,0.854626
2,1.02759
2,1.23557
2,1.48563
2,1.7863
2,2.14782
2,2.58249
2,3.10512
2,3.73351
2,4.48904
2,5.39744
2,6.48963
2,7.80276
2,9.38149
2,11.2795
2,13.5613
2,16.3044
2,19.5987
2,23.5448
2,28.2536
2,33.8509
2,40.4842
2,48.3238
2,57.5522
2,68.3832
2,81.0876
2,96.018
2,113.57
2,134.17
2,158.281
2,186.383
2,218.95
2,256.261
2,298.328
2,344.736
2,394.632
2,446.672
2,499.171
2,550.399
2,598.784
2,642.996
2,682.293
2,716.373
2,745.232
2,768.983
2,787.802
2,801.925
2,811.618
2,817.139
2,818.784
2,816.9
2,811.892
2,804.138
2,793.843
2,781.168
2,766.264
2,749.352
2,730.679
2,710.514
2,689.113
2,666.849
2,644.113
2,621.279
2,598.632
2,576.378
2,554.63
2,533.344
2,512.511
2,492.153
2,472.31
2,453.024
2,434.324
2,416.242
2,398.89
2,382.326
2,366.562
2,351.591
2,337.403
2,323.931
2,311.127
2,298.982
2,287.485
2,276.63
2,266.419
2,256.759
2,247.647
2,239.07
2,231.055
2,223.65
2,216.904
2,210.851
2,205.592
2,201.2
2,197.729
2,195.174
2,193.518
2,192.729
2,192.785
2,193.659
2,195.326
2,197.784
2,201.112
2,205.418
2,210.849
2,217.579
3,0.392438
3,0.470446
3,0.56396
3,0.676061
3,0.810445
3,0.97154
3,1.16466
3,1.39616
3,1.67367
3,2.00634
3,2.40512
3,2.88317
3,3.45622
3,4.14315
3,4.96659
3,5.95365
3,7.13683
3,8.55509
3,10.2551
3,12.2927
3,14.735
3,17.6621
3,21.1668
3,25.3521
3,30.3307
3,36.23
3,43.1993
3,51.4102
3,61.0455
3,72.3189
3,85.5022
3,100.951
3,119.06
3,140.254
3,164.99
3,193.738
3,226.957
3,264.9
3,307.542
3,354.416
3,404.621
3,456.757
3,509.096
3,559.885
3,607.551
3,650.779
3,688.87
3,721.573
3,748.939
3,771.128
3,788.362
3,800.912
3,809.075
3,813.132
3,813.397
3,810.236
3,804.067
3,795.277
3,784.07
3,770.597
3,755.006
3,737.511
3,718.357
3,697.809
3,676.121
3,653.671
3,630.853
3,608.05
3,585.544
3,563.537
3,542.129
3,521.251
3,500.878
3,481.021
3,461.712
3,442.987
3,424.871
3,407.388
3,390.661
3,374.745
3,359.651
3,345.363
3,331.87
3,319.093
3,306.978
3,295.513
3,284.69
3,274.5
3,264.947
3,255.93
3,247.444
3,239.479
3,232.07
3,225.274
3,219.149
3,213.738
3,209.16
3,205.499
3,202.818
3,201.113
3,200.36
3,200.527
3,201.584
3,203.503
3,206.254
3,209.838
3,214.346
3,219.903
3,226.679
3,234.872
4,0.346286
4,0.415116
4,0.497627
4,0.596538
4,0.715107
4,0.857242
4,1.02763
4,1.23187
4,1.47671
4,1.77021
4,2.12204
4,2.54378
4,3.04933
4,3.65534
4,4.38176
4,5.25251
4,6.29625
4,7.54731
4,9.04686
4,10.8442
4,12.9984
4,15.5801
4,18.6715
4,22.3642
4,26.7595
4,31.9717
4,38.1344
4,45.401
4,53.9361
4,63.9311
4,75.626
4,89.3302
4,105.391
4,124.184
4,146.115
4,171.607
4,201.077
4,234.784
4,272.766
4,314.702
4,359.91
4,407.289
4,455.441
4,502.91
4,548.349
4,590.588
4,628.92
4,662.989
4,692.691
4,718.027
4,739.069
4,755.951
4,768.843
4,777.921
4,783.402
4,785.55
4,784.678
4,781.086
4,774.961
4,766.454
4,755.717
4,742.946
4,728.359
4,712.19
4,694.664
4,676.084
4,656.763
4,637.004
4,617.05
4,597.088
4,577.244
4,557.535
4,537.998
4,518.684
4,499.648
4,480.944
4,462.62
4,444.714
4,427.317
4,410.481
4,394.231
4,378.577
4,363.528
4,349.053
4,335.136
4,321.774
4,308.966
4,296.71
4,285.008
4,273.812
4,263.118
4,252.916
4,243.219
4,234.047
4,225.422
4,217.361
4,209.91
4,203.103
4,196.965
4,191.492
4,186.671
4,182.482
4,178.908
4,175.932
4,173.534
4,171.708
4,170.484
4,169.908
4,170.044
4,170.972
5,0.514641
5,0.612855
5,0.729812
5,0.869088
5,1.03494
5,1.23245
5,1.46764
5,1.74771
5,2.08123
5,2.47838
5,2.95131
5,3.51448
5,4.1851
5,4.98367
5,5.93457
5,7.06687
5,8.41514
5,10.0206
5,11.9321
5,14.2081
5,16.9179
5,20.1441
5,23.9813
5,28.5337
5,33.914
5,40.2487
5,47.6848
5,56.3902
5,66.542
5,78.3459
5,92.0632
5,108.035
5,126.638
5,148.273
5,173.365
5,202.349
5,235.64
5,273.45
5,315.72
5,361.97
5,411.308
5,462.381
5,513.538
5,563.112
5,609.619
5,651.824
5,689.065
5,721.105
5,747.99
5,769.872
5,786.958
5,799.508
5,807.804
5,812.115
5,812.741
5,810.028
5,804.374
5,796.144
5,785.54
5,772.712
5,757.805
5,741.027
5,722.612
5,702.814
5,681.874
5,660.148
5,638.009
5,615.818
5,593.846
5,572.289
5,551.249
5,530.672
5,510.541
5,490.874
5,471.706
5,453.075
5,435.01
5,417.539
5,400.777
5,384.782
5,369.566
5,355.118
5,341.432
5,328.434
5,316.079
5,304.355
5,293.257
5,282.776
5,272.918
5,263.587
5,254.782
5,246.491
5,238.747
5,231.601
5,225.107
5,219.305
5,214.302
5,210.176
5,206.983
5,204.716
5,203.355
5,202.864
5,203.215
5,204.377
5,206.32
5,209.039
5,212.611
5,217.144
5,222.78
5,229.693
6,1.09328
6,1.27935
6,1.4971
6,1.7519
6,2.05006
6,2.39896
6,2.80724
6,3.285
6,3.84405
6,4.49823
6,5.26371
6,6.15943
6,7.20753
6,8.43393
6,9.86891
6,11.5479
6,13.5124
6,15.8109
6,18.5001
6,21.6463
6,25.3269
6,29.6327
6,34.6647
6,40.5316
6,47.3464
6,55.2331
6,64.3333
6,74.8057
6,86.812
6,100.537
6,116.217
6,134.163
6,154.711
6,178.204
6,204.996
6,235.431
6,269.816
6,308.249
6,350.557
6,396.174
6,444.165
6,493.2
6,541.718
6,588.187
6,631.277
6,669.913
6,703.546
6,732.017
6,755.419
6,773.943
6,787.832
6,797.372
6,802.866
6,804.602
6,802.892
6,798.083
6,790.555
6,780.664
6,768.621
6,754.589
6,738.727
6,721.237
6,702.344
6,682.28
6,661.269
6,639.621
6,617.663
6,595.705
6,573.984
6,552.67
6,531.858
6,511.511
6,491.621
6,472.209
6,453.305
6,434.944
6,417.151
6,399.947
6,383.428
6,367.638
6,352.587
6,338.264
6,324.661
6,311.719
6,299.396
6,287.68
6,276.564
6,266.036
6,256.097
6,246.67
6,237.745
6,229.313
6,221.393
6,214.019
6,207.229
6,201.046
6,195.548
6,190.784
6,186.791
6,183.554
6,181.048
6,179.236
6,178.088
6,177.568
6,177.646
6,178.304
6,179.585
6,181.551
6,184.287
6,187.894
7,0.585495
7,0.693836
7,0.822224
7,0.974367
7,1.15466
7,1.36831
7,1.6215
7,1.92152
7,2.27706
7,2.69837
7,3.19762
7,3.78924
7,4.49029
7,5.32101
7,6.30538
7,7.4718
7,8.85389
7,10.4915
7,12.4319
7,14.7308
7,17.4546
7,20.6815
7,24.501
7,29.0113
7,34.3184
7,40.5405
7,47.8138
7,56.2932
7,66.1413
7,77.5454
7,90.7411
7,106.033
7,123.757
7,144.27
7,167.95
7,195.178
7,226.322
7,261.572
7,300.886
7,343.862
7,389.744
7,437.378
7,485.35
7,532.215
7,576.666
7,617.594
7,654.355
7,686.654
7,714.443
7,737.774
7,756.763
7,771.583
7,782.435
7,789.525
7,793.089
7,793.408
7,790.806
7,785.594
7,777.96
7,768.061
7,756.048
7,742.117
7,726.483
7,709.376
7,691.017
7,671.705
7,651.751
7,631.456
7,611.058
7,590.741
7,570.622
7,550.708
7,531.026
7,511.62
7,492.541
7,473.84
7,455.558
7,437.732
7,420.455
7,403.776
7,387.72
7,372.293
7,357.498
7,343.302
7,329.68
7,316.629
7,304.147
7,292.229
7,280.879
7,270.041
7,259.709
7,249.874
7,240.551
7,231.763
7,223.538
7,215.892
7,208.882
7,202.545
7,196.91
7,191.969
7,187.707
7,184.099
7,181.125
7,178.761
7,176.985
7,175.786
7,175.196
7,175.262
7,176.052
7,177.648
8,0.434432
8,0.519372
8,0.620919
8,0.742319
8,0.887454
8,1.06096
8,1.2684
8,1.51638
8,1.81285
8,2.16728
8,2.59099
8,3.09753
8,3.70309
8,4.42702
8,5.29244
8,6.32701
8,7.56377
8,9.04219
8,10.8095
8,12.922
8,15.4471
8,18.4654
8,22.0693
8,26.3614
8,31.4535
8,37.4712
8,44.5615
8,52.8932
8,62.6451
8,74.0259
8,87.3013
8,102.819
8,120.964
8,142.148
8,166.812
8,195.409
8,228.376
8,265.946
8,308.079
8,354.302
8,403.72
8,454.959
8,506.332
8,556.135
8,602.849
8,645.208
8,682.547
8,714.638
8,741.542
8,763.426
8,780.508
8,793.058
8,801.364
8,805.698
8,806.362
8,803.708
8,798.14
8,790.032
8,779.572
8,766.9
8,752.148
8,735.518
8,717.244
8,697.581
8,676.771
8,655.186
8,633.218
8,611.245
8,589.548
8,568.325
8,547.675
8,527.519
8,507.827
8,488.609
8,469.897
8,451.726
8,434.123
8,417.115
8,400.831
8,385.332
8,370.63
8,356.711
8,343.566
8,331.112
8,319.296
8,308.108
8,297.543
8,287.594
8,278.272
8,269.468
8,261.18
8,253.404
8,246.179
8,239.572
8,233.65
8,228.463
8,224.145
8,220.792
8,218.476
8,217.194
8,216.924
8,217.628
8,219.28
8,221.847
8,225.301
8,229.642
8,234.972
8,241.431
8,249.204
8,258.51
9,0.308246
9,0.371026
9,0.446591
9,0.537546
9,0.647024
9,0.778798
9,0.937408
9,1.12832
9,1.35811
9,1.63469
9,1.9676
9,2.36829
9,2.85058
9,3.43107
9,4.12976
9,4.97069
9,5.98281
9,7.20097
9,8.66707
9,10.4315
9,12.555
9,15.1104
9,18.1826
9,21.8672
9,26.2698
9,31.5105
9,37.7304
9,45.0922
9,53.7714
9,63.9731
9,75.9556
9,90.0536
9,106.644
9,126.135
9,148.972
9,175.621
9,206.545
9,242.037
9,282.149
9,326.539
9,374.468
9,424.731
9,475.796
9,526.068
9,574.07
9,618.528
9,658.688
9,694.188
9,724.946
9,750.988
9,772.413
9,789.382
9,802.095
9,810.75
9,815.588
9,816.905
9,815.051
9,810.36
9,803.024
9,793.195
9,781.023
9,766.715
9,750.504
9,732.645
9,713.381
9,693.058
9,672.034
9,650.658
9,629.203
9,607.875
9,586.803
9,565.98
9,545.425
9,525.183
9,505.306
9,485.847
9,466.85
9,448.355
9,430.468
