iter,D_sim
0,0.00193275
0,0.002268
0,0.00265935
0,0.0031166
0,0.00365115
0,0.0042763
0,0.00500759
0,0.00586319
0,0.00686435
0,0.00803593
0,0.00940705
0,0.0110117
0,0.0128899
0,0.015088
0,0.0176608
0,0.0206722
0,0.0241968
0,0.0283222
0,0.0331507
0,0.0387402
0,0.045183
0,0.052606
0,0.0611682
0,0.0710617
0,0.0825127
0,0.0957473
0,0.111087
0,0.128922
0,0.149707
0,0.173929
0,0.202138
0,0.234976
0,0.2733
0,0.318015
0,0.370214
0,0.431197
0,0.502454
0,0.585586
0,0.68242
0,0.795087
0,0.925685
0,1.07542
0,1.24509
0,1.43393
0,1.63926
0,1.85612
0,2.077
0,2.29247
0,2.4928
0,2.66777
0,2.81054
0,2.91772
0,2.98894
0,3.02622
0,3.0331
0,3.01421
0,2.97378
0,2.91596
0,2.84449
0,2.7627
0,2.67348
0,2.57917
0,2.48169
0,2.38293
0,2.28439
0,2.18729
0,2.09258
0,2.00105
0,1.91329
0,1.82962
0,1.75003
0,1.6736
0,1.59995
0,1.52892
0,1.46028
0,1.3938
0,1.32929
0,1.26674
0,1.207
0,1.15054
0,1.09758
0,1.04837
0,1.00307
0,0.961778
0,0.924422
0,0.890803
0,0.860656
0,0.833696
0,0.80979
0,0.788202
0,0.768571
0,0.75064
0,0.734316
0,0.719603
0,0.706574
0,0.695144
0,0.685845
0,0.678378
0,0.672512
0,0.668357
0,0.666176
0,0.666204
0,0.668681
0,0.673797
0,0.682289
0,0.694622
0,0.710894
0,0.7311
0,0.755413
0,0.782937
1,0.00216328
1,0.00253133
1,0.00295985
1,0.00345914
1,0.00404118
1,0.00471991
1,0.0055116
1,0.0064352
1,0.00751283
1,0.00877029
1,0.0102377
1,0.0119502
1,0.0139487
1,0.0162812
1,0.0190034
1,0.0221804
1,0.0258885
1,0.0302162
1,0.0352671
1,0.0410993
1,0.0478052
1,0.0555113
1,0.0643761
1,0.0745907
1,0.0863799
1,0.0999675
1,0.115671
1,0.133875
1,0.155028
1,0.179607
1,0.20815
1,0.241283
1,0.27984
1,0.324698
1,0.376915
1,0.437743
1,0.508616
1,0.591069
1,0.686846
1,0.797978
1,0.926452
1,1.0734
1,1.23956
1,1.42416
1,1.62463
1,1.83621
1,2.05174
1,2.26225
1,2.45846
1,2.63064
1,2.77221
1,2.87979
1,2.95287
1,2.99322
1,3.00404
1,2.98963
1,2.95394
1,2.90088
1,2.834
1,2.75651
1,2.67121
1,2.58038
1,2.48592
1,2.38971
1,2.29323
1,2.19772
1,2.10417
1,2.01337
1,1.92596
1,1.8423
1,1.76243
1,1.68557
1,1.61139
1,1.53977
1,1.47052
1,1.40343
1,1.33833
1,1.27523
1,1.21489
1,1.15776
1,1.10404
1,1.05398
1,1.0077
1,0.965329
1,0.926788
1,0.891898
1,0.860417
1,0.832079
1,0.806755
1,0.78377
1,0.762781
1,0.743541
1,0.725949
1,0.709995
1,0.695729
1,0.683064
1,0.672467
1,0.663663
1,0.656436
1,0.650873
1,0.647202
1,0.645625
1,0.646349
1,0.649538
1,0.655843
1,0.665673
1,0.679113
1,0.696158
1,0.716952
1,0.740702
2,0.00193056
2,0.0022651
2,0.00265554
2,0.00311166
2,0.0036448
2,0.00426818
2,0.00499729
2,0.00585019
2,0.00684803
2,0.00801554
2,0.00938166
2,0.0109802
2,0.0128509
2,0.01504
2,0.0176018
2,0.0205997
2,0.0241081
2,0.0282138
2,0.0330185
2,0.0385795
2,0.0449886
2,0.0523716
2,0.0608863
2,0.0707234
2,0.0821074
2,0.0952624
2,0.110507
2,0.128229
2,0.14888
2,0.172941
2,0.200958
2,0.233568
2,0.27162
2,0.31601
2,0.367822
2,0.428344
2,0.49905
2,0.581527
2,0.677583
2,0.789328
2,0.918837
2,1.0673
2,1.23552
2,1.42271
2,1.62623
2,1.84116
2,2.06007
2,2.27362
2,2.47216
2,2.64559
2,2.78714
2,2.89345
2,2.96414
2,3.00123
2,3.0082
2,2.98965
2,2.94975
2,2.89262
2,2.82196
2,2.74106
2,2.65278
2,2.55945
2,2.46295
2,2.36517
2,2.2676
2,2.17143
2,2.07762
2,1.98695
2,1.9
2,1.81709
2,1.73822
2,1.66247
2,1.58946
2,1.51905
2,1.451
2,1.38508
2,1.3211
2,1.25907
2,1.19981
2,1.1438
2,1.09126
2,1.04244
2,0.99748
2,0.956508
2,0.919434
2,0.886066
2,0.856143
2,0.829382
2,0.805651
2,0.78422
2,0.764731
2,0.746929
2,0.730722
2,0.716115
2,0.70318
2,0.691832
2,0.682601
2,0.67519
2,0.669369
2,0.665248
2,0.663089
2,0.663125
2,0.665595
2,0.670687
2,0.679134
2,0.691399
2,0.707577
2,0.727667
2,0.751837
2,0.779199
3,0.00240964
3,0.00281287
3,0.00328135
3,0.00382598
3,0.0044594
3,0.00519633
3,0.00605389
3,0.007052
3,0.00821382
3,0.00956634
3,0.011141
3,0.0129742
3,0.0151087
3,0.017594
3,0.0204877
3,0.0238571
3,0.0277803
3,0.0323484
3,0.0376674
3,0.0437966
3,0.0508297
3,0.0588946
3,0.0681514
3,0.0787932
3,0.0910462
3,0.105136
3,0.121379
3,0.140164
3,0.161937
3,0.187174
3,0.216412
3,0.250271
3,0.289578
3,0.335199
3,0.388177
3,0.449745
3,0.521308
3,0.604371
3,0.700635
3,0.812075
3,0.940622
3,1.08737
3,1.253
3,1.43675
3,1.63608
3,1.84636
3,2.06058
3,2.27002
3,2.46562
3,2.6379
3,2.78035
3,2.88957
3,2.96491
3,3.00794
3,3.02165
3,3.01009
3,2.97707
3,2.92638
3,2.86147
3,2.78552
3,2.70127
3,2.61104
3,2.51674
3,2.42026
3,2.32312
3,2.22658
3,2.13168
3,2.03924
3,1.94993
3,1.86417
3,1.78205
3,1.7029
3,1.62644
3,1.55261
3,1.48123
3,1.41212
3,1.34514
3,1.28029
3,1.21827
3,1.15946
3,1.10408
3,1.05232
3,1.00431
3,0.960155
