iter,D_sim
0,0.00015095
0,0.000256389
0,0.000354292
0,0.000460452
0,0.000582958
0,0.000727559
0,0.00089972
0,0.00110548
0,0.00135193
0,0.00164752
0,0.0020024
0,0.00242879
0,0.00294139
0,0.00355792
0,0.00429971
0,0.00519247
0,0.00626712
0,0.00756097
0,0.00911891
0,0.010995
0,0.0132545
0,0.0159759
0,0.0192382
0,0.0231129
0,0.0276889
0,0.0330806
0,0.0394333
0,0.0469572
0,0.0559326
0,0.0667209
0,0.0797356
0,0.0954456
0,0.114406
0,0.137282
0,0.164872
0,0.198139
0,0.2382
0,0.286359
0,0.344058
0,0.412874
0,0.494565
0,0.590919
0,0.703417
0,0.833662
0,0.982936
0,1.15233
0,1.34247
0,1.55351
0,1.78435
0,2.03344
0,2.29832
0,2.57589
0,2.86175
0,3.1509
0,3.43768
0,3.7173
0,3.98573
0,4.23911
0,4.47471
0,4.69117
0,4.88829
0,5.06606
0,5.2249
0,5.36435
0,5.48453
0,5.58612
0,5.67045
0,5.73911
0,5.79305
0,5.83199
0,5.85631
0,5.86685
0,5.8649
0,5.85188
0,5.82936
0,5.79956
0,5.76403
0,5.72382
0,5.67998
0,5.63346
0,5.58486
0,5.53452
0,5.48264
0,5.42937
0,5.37489
0,5.3194
0,5.26315
0,5.20651
0,5.15005
0,5.09375
0,5.03768
0,4.98196
0,4.92683
0,4.87249
0,4.81909
0,4.76665
0,4.71574
0,4.6667
0,4.61966
0,4.57476
0,4.53218
0,4.49214
0,4.45485
0,4.42052
0,4.39019
0,4.36435
0,4.34334
0,4.32727
0,4.31627
0,4.31037
1,0.000143158
1,0.000243623
1,0.000337288
1,0.000439102
1,0.000556759
1,0.000695762
1,0.000861369
1,0.00105941
1,0.00129672
1,0.00158147
1,0.00192347
1,0.00233453
1,0.00282889
1,0.00342369
1,0.00413957
1,0.00500143
1,0.00603924
1,0.00728914
1,0.00879466
1,0.0106083
1,0.0127931
1,0.0154255
1,0.0185823
1,0.0223334
1,0.0267658
1,0.0319906
1,0.0381495
1,0.0454465
1,0.0541535
1,0.0646213
1,0.0772514
1,0.0925004
1,0.110909
1,0.133124
1,0.159925
1,0.19225
1,0.231189
1,0.278014
1,0.334137
1,0.401099
1,0.480625
1,0.574469
1,0.684099
1,0.811101
1,0.956753
1,1.12215
1,1.30795
1,1.51434
1,1.74032
1,1.9844
1,2.24426
1,2.5169
1,2.79811
1,3.08303
1,3.36617
1,3.64287
1,3.90918
1,4.16132
1,4.39657
1,4.61354
1,4.81198
1,4.9918
1,5.15334
1,5.29611
1,5.42016
1,5.5261
1,5.61517
1,5.68886
1,5.74807
1,5.79249
1,5.82247
1,5.8388
1,5.8427
1,5.83554
1,5.81881
1,5.79465
1,5.76456
1,5.72956
1,5.69068
1,5.64884
