iter,D_sim
0,0.000598264
0,0.000790375
0,0.000993344
0,0.001228
0,0.00150798
0,0.00184568
0,0.0022547
0,0.00275104
0,0.00335395
0,0.00408676
0,0.00497781
0,0.00606158
0,0.00737999
0,0.00898404
0,0.0109358
0,0.0133108
0,0.0162009
0,0.0197179
0,0.023998
0,0.0292068
0,0.0355384
0,0.0432201
0,0.0525429
0,0.0638605
0,0.077602
0,0.0942888
0,0.11456
0,0.139217
0,0.169241
0,0.205805
0,0.250328
0,0.304533
0,0.37052
0,0.450842
0,0.54858
0,0.667291
0,0.811306
0,0.98575
0,1.1966
0,1.45083
0,1.7565
0,2.12204
0,2.55417
0,3.0593
0,3.63901
0,4.28945
0,5.0004
0,5.75502
0,6.53087
0,7.30646
0,8.05812
0,8.76957
0,9.43216
0,10.0423
0,10.6003
0,11.1086
0,11.5709
0,11.9902
0,12.3692
0,12.7104
0,13.0155
0,13.286
0,13.5237
0,13.7313
0,13.9126
0,14.0725
0,14.2163
0,14.345
0,14.4541
0,14.5415
0,14.6078
0,14.6558
0,14.6888
0,14.7091
0,14.7237
0,14.7425
0,14.7705
0,14.8092
0,14.8571
0,14.9114
0,14.9679
0,15.0226
0,15.0727
0,15.117
0,15.1548
0,15.1861
0,15.2126
0,15.2373
0,15.2604
0,15.2805
0,15.2951
0,15.3018
0,15.298
0,15.2808
0,15.248
0,15.2009
0,15.1433
0,15.0809
0,15.0203
0,14.9661
0,14.9219
0,14.8899
0,14.8714
0,14.8663
0,14.8758
0,14.9008
0,14.9454
0,15.0144
0,15.1135
0,15.2483
1,0.000759485
1,0.000954663
1,0.00117895
1,0.00144508
1,0.00176447
1,0.00214954
1,0.00261478
1,0.00317755
1,0.00385878
1,0.00468383
1,0.00568339
1,0.00689464
1,0.00836268
1,0.0101421
1,0.0122992
1,0.0149143
1,0.0180847
1,0.0219283
1,0.0265884
1,0.0322384
1,0.0390809
1,0.047352
1,0.0573531
1,0.0694489
1,0.0840809
1,0.101783
1,0.123207
1,0.149168
1,0.180661
1,0.218869
1,0.265219
1,0.321437
1,0.389619
1,0.472303
1,0.57254
1,0.693838
1,0.840452
1,1.0174
1,1.2305
1,1.48653
1,1.79329
1,2.15888
1,2.58971
1,3.09185
1,3.66667
1,4.31031
1,5.0128
1,5.75781
1,6.52372
1,7.2898
1,8.03326
1,8.73833
1,9.39646
1,10.0039
1,10.5608
1,11.0691
1,11.5322
1,11.9528
1,12.3336
1,12.6769
1,12.9842
1,13.2571
1,13.4973
1,13.7075
1,13.8912
1,14.0531
1,14.1983
1,14.3278
1,14.4377
1,14.526
1,14.5933
1,14.6424
1,14.6762
1,14.6973
1,14.7119
1,14.7295
1,14.755
1,14.7897
1,14.8327
1,14.8812
1,14.9316
1,14.9802
1,15.0243
1,15.0628
1,15.0951
1,15.1212
1,15.1426
1,15.1621
1,15.18
1,15.1948
1,15.2045
1,15.2065
1,15.1988
1,15.1784
1,15.1433
1,15.0947
1,15.036
1,14.9726
1,14.9103
1,14.8538
1,14.8062
1,14.7698
1,14.7459
1,14.7343
1,14.7363
1,14.7528
1,14.7876
1,14.8452
1,14.9308
1,15.0498
2,0.000571954
2,0.000759094
2,0.000957871
2,0.00118813
2,0.00146308
2,0.00179491
2,0.00219707
2,0.00268543
2,0.00327914
2,0.00400142
2,0.00488053
2,0.00595084
2,0.00725424
2,0.00884172
2,0.0107754
2,0.013131
2,0.0160007
2,0.0194968
2,0.0237562
2,0.0289456
2,0.0352608
2,0.0429316
2,0.0522517
2,0.0635789
2,0.0773475
2,0.0940859
2,0.114442
2,0.13923
2,0.169447
2,0.206286
2,0.251194
2,0.305929
2,0.372636
2,0.453927
2,0.552956
2,0.673374
2,0.81963
2,0.996995
2,1.21163
2,1.47072
2,1.78261
2,2.15604
2,2.59806
2,3.11544
2,3.71008
2,4.37832
2,5.10996
2,5.88794
2,6.68938
2,7.49216
2,8.27179
2,9.01121
2,9.70103
2,10.3371
2,10.9192
2,11.4494
2,11.9313
2,12.3676
2,12.761
2,13.1141
2,13.4283
2,13.7053
2,13.947
2,14.1562
2,14.3367
2,14.4935
2,14.6323
2,14.7539
2,14.8542
2,14.9314
2,14.9859
2,15.0207
2,15.0391
2,15.0438
2,15.0415
2,15.0422
2,15.051
2,15.0695
2,15.0966
2,15.1295
2,15.1642
2,15.197
2,15.225
2,15.2471
2,15.2626
2,15.2714
2,15.2754
2,15.2772
2,15.2773
2,15.2742
2,15.2656
2,15.2491
2,15.2224
2,15.1827
2,15.1277
2,15.0588
2,14.9795
2,14.8954
2,14.8125
2,14.7356
2,14.668
2,14.6119
2,14.5687
2,14.5383
2,14.5218
2,14.5202
2,14.5372
2,14.5775
2,14.6462
2,14.7488
3,0.000827082
3,0.00103178
3,0.00126662
3,0.00154542
3,0.00188028
3,0.0022842
3,0.0027723
3,0.00336268
3,0.00407713
3,0.00494203
3,0.00598926
3,0.00725747
3,0.00879344
3,0.0106538
3,0.0129073
3,0.0156369
3,0.0189434
