iter,D_sim
0,1.06968
0,1.17098
0,1.28187
0,1.40326
0,1.53615
0,1.68163
0,1.84087
0,2.0152
0,2.20603
0,2.41494
0,2.64362
0,2.89396
0,3.168
0,3.46799
0,3.79638
0,4.15586
0,4.54937
0,4.98014
0,5.45169
0,5.96787
0,6.53292
0,7.15146
0,7.82854
0,8.56971
0,9.38102
0,10.2691
0,11.2412
0,12.3053
0,13.4701
0,14.7451
0,16.1407
0,17.6683
0,19.3404
0,21.1705
0,23.1737
0,25.3662
0,27.7659
0,30.3924
0,33.267
0,36.413
0,39.8562
0,43.6244
0,47.7417
0,52.2102
0,57.0074
0,62.0756
0,67.3214
0,72.6354
0,77.8909
0,82.9394
0,87.6433
0,91.8905
0,95.6089
0,98.7609
0,101.333
0,103.322
0,104.743
0,105.627
0,106.02
0,105.974
0,105.537
0,104.755
0,103.671
0,102.328
0,100.762
0,99.0048
0,97.0815
0,95.0183
0,92.8456
0,90.5497
0,88.1088
0,85.548
0,82.9068
0,80.2233
0,77.5391
0,74.8932
0,72.3076
0,69.7952
0,67.3623
0,65.02
0,62.7875
0,60.6324
0,58.4986
0,56.3651
0,54.2293
0,52.1023
0,49.9924
0,47.9026
0,45.8732
0,43.9239
0,42.0627
0,40.2911
0,38.6053
0,37.0022
0,35.4796
0,34.0316
0,32.6767
0,31.4223
0,30.2706
0,29.2211
0,28.27
0,27.4136
0,26.6466
0,25.9658
0,25.3666
0,24.8427
0,24.3717
0,23.9263
0,23.4974
0,23.085
1,1.18389
1,1.29327
1,1.41276
1,1.54328
1,1.68586
1,1.84161
1,2.01176
1,2.19761
1,2.40064
1,2.62242
1,2.86469
1,3.12934
1,3.41844
1,3.73424
1,4.0792
1,4.45603
1,4.86767
1,5.31732
1,5.8085
1,6.34504
1,6.93113
1,7.57133
1,8.27066
1,9.03455
1,9.86898
1,10.7804
1,11.776
1,12.8635
1,14.0514
1,15.3489
1,16.7661
1,18.3141
1,20.0049
1,21.8517
1,23.8687
1,26.0718
1,28.4779
1,31.1058
1,33.9759
1,37.1104
1,40.5337
1,44.2721
1,48.3482
1,52.7626
1,57.4912
1,62.4754
1,67.6216
1,72.8208
1,77.9474
1,82.8556
1,87.4104
1,91.5028
1,95.0634
1,98.0569
1,100.471
1,102.307
1,103.579
1,104.321
1,104.579
1,104.406
1,103.848
1,102.955
1,101.766
1,100.328
1,98.6743
1,96.8373
1,94.8427
1,92.7165
1,90.4883
1,88.1461
1,85.6701
1,83.0844
1,80.4273
1,77.7354
1,75.0485
1,72.4039
1,69.8225
1,67.3166
1,64.8923
1,62.5598
1,60.3369
1,58.1934
1,56.0763
1,53.9658
