beta,permeability,xi,init_days,delay,value
0.0594063,0.414388,0.0503554,3.74984,13.3136,38.0939
0.0590102,0.447906,0.0541131,3.64321,13.0931,38.258
0.0592346,0.43598,0.0511463,3.75161,13.9952,38.2848
0.0621413,0.335598,0.050408,1.91169,13.4867,38.2941
0.0600041,0.422943,0.0577602,2.18481,13.0889,38.3006
0.0599938,0.423637,0.0581601,2.1939,13.1729,38.3139
0.0606875,0.3778,0.0521597,2.18629,13.409,38.3257
0.0591709,0.442802,0.0519695,3.6781,13.9884,38.3342
0.0618003,0.368036,0.0522985,1.47228,13.4989,38.3389
0.0601732,0.419097,0.0563391,2.96112,13.6601,38.3417
0.0615929,0.369376,0.0556789,1.62884,13.1414,38.3483
0.0605272,0.385668,0.0535131,2.97595,13.7448,38.3668
0.0632961,0.323323,0.0523116,0.183125,13.6555,38.3797
0.0630478,0.332382,0.0557909,0.641622,13.4441,38.3833
0.0630302,0.336155,0.0546401,0.326188,13.4475,38.3926
0.0623428,0.371974,0.063174,0.463262,13.9291,38.407
0.0572154,0.462321,0.0550275,5.54069,14.4935,38.425
0.0616606,0.380609,0.0540442,1.13574,13.5985,38.4355
0.0632987,0.316607,0.0548127,0.558247,13.2477,38.4375
0.0598981,0.433133,0.0583385,2.65303,13.5925,38.4427
0.0593561,0.428652,0.0506876,3.20722,13.8827,38.4435
0.0592159,0.432528,0.053183,3.84222,13.664,38.4437
0.0579678,0.460425,0.0532694,4.99806,13.6126,38.4488
0.0627112,0.353206,0.0535994,0.575273,12.1168,38.451
0.0619151,0.349095,0.0516601,1.10059,13.7927,38.4515
0.059554,0.449033,0.0636514,2.70255,13.9648,38.4524
0.0615547,0.374707,0.0567741,1.56542,13.4991,38.4571
0.0586729,0.398177,0.0540989,4.34896,14.6529,38.4586
0.0591415,0.427357,0.0612021,3.79703,14.5566,38.4654
0.0620737,0.391505,0.0651398,0.557749,13.99,38.4714
0.0604137,0.394178,0.0556174,2.25791,13.0434,38.4785
0.0623327,0.326773,0.0507915,1.00544,13.8652,38.4803
0.0587378,0.469619,0.0567027,3.50966,13.4804,38.4809
0.0635409,0.299155,0.0514275,0.237627,13.9946,38.4932
0.0598823,0.428139,0.058033,2.63261,13.9937,38.4999
0.0596747,0.381583,0.05621,3.10183,14.1881,38.5023
0.0614379,0.396001,0.0565035,1.63842,13.5724,38.5065
0.0613373,0.400685,0.0570477,1.35968,13.3338,38.5218
0.0613878,0.319766,0.0533088,2.93513,14.1842,38.5237
0.0611829,0.389874,0.0608328,1.76243,13.1701,38.5238
