beta,permeability,xi,init_days,delay,value
0.100134,0.0441073,0.154556,15.559,7.3427,191.208
0.0924159,0.0726898,0.133843,19.8202,7.12506,192.641
0.0912672,0.0195027,0.0970724,20.0222,6.30096,193.111
0.108383,0.0311975,0.145408,11.3801,6.45901,193.946
0.113676,0.0132913,0.159508,9.72458,6.33395,196.387
0.111167,0.017979,0.141142,10.0406,6.26469,196.494
0.111182,0.0184862,0.137908,10.9171,6.58017,196.976
0.0978376,0.0705688,0.162042,16.865,7.36137,197.449
0.0996063,0.0417407,0.132514,15.6177,7.32137,197.78
0.0887401,0.098459,0.127871,21.5431,7.99045,197.786
0.0943671,0.0621509,0.139352,18.9414,7.01279,198.12
0.102346,0.00446177,0.118095,14.0577,6.55236,198.4
0.0995569,0.0587213,0.126365,15.6788,6.96709,198.664
0.0936273,0.0991134,0.161464,18.5557,7.37477,198.786
0.0963545,0.00196119,0.107019,17.7437,7.93998,198.947
0.0953586,0.100189,0.165587,17.8992,7.50913,199.701
0.0873596,0.10699,0.130076,22.4968,7.97605,199.817
0.0979317,0.0614418,0.134456,16.6207,6.77259,199.93
0.106173,0.0447431,0.152786,12.2529,6.86768,200.178
0.0955359,0.0695601,0.136163,17.6536,7.93629,201.347
0.105939,0.00404857,0.129579,12.1848,8.67922,201.544
0.0934965,0.00515343,0.0949508,19.7215,5.6317,201.941
0.0912239,0.038294,0.102407,20.6679,6.83872,202.011
0.110805,0.0267944,0.164565,10.86,6.79916,202.368
0.0991838,0.0510907,0.143086,15.2745,8.7953,202.539
0.083214,0.097167,0.111493,25.3323,7.10756,203.121
0.113713,0.0301878,0.157158,9.39461,6.59584,203.243
0.0945927,0.0135365,0.108559,18.1884,7.95046,203.836
0.113794,0.00942979,0.137356,9.56595,6.10109,204.33
0.116423,0.00539308,0.150612,8.35804,6.21205,204.433
0.0904068,0.0731142,0.116431,20.0233,7.35509,204.609
0.108105,0.0568548,0.15221,11.6158,6.57255,205.057
0.0996283,0.0659145,0.141436,15.2694,6.16986,205.396
0.0893208,0.0730483,0.1312,21.5402,7.28481,205.585
0.101576,0.0145438,0.123586,14.5405,8.93385,205.769
0.0878329,0.0133485,0.102146,22.4994,8.2665,206.018
0.103599,0.0387477,0.134485,13.8098,7.89779,206.91
0.0909351,0.0781451,0.13596,20.6128,7.41688,207.18
0.0956798,0.0493208,0.135683,17.2086,8.05326,208.19
0.100586,0.0133582,0.10966,15.9836,5.00328,208.315
0.101246,0.0495678,0.154292,14.9746,8.2785,208.56
0.0872336,0.101795,0.138929,22.9253,8.60401,208.983
0.110488,0.0459511,0.159597,10.4633,6.46799,209.237
0.0789489,0.156358,0.127564,28.7191,8.17994,209.303
0.101125,0.0613686,0.161342,14.1572,8.27411,209.542
0.0868671,0.0349469,0.0976519,23.0889,6.71548,209.621
0.0916719,0.105836,0.154929,19.6244,8.14231,209.913
0.0871181,0.0178691,0.0972194,23.3028,6.51671,210.277
0.0980198,0.0277819,0.127579,16.886,7.8239,210.388
0.0897063,0.0301968,0.110764,21.0501,7.57755,210.462
0.10362,0.00998992,0.120853,13.1774,8.18693,210.659
0.083972,0.157629,0.158385,24.1382,8.66005,210.981
0.116672,0.0141961,0.142843,8.27794,5.54687,211.564
0.0727649,0.187854,0.122797,34.96,8.68944,211.587
0.095886,0.0649879,0.132923,17.4706,6.02938,211.759
0.11317,0.0325251,0.163646,9.3391,6.38846,211.791
0.0994673,0.0493602,0.121211,15.6483,6.18787,211.995
0.102862,0.00539451,0.108903,14.8033,5.71957,212.152
0.0786631,0.00776705,0.0915083,29.5018,9.15365,212.412
0.0946633,0.0767894,0.164895,17.9636,10.3638,212.665
0.102657,0.019827,0.150173,14.1771,7.84747,212.868
0.119829,0.00327138,0.156484,7.89277,6.87914,213.125
0.0912339,0.0816999,0.152019,19.2396,10.0653,213.271
0.0804813,0.118821,0.123913,27.8005,8.22149,213.273
0.0949268,0.0239163,0.124731,18.0123,7.95623,213.597
0.0788378,0.1796,0.141944,28.9204,8.39509,213.704
0.0842243,0.0784084,0.121545,24.2211,9.3159,213.841
0.074472,0.0915297,0.0972708,33.2078,7.38231,213.845
0.0992219,0.021502,0.132909,15.8401,9.85407,214.018
0.116988,0.0101614,0.165192,8.92793,6.83523,214.1
0.0908794,0.0216408,0.11019,20.0782,8.94941,214.509
0.103152,0.0277551,0.141533,13.2217,9.04804,214.571
0.0857801,0.119292,0.125299,23.1327,7.8118,214.602
0.0973343,0.0915929,0.145922,16.7539,6.77341,214.725
0.0764386,0.101828,0.104643,31.573,7.5299,214.747
0.0913772,0.0443012,0.124283,20.2165,7.57201,214.765
0.072758,0.182675,0.120936,34.043,8.79124,214.801
0.1194,0.00405114,0.127977,7.52316,5.74783,215.057
0.0996553,0.0241709,0.129217,15.0906,8.61245,215.206
0.102719,0.0055352,0.135436,14.4465,7.488,215.25
0.0873146,0.0970417,0.135612,22.1885,8.04057,215.279
0.0944447,0.0274939,0.0971611,18.3682,6.2198,215.328
0.0978608,0.0402363,0.106232,16.4357,6.85952,215.353
0.0839475,0.00927883,0.0849584,25.2553,7.89655,215.392
0.0769766,0.172361,0.142211,30.0613,8.65446,215.586
0.0867837,0.149377,0.152506,22.2825,7.72124,215.648
0.0870276,0.123314,0.157306,22.5005,8.83646,215.667
0.0859404,0.0537816,0.104269,23.786,8.3413,215.716
0.0906605,0.0684166,0.116158,20.0673,7.43936,215.821
0.0904518,0.0794565,0.132389,20.6602,7.29421,215.885
0.0987631,0.0195859,0.130801,15.474,10.4056,215.893
0.0886106,0.0471199,0.115517,21.4993,9.72231,216.027
0.0828996,0.0156747,0.0984099,26.2438,7.2509,216.044
0.103837,0.0157171,0.141996,13.217,8.81451,216.055
0.101058,0.0270503,0.132853,14.8011,9.62288,216.075
0.0815673,0.119908,0.11651,26.4207,8.66875,216.17
0.0805345,0.137528,0.138203,27.9351,8.54464,216.232
0.109019,0.0178354,0.131574,11.5541,6.22944,216.435
0.0956919,0.0907724,0.139145,17.9926,6.25203,216.449
0.0800094,0.179298,0.1542,27.9169,8.78342,216.631
0.0857185,0.113678,0.135803,23.8464,8.41618,216.697
0.0906869,0.0212067,0.108058,20.5649,8.89646,216.994
0.0744883,0.0880309,0.0978333,33.3907,7.80447,217.128
0.0854971,0.111521,0.124732,23.7774,8.23391,217.152
0.0732093,0.130199,0.100791,34.8346,7.24376,217.193
0.0832758,0.0684516,0.105227,25.3658,8.13849,217.23
0.0868651,0.127623,0.155859,22.9862,8.84027,217.234
