beta,permeability,xi,init_days,delay,value
0.0729296,0.0290789,0.157644,49.3947,10.4722,227.22
0.0748272,0.00417625,0.164008,46.7996,10.7522,229.691
0.0741883,0.00489431,0.13316,47.1866,9.99679,230.826
0.0735408,0.0107211,0.159583,48.8827,10.1406,231.616
0.0769002,0.00679441,0.157497,43.9809,9.96042,231.846
0.0740676,0.0135177,0.145616,47.7674,10.3722,231.897
0.0730374,0.00396921,0.149968,49.3443,10.1469,233.929
0.0753505,0.0246565,0.160123,45.8255,10.8324,235.451
0.0752604,0.0092196,0.166169,45.0708,11.0952,236.904
0.0727432,0.0517368,0.154015,49.2482,10.0128,237.431
0.0721539,0.0368846,0.140206,50.2996,10.4019,238.552
0.0722859,0.0238072,0.163783,50.6455,10.0919,238.852
0.0710131,0.0718701,0.155215,52.9982,10.6615,239.105
0.0722107,0.0194489,0.136939,50.628,10.5755,239.278
0.0709035,0.0850527,0.148609,52.0109,10.5329,239.485
0.0728001,0.0153781,0.135192,49.2492,10.6407,239.494
0.0732683,0.0302231,0.152528,48.2567,11.5203,239.556
0.0709058,0.0740715,0.142245,52.8341,10.7139,239.606
0.0741189,0.00824337,0.161809,47.3406,10.6656,239.699
0.072851,0.0275667,0.148281,49.461,10.2376,240.025
0.0705969,0.0228608,0.120522,53.8842,9.67734,240.124
0.0728708,0.00691155,0.151854,49.3734,10.2569,240.227
0.0715453,0.00553437,0.130165,51.7024,11.9856,240.943
0.0703108,0.0938642,0.145016,53.5071,10.3587,241.112
0.0769092,0.0102833,0.161655,43.5719,9.56856,241.18
0.0726215,0.0460652,0.153177,49.5716,11.3352,241.557
0.0716909,0.0489708,0.134352,51.2339,9.35927,241.585
0.0774979,0.0174422,0.165229,42.3112,9.32787,241.639
0.0742302,0.018299,0.164946,47.8077,10.7153,241.69
0.0699749,0.00634978,0.112134,54.1178,10.0267,241.744
0.0761762,0.0243732,0.164691,44.6349,9.74702,241.812
0.0704174,0.0504384,0.133728,53.546,10.5485,241.841
0.0782532,0.00915731,0.161641,41.6577,9.55948,241.843
0.0710684,0.0653949,0.134699,52.1265,9.50459,241.856
0.075455,0.0110525,0.150103,45.0227,9.96387,242.121
0.072814,0.0360498,0.14719,49.5671,10.8801,242.497
0.0735205,0.0123512,0.131499,48.6513,9.71602,242.659
0.0684024,0.0776945,0.141946,57.0218,10.3081,242.806
0.0699639,0.0490898,0.149129,54.3057,10.7716,243.088
0.0706489,0.0210454,0.13707,53.0319,10.7986,243.205
0.0699063,0.0784708,0.127578,54.8008,9.91681,243.319
0.0722912,0.020166,0.119533,50.1374,9.17448,243.391
0.0714709,0.0386545,0.148972,51.74,11.2024,243.615
0.0681517,0.0743919,0.127595,57.6983,11.3526,243.872
0.0768598,0.0122477,0.150046,43.257,9.52453,243.951
0.0738253,0.0172775,0.162988,47.5052,12.3299,244.039
0.0731232,0.030309,0.151334,48.681,12.8352,244.157
0.0736269,0.0118374,0.145576,48.3048,9.92542,244.29
0.0732271,0.011074,0.160942,48.8774,12.3307,244.319
0.0710184,0.0492223,0.136753,52.0079,10.7946,244.485
0.0698506,0.0734678,0.143188,54.2602,10.737,244.634
0.068971,0.0488717,0.117439,56.4398,9.08317,244.71
0.0698847,0.0635503,0.143856,54.8528,10.2655,244.893
0.0709157,0.0462951,0.150766,52.5162,11.9467,244.924
0.0707935,0.02734,0.135839,52.855,12.1401,244.943
0.0766817,0.0154394,0.157891,43.4912,10.0407,244.96
0.0704212,0.0596029,0.150934,53.6553,10.6226,244.981
0.0708128,0.0846706,0.160523,52.5762,11.6736,245.014
0.0716007,0.0687754,0.143321,51.7299,9.65097,245.044
0.0741436,0.0120262,0.137734,47.1177,9.00594,245.213
0.0721123,0.0645253,0.148041,50.4191,10.8619,245.269
0.0736736,0.00472308,0.154873,48.6519,10.5438,245.286
0.0715523,0.057939,0.158293,51.294,10.9996,245.33
0.0699185,0.0351219,0.128428,54.1395,10.5998,245.505
0.0711493,0.0437085,0.13312,52.5039,9.36735,245.619
0.0718648,0.0213543,0.164715,50.6426,13.8869,245.628
0.0700136,0.0338965,0.149183,54.7721,10.7675,245.634
0.076066,0.0308717,0.163156,44.1393,9.78945,245.649
0.0719679,0.0208612,0.154912,50.6439,12.1854,245.721
0.0724221,0.0269662,0.159518,49.1806,13.5913,245.786
0.0722818,0.0349653,0.138373,50.5036,9.09105,245.999
0.0667599,0.100135,0.120832,60.7792,10.0233,246
0.0711285,0.0389831,0.157529,52.1146,10.3764,246.239
0.0704204,0.0497398,0.158105,53.7684,11.0041,246.38
0.0679269,0.055841,0.108635,58.1829,9.30811,246.502
0.0728013,0.00203018,0.147111,49.9493,11.0354,246.526
0.0708237,0.0243043,0.138022,52.5024,12.2613,246.578
0.0715908,0.0377414,0.160554,51.522,10.9872,246.653
0.0707392,0.103676,0.162108,52.738,11.9821,246.726
0.0708421,0.0544677,0.144762,52.0874,11.3956,246.902
0.0704563,0.0858179,0.140658,53.7581,9.59972,247.055
0.0698586,0.044185,0.120936,54.8002,10.8524,247.074
0.0712535,0.0746988,0.164329,51.2325,12.8273,247.14
0.0726834,0.0103238,0.14085,49.2549,11.2016,247.288
0.0706916,0.00855737,0.132046,53.8461,10.67,247.355
0.0687121,0.11429,0.142969,56.6561,10.1376,247.44
0.0721723,0.0596083,0.13495,50.0017,9.88356,247.456
0.0738383,0.0368926,0.158455,47.9981,11.933,247.531
