beta,permeability,xi,init_days,delay,value
0.0512728,0.00625828,0.163701,18.5858,15.4595,33.0547
0.0520503,0.000599672,0.164331,17.2037,15.5213,33.1474
0.0519872,0.00096799,0.162677,17.0261,15.1882,33.1495
0.0520362,0.000855168,0.163301,17.5618,15.706,33.16
0.0512873,0.00127974,0.158958,18.8051,15.898,33.192
0.0506459,0.00643807,0.16473,19.6707,15.2151,33.2271
0.0505519,0.0110964,0.165811,19.6444,15.3904,33.2301
0.0512167,0.00794461,0.16362,18.6479,15.7212,33.2316
0.0520036,0.00750038,0.165846,17.2103,15.6406,33.234
0.0520153,0.00599409,0.164799,17.2299,15.2932,33.2499
0.0512455,0.00562939,0.161162,18.4475,15.8248,33.2642
0.0525906,0.00030412,0.16437,16.6958,14.9394,33.2817
0.0513136,0.00923906,0.163917,18.9779,15.2037,33.2833
0.0505419,0.00646413,0.165236,19.1323,15.0842,33.2915
0.050598,0.00476871,0.160243,19.8742,15.7409,33.3032
0.0526718,0.00315955,0.165696,16.4871,15.1477,33.306
0.051886,0.00472756,0.164836,17.9653,15.4608,33.3171
0.0512189,0.0193124,0.164924,18.2112,15.9034,33.3194
0.0506018,0.0078261,0.161557,19.8617,15.0377,33.3326
0.0513037,0.0114367,0.163657,18.6348,15.0631,33.3343
0.0527119,0.00183673,0.165901,16.6714,15.7916,33.3408
0.0512037,0.00220575,0.162669,18.3724,15.725,33.352
0.050037,0.00152184,0.164854,20.6311,15.9151,33.3735
0.0506904,0.00909259,0.164976,19.7682,15.9264,33.3797
0.0511642,0.00500637,0.165159,18.0694,15.3638,33.3851
0.0500229,0.00152938,0.165426,20.4337,15.1546,33.3863
0.0520197,0.0020065,0.160564,17.7927,15.9072,33.3964
0.0506447,0.00633911,0.159493,19.0394,15.7815,33.3965
0.0518603,0.000316839,0.163196,17.6722,14.6527,33.42
0.0506101,0.00887948,0.158144,19.5924,15.8457,33.4305
0.0505254,0.011038,0.164226,19.7385,15.4961,33.4413
0.0505129,0.00770167,0.165113,19.9837,15.3207,33.4428
0.05199,0.0089319,0.163311,17.5944,15.5056,33.448
0.0506794,0.00279631,0.157941,19.3831,15.5814,33.4492
0.0519367,0.00143587,0.160018,17.8331,15.4585,33.464
0.0506169,0.00837736,0.156945,19.0646,15.095,33.4705
0.0500106,0.0117748,0.165759,20.1045,15.1904,33.4718
0.0500315,0.0112396,0.165085,20.0731,15.5189,33.4797
0.0514087,0.00575966,0.165515,18.8379,15.9915,33.4816
0.0518748,0.00306427,0.164939,17.3412,14.9256,33.4834
0.0513331,0.0126651,0.163724,18.1942,15.7357,33.4864
0.0520371,0.00494369,0.161141,17.0996,15.3615,33.4877
0.0518762,0.00332543,0.165098,17.0282,14.2065,33.4922
0.0506303,0.0100044,0.157599,19.6464,15.5898,33.4937
0.0506336,0.011108,0.159197,19.2918,15.4547,33.4989
0.0518107,0.0062223,0.165656,17.4623,14.2506,33.5002
