beta,permeability,xi,init_days,delay,value
0.0679519,0.026121,0.08846,31.3539,5.1258,229.989
0.0598402,0.148871,0.0911954,40.4029,6.99281,232.339
0.0629342,0.117743,0.0996978,36.0435,6.80967,235.658
0.0618453,0.166396,0.109578,37.5505,6.82613,237.07
0.061841,0.0345049,0.0704554,38.056,5.20613,237.782
0.0594896,0.210838,0.105311,40.4957,6.02692,239.749
0.0535777,0.30218,0.103052,49.3041,7.61272,240.5
0.0577972,0.147237,0.0782564,43.2147,5.25274,242.988
0.0608726,0.215872,0.112423,38.1855,6.04854,243.009
0.0633183,0.074464,0.0822456,36.1377,5.69523,243.165
0.064599,0.108922,0.0990826,34.0509,5.01194,243.223
0.0612652,0.142276,0.0870627,38.756,5.50955,243.683
0.0660694,0.00149997,0.0783918,33.5942,5.80259,243.852
0.0639046,0.073248,0.0986541,35.6519,6.76022,244.08
0.0643623,0.014583,0.0724647,35.246,5.94663,245.019
0.0535926,0.293865,0.0991026,49.7952,7.29022,245.14
0.0659631,0.049924,0.0985376,33.5698,6.31692,246.346
0.0543842,0.254279,0.0944338,48.691,7.45141,246.442
0.0618905,0.158254,0.103161,37.7659,6.37499,246.628
0.0609078,0.0375769,0.0652924,39.9353,5.53747,246.645
0.0695907,0.0489729,0.106018,29.0968,5.24034,247.871
0.0743113,0.0225392,0.113381,25.5025,5.52989,248.399
0.0730337,0.0353358,0.111899,26.1363,5.74597,248.49
0.0616361,0.192665,0.120298,37.7805,6.40021,248.86
0.0584004,0.137406,0.079568,42.8861,6.8236,249.645
0.0532339,0.225096,0.0749459,50.6191,6.46511,250.324
0.0554414,0.228286,0.0871295,46.8482,6.0412,250.361
0.0613284,0.106841,0.0915937,38.045,6.05728,250.65
0.0669453,0.0103372,0.0920224,32.8438,6.38111,250.712
0.0643704,0.120275,0.116363,34.8165,6.97015,250.755
0.057038,0.140532,0.0781366,44.5539,6.3025,250.874
0.0568562,0.195236,0.0978171,44.0411,7.23587,250.967
0.0564833,0.266988,0.119028,44.4667,7.44384,251.054
0.0539173,0.205803,0.0861,49.2299,7.2683,251.127
0.0540325,0.197899,0.0813948,49.2604,6.41342,251.241
0.0565457,0.127703,0.0727416,45.0783,6.35635,251.301
0.0553218,0.10198,0.0603294,47.1594,5.20258,251.649
0.0546527,0.298921,0.117851,47.1046,7.41915,251.706
0.0561164,0.112538,0.068417,46.2217,5.73591,251.729
0.0650937,0.0054188,0.0718838,34.2337,5.66201,251.73
0.0520443,0.321762,0.112443,52.6255,8.00766,251.793
0.0545003,0.351343,0.124106,47.9439,7.86008,251.907
